question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
2759,0,3,0.0,1430.0,0,3,0.0,2556.0
2765,1,3,0.3333333333333333,1437.0,1,3,0.3333333333333333,1703.0
2787,0,3,0.0,1777.0,0,3,0.0,2811.0
2802,1,3,0.3333333333333333,1259.0,0,3,0.0,2043.0
2832,1,3,0.3333333333333333,1211.0,1,3,0.3333333333333333,1609.0
2835,0,3,0.0,1028.0,0,3,0.0,1908.0
2844,2,3,0.6666666666666666,1290.0,1,3,0.3333333333333333,1735.0
2858,2,3,0.6666666666666666,1004.0,1,3,0.3333333333333333,1254.0
2885,0,2,0.0,901.0,0,2,0.0,1802.0
2897,0,2,0.0,1235.0,1,2,0.5,1836.0
2923,0,2,0.0,1532.0,0,2,0.0,2275.0
2932,1,2,0.5,967.0,1,2,0.5,1902.0
2945,0,2,0.0,1476.0,0,2,0.0,1811.0
2973,0,2,0.0,1021.0,0,2,0.0,1266.0
2980,0,2,0.0,1445.0,0,2,0.0,1866.0
Overall,8,38,0.21052631578947367,1267.5333333333333,6,38,0.15789473684210525,1891.8
