question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
0467,5,48,0.10416666666666667,1404.0,0,48,0.0,2234.0
0496,46,46,1.0,1088.0,0,0,0.0,0.0
0501,0,46,0.0,1233.0,0,46,0.0,1169.0
0511,21,46,0.45652173913043476,797.0,21,46,0.45652173913043476,1001.0
0537,28,44,0.6363636363636364,1001.0,7,44,0.1590909090909091,1652.0
0564,42,42,1.0,985.0,0,0,0.0,0.0
0571,4,42,0.09523809523809523,1244.0,4,42,0.09523809523809523,1505.0
0575,27,42,0.6428571428571429,1578.0,27,42,0.6428571428571429,1922.0
0579,3,42,0.07142857142857142,1327.0,0,42,0.0,2627.0
0592,0,40,0.0,1267.0,0,40,0.0,1656.0
0597,2,40,0.05,1474.0,2,40,0.05,2130.0
0626,0,39,0.0,1387.0,0,39,0.0,2504.0
0637,32,39,0.8205128205128205,1330.0,22,39,0.5641025641025641,1776.0
0676,21,37,0.5675675675675675,1634.0,22,37,0.5945945945945946,2746.0
0704,1,36,0.027777777777777776,1766.0,1,36,0.027777777777777776,2382.0
Overall,232,629,0.3688394276629571,1301.0,106,541,0.19593345656192238,1686.9333333333334
