question_id,generation_passes,generation_total,generation_pass_rate,generation_tokens,repair_passes,repair_total,repair_pass_rate,repair_tokens
4249,5,13,0.38461538461538464,1747.0,1,13,0.07692307692307693,2295.0
4270,0,13,0.0,1017.0,8,13,0.6153846153846154,1816.0
4275,13,13,1.0,727.0,0,0,0.0,0.0
4281,1,12,0.08333333333333333,1239.0,2,12,0.16666666666666666,1637.0
4293,12,12,1.0,965.0,0,0,0.0,0.0
4333,0,11,0.0,1047.0,0,11,0.0,2026.0
4347,2,10,0.2,1026.0,1,10,0.1,1082.0
4350,2,10,0.2,1452.0,4,10,0.4,2328.0
4356,10,10,1.0,1141.0,0,0,0.0,0.0
4409,3,7,0.42857142857142855,1307.0,1,7,0.14285714285714285,2259.0
4426,6,7,0.8571428571428571,735.0,7,7,1.0,1096.0
4431,6,6,1.0,1205.0,0,0,0.0,0.0
4450,2,5,0.4,1832.0,0,5,0.0,2787.0
4465,5,5,1.0,738.0,0,0,0.0,0.0
4484,0,4,0.0,1135.0,0,4,0.0,2388.0
Overall,67,138,0.4855072463768116,1154.2,24,92,0.2608695652173913,1314.2666666666667
