comparison,correlation_with_consistency
naive_vs_Function summary,0.03291644823130416
naive_vs_Naive,
naive_vs_Complex tree,-0.06265455322410877
naive_vs_Simple tree,-0.07698058366726969
naive_vs_Function summary no FSL,-0.11017105176892668
naive_vs_Simple verify,-0.14424814619814091
naive_vs_Complex verify,-0.0538105126517522
naive_vs_Default verify,-0.11932997906261172
naive_vs_Simple verify no FSL,-0.11930027805463082
naive_vs_Complex verify no FSL,0.04606023526634817
naive_vs_Default verify no FSL,-0.19551249679059512
