comparison,correlation_with_consistency
naive_vs_Function summary,0.08540178466964916
naive_vs_Naive,
naive_vs_Complex tree,0.150546114617404
naive_vs_Simple tree,0.10914800735776953
naive_vs_Function summary no FSL,0.002291755084235322
naive_vs_Simple verify,0.06943117589050773
naive_vs_Complex verify,0.1420263815180904
naive_vs_Default verify,0.2140622058337567
naive_vs_Simple verify no FSL,0.13191630994424855
naive_vs_Complex verify no FSL,0.12406107714041652
naive_vs_Default verify no FSL,0.12702966055623005
