comparison,correlation_with_consistency
naive_vs_Function summary,-0.10845472114946025
naive_vs_Naive,
naive_vs_Complex tree,0.03875214502442789
naive_vs_Simple tree,0.043673056670017626
naive_vs_Function summary no FSL,0.09319421616053847
naive_vs_Simple verify,-0.2081179657184098
naive_vs_Complex verify,-0.14453488919694926
naive_vs_Default verify,-0.12604170637925813
naive_vs_Simple verify no FSL,-0.13018294225487423
naive_vs_Complex verify no FSL,-0.1397207781516248
naive_vs_Default verify no FSL,-0.1141557672061439
