comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.14395773738132464
naive_no_fsl_vs_Naive,0.07342603273860604
naive_no_fsl_vs_Complex tree,-0.005196286195070429
naive_no_fsl_vs_Simple tree,-0.017284129080351762
naive_no_fsl_vs_Function summary no FSL,0.11152016970708269
naive_no_fsl_vs_Simple verify,0.0900305991399511
naive_no_fsl_vs_Complex verify,0.09434558861190523
naive_no_fsl_vs_Default verify,0.1332906079222417
naive_no_fsl_vs_Simple verify no FSL,0.01391544844934359
naive_no_fsl_vs_Complex verify no FSL,0.05323400054053384
naive_no_fsl_vs_Default verify no FSL,0.11231329682337925
