comparison,correlation_with_consistency
naive_vs_Function summary,0.10613050042946515
naive_vs_Naive,
naive_vs_Complex tree,0.0665643327958673
naive_vs_Simple tree,0.07770347842290329
naive_vs_Function summary no FSL,-0.018907093401883613
naive_vs_Simple verify,0.030913671744644516
naive_vs_Complex verify,0.03524093108403113
naive_vs_Default verify,0.04465580004003098
naive_vs_Simple verify no FSL,-0.08917094626997005
naive_vs_Complex verify no FSL,-0.06264138665462601
naive_vs_Default verify no FSL,-0.044743741930295226
