Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,vanilla_no_cot,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify,consistency,consistency_mine,consistency_old
1977_A,1977_A_vjudge.3_40.00%,codeforces2024,human,qwen2p5-coder-32b-instruct,"The little boy Nikita was given some cubes as a present. He decided to build a
tower out of them.

Initially, the tower doesn't have any cubes. In one move, Nikita either puts
exactly 1 cube on top of the tower or removes exactly 1 cube from the top of
the tower. Is it possible that after n moves, the resulting tower has exactly
m cubes?

Input

Each test contains multiple test cases. The first line of input contains a
single integer t (1 \le t \le 100 ) — the number of test cases. The
description of the test cases follows.

The only line of each test case contains two integers n and m (1 \le n, m \le
100 ).

Output

For each test case, output ""Yes"" (without quotes) if Nikita can obtain a tower
with m cubes, and ""No"" (without quotes) otherwise.

You can output each letter in any case (lowercase or uppercase). For example,
the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be accepted as a positive
answer.

Example

Input

    3
    
    3 3
    
    2 4
    
    5 3

Output

    Yes
    No
    Yes
    
Note

In the first test case, Nikita can put 1 cube on top of the tower 3 times in a
row, so the answer is ""Yes"".

In the second test case, Nikita can only end up with either a tower with no
blocks or a tower with 2 blocks, so the answer is ""No"".","t = int(input())
for i in range(t):
    n, m = [int(i) for i in input().split()]
    if n==m:
        print('Yes')
    elif m>n:
        print('No')
    else:
        if m==n-1:
            print('Yes')
        else:
            if m%2==0 and n%2==0:
                print('Yes')
            elif m%2!=0 and n%2!=0:
                print('Yes')
            else:
                print('No')",1,False,False,False,True,False,True,False,False,True,False,False,False,True,False,0.8406589805407234,0.4020539772037928,0.75
1923_A,1923_A_RGS45_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"There is a ribbon divided into n cells, numbered from 1 to n from left to
right. Each cell either contains a chip or is free.

You can perform the following operation any number of times (possibly zero):
choose a chip and move it to the closest free cell to the left. You can choose
any chip that you want, provided that there is at least one free cell to the
left of it. When you move the chip, the cell where it was before the operation
becomes free.

Your goal is to move the chips in such a way that they form a single block,
without any free cells between them. What is the minimum number of operations
you have to perform?

Input

The first line contains one integer t (1 \le t \le 1000 ) — the number of test
cases.

Each test case consists of two lines:

  * the first line contains one integer n (2 \le n \le 50 ) — the number of cells; 
  * the second line contains n integers a_1, a_2, \dots, a_n (0 \le a_i \le 1 ); a_i = 0 means that the i -th cell is free; a_i = 1 means that the i -th cell contains a chip. 

Additional constraint on the input: in each test case, at least one cell
contains a chip.

Output

For each test case, print one integer — the minimum number of operations you
have to perform so that all chips form a single block without any free cells
between them.

Example

Input

    5
    
    8
    
    0 1 1 1 0 1 1 0
    
    6
    
    0 1 0 0 0 0
    
    6
    
    1 1 1 1 1 1
    
    5
    
    1 0 1 0 1
    
    9
    
    0 1 1 0 0 0 1 1 0

Output

    1
    0
    0
    2
    3
    
Note

In the first example, you can perform the operation on the chip in the 7 -th
cell. The closest free cell to the left is the 5 -th cell, so it moves there.
After that, all chips form a single block.

In the second example, all chips are already in a single block. Same for the
third example.","t=int(input(""""))
for _ in range(t):
    n=int(input(""""))
    arr="""".join(input("""").split())
    x=arr.find(""1"")
    y=(arr[::-1]).find(""1"")
    z=arr[x:n-y]
    print(z.count(""0""))",1,True,True,False,True,False,False,True,True,False,False,False,True,False,False,0.6841452693011232,0.18938868293528766,0.5
1928_A,1928_A_danileo.lopez.v_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Bob has a rectangle of size a \times b . He tries to cut this rectangle into
two rectangles with integer sides by making a cut parallel to one of the sides
of the original rectangle. Then Bob tries to form some other rectangle from
the two resulting rectangles, and he can rotate and move these two rectangles
as he wishes.

Note that if two rectangles differ only by a 90^{\circ} rotation, they are
considered the same. For example, the rectangles 6 \times 4 and 4 \times 6 are
considered the same.

Thus, from the 2 \times 6 rectangle, another rectangle can be formed, because
it can be cut into two 2 \times 3 rectangles, and then these two rectangles
can be used to form the 4 \times 3 rectangle, which is different from the 2
\times 6 rectangle.

![](https://espresso.codeforces.com/670958570876245598e151e6877e3b0231a7c60e.png)

However, from the 2 \times 1 rectangle, another rectangle cannot be formed,
because it can only be cut into two rectangles of 1 \times 1 , and from these,
only the 1 \times 2 and 2 \times 1 rectangles can be formed, which are
considered the same.

![](https://espresso.codeforces.com/1463aaa4fa7eb1e7432c1d8b5813e7ae91147066.png)

Help Bob determine if he can obtain some other rectangle, or if he is just
wasting his time.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. This is followed
by the description of the test cases.

The single line of each test case contains two integers a and b (1 \le a, b
\le 10^9 ) — the size of Bob's rectangle.

Output

For each test case, output ""Yes"" if Bob can obtain another rectangle from the
a \times b rectangle. Otherwise, output ""No"".

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive answers.

Example

Input

    7
    
    1 1
    
    2 1
    
    2 6
    
    3 2
    
    2 2
    
    2 4
    
    6 3

Output

    No
    No
    Yes
    Yes
    Yes
    Yes
    No
    
Note

In the first test case, the 1 \times 1 rectangle cannot be cut into two
rectangles, so another rectangle cannot be obtained from it.

In the fourth test case, the 3 \times 2 rectangle can be cut into two 3 \times
1 rectangles, and from these, the 1 \times 6 rectangle can be formed.

In the fifth test case, the 2 \times 2 rectangle can be cut into two 1 \times
2 rectangles, and from these, the 1 \times 4 rectangle can be formed.","t = int(input())  # Número de casos de prueba
 
for _ in range(t):
    a, b = map(int, input().split())  # Leer las dimensiones del rectángulo
    
    # Si cualquiera de las dimensiones es par
    if a % 2 == 0 or b % 2 == 0:
        # Hacer un corte en la dimensión par
        if a % 2 == 0:  # Dividir a en dos partes si es par
            a1, a2 = a // 2, a // 2
            if a1 != b:  # Verificar que no se forme un cuadrado al dividir
                print(""Yes"")
                continue
        
        if b % 2 == 0:  # Dividir b en dos partes si es par
            b1, b2 = b // 2, b // 2
            if b1 != a:  # Verificar que no se forme un cuadrado al dividir
                print(""Yes"")
                continue
 
        # Si no se puede formar un nuevo rectángulo
        print(""No"")
    else:
        # Si ambos lados son impares, no se puede formar otro rectángulo
        print(""No"")",1,True,True,False,True,False,True,True,True,False,False,False,False,True,False,0.7877748978182266,0.3060317847167209,0.6666666666666666
1929_B,1929_B_avaniagr_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Even in kindergarten, Sasha liked a girl. Therefore, he wanted to give her a
drawing and attract her attention.

As a drawing, he decided to draw a square grid of size n \times n , in which
some cells are colored. But coloring the cells is difficult, so he wants to
color as few cells as possible. But at the same time, he wants at least k
diagonals to have at least one colored cell. Note that the square grid of size
n \times n has a total of 4n - 2 diagonals.

Help little Sasha to make the girl fall in love with him and tell him the
minimum number of cells he needs to color.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 1000 ) — the number of test cases. The description of
the test cases follows.

The only line of each test case contains two integers n and k (2 \leq n \leq
10^8 , 1 \leq k \leq 4n - 2 ) — the size of the square grid and the minimum
number of diagonals in which there should be at least one colored cell.

Output

For each test case, output a single integer — the minimum number of cells that
need to be colored.

Example

Input

    7
    
    3 4
    
    3 3
    
    3 10
    
    3 9
    
    4 7
    
    7 11
    
    2 3

Output

    2
    2
    6
    5
    4
    6
    2
    
Note

In the pictures below, the colored cells are marked in black, and all
diagonals are marked in purple.

In the first test case, you can color 2 cells so that 4 diagonals contain at
least one colored cell:

![](https://espresso.codeforces.com/c88e80de5be4f91764dbe5bdc534c50fec115db3.png)

In the third test case, you can color 6 cells so that all 10 diagonals contain
at least one colored cell:

![](https://espresso.codeforces.com/624a36083689f6fb20bf243e5d1707fdcd71ef60.png)","import math
for s in [*open(0)][1:]:
    n,k=map(int,s.split())
    if k<=(4*n-4):
        print(math.ceil(k/2))
    elif k==(4*n-3):
        print(2*n-1)
    elif k==(4*n-2):
        print(2*n)",1,True,False,False,False,False,True,True,False,False,False,False,False,False,False,0.8942604470162633,0.5332130615157586,0.75
1937_D,1937_D_Dipta_bar_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"There is a one-dimensional grid of length n . The i -th cell of the grid
contains a character s_i , which is either '<' or '>'.

When a pinball is placed on one of the cells, it moves according to the
following rules:

  * If the pinball is on the i -th cell and s_i is '<', the pinball moves one cell to the left in the next second. If s_i is '>', it moves one cell to the right. 
  * After the pinball has moved, the character s_i is inverted (i. e. if s_i used to be '<', it becomes '>', and vice versa). 
  * The pinball stops moving when it leaves the grid: either from the left border or from the right one. 

You need to answer n independent queries. In the i -th query, a pinball will
be placed on the i -th cell. Note that we always place a pinball on the
initial grid.

For each query, calculate how many seconds it takes the pinball to leave the
grid. It can be shown that the pinball will always leave the grid within a
finite number of steps.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 10^5 ). The description of the test cases follows.

The first line of each test case contains an integer n (1 \le n \le 5 \cdot
10^5 ).

The second line of each test case contains a string s_1s_2 \ldots s_{n} of
length n consisting of characters '<' and '>'.

It is guaranteed that the sum of n over all test cases does not exceed 5 \cdot
10^5 .

Output

For each test case, for each i (1 \le i \le n ) output the answer if a pinball
is initially placed on the i -th cell.

Example

Input

    3
    
    3
    
    ><<
    
    4
    
    <<<<
    
    6
    
    <><<<>

Output

    3 6 5 
    1 2 3 4 
    1 4 7 10 8 1 
    
Note

In the first test case, the movement of the pinball for i=1 is shown in the
following pictures. It takes the pinball 3 seconds to leave the grid.

![](https://espresso.codeforces.com/775b656d27e63ce8901e1ef80487972d536b4a54.png)

The movement of the pinball for i=2 is shown in the following pictures. It
takes the pinball 6 seconds to leave the grid.

![](https://espresso.codeforces.com/515bd5576868cf33d4190893928faa21e69dd5c7.png)","t = int(input())
 
 
 
def solve(s):
    n = len(s)
    A = [] 
    idx_A = []
    for i in range(0, n):
        if s[i] == '>':
            if (len(idx_A) == 0):
                A.append(0)
            else:
                x = A[len(A) - 1] + (i - idx_A[len(idx_A) - 1]) * len(idx_A)
                A.append(x)
            idx_A.append(i)
    B = []
    idx_B = []
    for j in range(0, n):
        i = n - 1 - j
        if s[i] == '<':
            if (len(idx_B) == 0):
                B.append(0)
            else:
                x = B[len(B) - 1] + (idx_B[len(B) - 1] - i) * len(idx_B)
                B.append(x)
            idx_B.append(i)
    l = 0
    r = len(B)
 
 
    for i in range(0, n):
        if (s[i] == '>'):
            if l < r:
                a = A[l]
                x = r - (l + 2)
                b = B[r - 1]
                if x >= 0:
                    b = b - B[x]
                    b = b - (idx_B[x] - idx_B[r - 1]) * (x + 1)
                b = b + (idx_B[r - 1] - i) * (l + 1)
                print(a * 2 + b * 2 + i + 1, end = "" "")
            else:
                if (r == 0):
                    print(n - i, end = "" "")
                else:
                    a = B[r - 1] + (idx_B[r - 1] - i) * r
                    b = A[l - 1]
                    if l - r > 0:
                        b = b - A[l - r - 1]
                        b = b - (idx_A[l - 1] - idx_A[l - r - 1]) * (l - r)
                    b = b + (i - idx_A[l - 1]) * r
                    print(a * 2 + b * 2 + (n - i), end = "" "")
            l += 1
        else:
            r -= 1
            if (l <= r):
                if (l == 0):
                    print(i + 1, end = "" "")
                else:
                    a = A[l - 1]
                    a = a + (i - idx_A[l - 1]) * l
                    b = B[r]
                    if r - l >= 0:
                        b = b - B[r - l]
                        b = b - (idx_B[r - l] - i) * (r - l)
                    b = b + (idx_B[r] - i) * l
                    print(a * 2 + b * 2 + i + 1, end = "" "")
            else:
                if (r == 0):
                    print((n - i) + (i - idx_A[l - 1]) * 2, end = "" "")
                else:
                    a = B[r]
                    b = A[l - 1]
                    if l - r - 1 > 0:
                        b = b - A[l - r - 2]
                        b = b - (idx_A[l - 1] - idx_A[l - r - 2]) * (l - r - 1)
                    b = b + (i - idx_A[l - 1]) * (r + 1)
                    print(a * 2 + b * 2 + (n - i), end = "" "")
 
 
for i in range(0, t):
    n = int(input())
    s = input()
    solve(s)
    print()",1,True,False,False,True,False,True,True,True,False,True,True,True,True,True,0.6950857119714432,0.1985501014051871,0.6666666666666666
1937_C,1937_C_moonsong98_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"This is an interactive problem.

There is a secret sequence p_0, p_1, \ldots, p_{n-1} , which is a permutation
of \\{0,1,\ldots,n-1\\} .

You need to find any two indices i and j such that p_i \oplus p_j is
maximized, where \oplus denotes the [bitwise XOR
operation](https://en.wikipedia.org/wiki/Bitwise_operation#XOR).

To do this, you can ask queries. Each query has the following form: you pick arbitrary indices a , b , c , and d (0 \le a,b,c,d < n ). Next, the jury calculates x = (p_a \mid p_b) and y = (p_c \mid p_d) , where | denotes the [bitwise OR operation](https://en.wikipedia.org/wiki/Bitwise_operation#OR). Finally, you receive the result of comparison between x and y . In other words, you are told if x < y , x > y , or x = y .

Please find any two indices i and j (0 \le i,j < n ) such that p_i \oplus p_j
is maximum among all such pairs, using at most 3n queries. If there are
multiple pairs of indices satisfying the condition, you may output any one of
them.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 10^3 ). The description of the test cases follows.

Interaction

The first line of each test case contains one integer n (2 \le n \le 10^4 ).
At this moment, the permutation p_0, p_1, \ldots, p_{n-1} is chosen. The
interactor in this task is not adaptive. In other words, the sequence p is
fixed in every test case and does not change during the interaction.

To ask a query, you need to pick four indices a , b , c , and d (0 \le a,b,c,d
< n ) and print the line of the following form:

  * ""? a b c d"" 

After that, you receive:

  * ""<"" if (p_a \mid p_b) < (p_c \mid p_d) ; 
  * ""="" if (p_a \mid p_b) = (p_c \mid p_d) ; 
  * "">"" if (p_a \mid p_b) > (p_c \mid p_d) . 

You can make at most 3n queries of this form.

Next, if your program has found a pair of indices i and j (0 \le i, j < n )
such that p_i \oplus p_j is maximized, print the line of the following form:

  * ""! i j"" 

Note that this line is not considered a query and is not taken into account
when counting the number of queries asked.

After this, proceed to the next test case.

If you make more than 3n queries during an interaction, your program must
terminate immediately, and you will receive the Wrong Answer verdict.
Otherwise, you can get an arbitrary verdict because your solution will
continue to read from a closed stream.

After printing a query or the answer for a test case, do not forget to output
the end of line and flush the output. Otherwise, you will get the verdict
Idleness Limit Exceeded. To do this, use:

  * fflush(stdout) or cout.flush() in C++; 
  * System.out.flush() in Java; 
  * flush(output) in Pascal; 
  * stdout.flush() in Python; 
  * see the documentation for other languages. 

It is guaranteed that the sum of n over all test cases does not exceed 10^4 .

Hacks

To hack, follow the test format below.

The first line contains the number of test cases t (1 \le t \le 10^3 ). The
description of the test cases follows.

The first line of each test case contains one integer n (2 \le n \le 10^4 ).

The second line of each test case contains n integers p_0,p_1,\ldots,p_{n-1} ,
which represent a permutation of integers from 0 to n - 1 .

The sum of n over all test cases should not exceed 10^4 .

Example

Input

    2
    4
    
    <
    
    =
    
    >
    
    2
    
Output

    ? 0 2 3 1
    
    ? 1 1 2 3
    
    ? 1 2 0 3
    
    ! 3 2
    
    ! 0 1
    
Note

In the first test case, the hidden permutation is p=[0,3,1,2] .

For the query ""? 0 2 3 1"", the jury return ""<"" because (p_0 \mid p_2) = (0
\mid 1) =1 < (p_3 \mid p_1) = (2 \mid 3) = 3 .

For the query ""? 1 1 2 3"", the jury return ""="" because (p_1 \mid p_1) = (3\mid
3)= 3 = (p_2 \mid p_3) = (1 \mid 2)=3 .

For the query ""? 1 2 0 3"", the jury return "">"" because (p_1 \mid p_2) = (3
\mid 1) = 3 > (p_0 \mid p_3) = (0\mid 2)=2 .

The answer i = 3 and j = 2 is valid: (p_3 \oplus p_2) = (2 \oplus 1) = 3 is
indeed equal to the maximum possible value of p_i \oplus p_j . Another valid
answer would be i=0 and j=1 . As the number of queries does not exceed 3n=12 ,
the answer is considered correct.

In the second test case, n = 2 , so p is either [0, 1] or [1, 0] . In any
case, p_0 \oplus p_1 = 1 is maximum possible.","import sys
 
input = sys.stdin.readline
sys.setrecursionlimit(int(1e9))
 
 
def check(a, b, c, d):
    print(f""? {a} {b} {c} {d}"")
    sys.stdout.flush()
    return input().strip()
 
 
def answer(a, b):
    print(f""! {a} {b}"")
    sys.stdout.flush()
 
 
def solve():
    n = int(input())
 
    if n == 2:
        answer(0, 1)
        return
 
    # debug
 
    max_index = 0
 
    for i in range(0, n):
        res = check(0, max_index, 0, i)
        if res == ""<"":
            max_index = i
 
    min_indices = [max_index]
    for i in range(0, n):
        res = check(max_index, min_indices[0], max_index, i)
        if res == ""<"":
            min_indices = [i]
        elif res == ""="":
            min_indices.append(i)
 
    min_index = min_indices[0]
    for i in min_indices:
        if i == max_index:
            continue
        res = check(min_index, min_index, min_index, i)
        if res == ""="":
            min_index = i
 
    answer(max_index, min_index)
 
 
T = int(input())
 
for _ in range(T):
    solve()",1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6572929462468227,0.1617790335001941,0.6666666666666666
1950_C,1950_C_imaginary_faye_50.00%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Given the time in 24-hour format, output the equivalent time in 12-hour
format.

  * [24-hour format](https://en.wikipedia.org/wiki/24-hour_clock#Description) divides the day into 24 hours from 00 to 23 , each of which has 60 minutes from 00 to 59 . 
  * [12-hour format](https://en.wikipedia.org/wiki/12-hour_clock#Description) divides the day into two halves: the first half is \mathrm{AM} , and the second half is \mathrm{PM} . In each half, the hours are numbered in the order 12, 01, 02, 03, \dots, 11 . Each hour has 60 minutes numbered from 00 to 59 . 

Input

The first line contains a single integer t (1 \leq t \leq 1440 ) — the number
of test cases.

The only line of each test case contains a string s of length 5 with format
hh:mm representing a valid time in the 24-hour format. hh represents the hour
from 00 to 23 , and mm represents the minute from 00 to 59 .

The input will always be a valid time in 24-hour format.

Output

For each test case, output two strings separated by a space (""hh:mm AM"" or
""hh:mm PM""), which are the 12-hour equivalent to the time provided in the test
case (without quotes).

You should output the time exactly as indicated; in particular, you should not
remove leading zeroes.

Example

Input

    11
    
    09:41
    
    18:06
    
    12:14
    
    00:59
    
    00:00
    
    14:34
    
    01:01
    
    19:07
    
    11:59
    
    12:00
    
    21:37

Output

    09:41 AM
    06:06 PM
    12:14 PM
    12:59 AM
    12:00 AM
    02:34 PM
    01:01 AM
    07:07 PM
    11:59 AM
    12:00 PM
    09:37 PM","def gb114():
    for t in range(int(input())):
        s = input()
        h = s[:2]
        if h == '00':
            print('12', end='')
        elif int(h) <= 12:
            print(h, end='')
        else:
            print('0{}'.format(int(h) - 12), end='')
        print(s[2:], ['AM', 'PM'][int(h) >= 12])
gb114()",1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.7347037984086121,0.24710690842272917,0.5833333333333334
1937_D,1937_D_Dipta_bar_5.26%,codeforces2024,human,qwen2p5-coder-32b-instruct,"There is a one-dimensional grid of length n . The i -th cell of the grid
contains a character s_i , which is either '<' or '>'.

When a pinball is placed on one of the cells, it moves according to the
following rules:

  * If the pinball is on the i -th cell and s_i is '<', the pinball moves one cell to the left in the next second. If s_i is '>', it moves one cell to the right. 
  * After the pinball has moved, the character s_i is inverted (i. e. if s_i used to be '<', it becomes '>', and vice versa). 
  * The pinball stops moving when it leaves the grid: either from the left border or from the right one. 

You need to answer n independent queries. In the i -th query, a pinball will
be placed on the i -th cell. Note that we always place a pinball on the
initial grid.

For each query, calculate how many seconds it takes the pinball to leave the
grid. It can be shown that the pinball will always leave the grid within a
finite number of steps.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 10^5 ). The description of the test cases follows.

The first line of each test case contains an integer n (1 \le n \le 5 \cdot
10^5 ).

The second line of each test case contains a string s_1s_2 \ldots s_{n} of
length n consisting of characters '<' and '>'.

It is guaranteed that the sum of n over all test cases does not exceed 5 \cdot
10^5 .

Output

For each test case, for each i (1 \le i \le n ) output the answer if a pinball
is initially placed on the i -th cell.

Example

Input

    3
    
    3
    
    ><<
    
    4
    
    <<<<
    
    6
    
    <><<<>

Output

    3 6 5 
    1 2 3 4 
    1 4 7 10 8 1 
    
Note

In the first test case, the movement of the pinball for i=1 is shown in the
following pictures. It takes the pinball 3 seconds to leave the grid.

![](https://espresso.codeforces.com/775b656d27e63ce8901e1ef80487972d536b4a54.png)

The movement of the pinball for i=2 is shown in the following pictures. It
takes the pinball 6 seconds to leave the grid.

![](https://espresso.codeforces.com/515bd5576868cf33d4190893928faa21e69dd5c7.png)","t = int(input())
 
 
 
def solve(s):
    n = len(s)
    A = [] 
    idx_A = []
    for i in range(0, n):
        if s[i] == '>':
            if (len(idx_A) == 0):
                A.append(0)
            else:
                x = A[len(A) - 1] + (i - idx_A[len(idx_A) - 1]) * len(idx_A)
                A.append(x)
            idx_A.append(i)
    B = []
    idx_B = []
    for j in range(0, n):
        i = n - 1 - j
        if s[i] == '<':
            if (len(idx_B) == 0):
                B.append(0)
            else:
                x = B[len(B) - 1] + (idx_B[len(B) - 1] - i) * len(idx_B)
                B.append(x)
            idx_B.append(i)
    l = 0
    r = len(B)
 
    for i in range(0, n):
        if (s[i] == '>'):
            if l < r:
                a = A[l]
                x = r - (l + 2)
                b = B[r - 1]
                if x >= 0:
                    b = b - B[x]
                    b = b - (idx_B[x] - idx_B[r - 1]) * (x + 1)
                b = (idx_B[r - 1] - i) * (l + 1)
                print(a * 2 + b * 2 + i + 1, end = "" "")
            else:
                if (r == 0):
                    print(n - i, end = "" "")
                else:
                    a = B[r - 1] + (idx_B[r - 1] - i) * r
                    b = A[l - 1]
                    if l - r > 0:
                        b = b - A[l - r - 1]
                        b = b - (idx_A[l - 1] - idx_A[l - r - 1]) * (l - r)
                    b = b + (i - idx_A[l - 1]) * r
                    print(a * 2 + b * 2 + (n - i), end = "" "")
            l += 1
        else:
            r -= 1
            if (l <= r):
                if (l == 0):
                    print(i + 1, end = "" "")
                else:
                    a = A[l - 1]
                    a = a + (i - idx_A[l - 1]) * l
                    b = B[r]
                    if r - l >= 0:
                        b = b - B[r - l]
                        b = b - (idx_B[r - l] - i) * (r - l)
                    b = b + (idx_B[r] - i) * l
                    print(a * 2 + b * 2 + i + 1, end = "" "")
            else:
                if (r == 0):
                    print((n - i) + (i - idx_A[l - 1]) * 2, end = "" "")
                else:
                    a = B[r]
                    b = A[l - 1]
                    if l - r - 1 > 0:
                        b = b - A[l - r - 2]
                        b = b - (idx_A[l - 1] - idx_A[l - r - 2]) * (l - r - 1)
                    b = b + (i - idx_A[l - 1]) * (r + 1)
                    print(a * 2 + b * 2 + (n - i), end = "" "")
 
 
for i in range(0, t):
    n = int(input())
    s = input()
    solve(s)
    print()",1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.9013560687849426,0.6104291437976334,0.75
1919_A,1919_A_vjudge.9_0.00%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Alice and Bob are bored, so they decide to play a game with their wallets.
Alice has a coins in her wallet, while Bob has b coins in his wallet.

Both players take turns playing, with Alice making the first move. In each
turn, the player will perform the following steps in order:

  1. Choose to exchange wallets with their opponent, or to keep their current wallets. 
  2. Remove 1 coin from the player's current wallet. The current wallet cannot have 0 coins before performing this step. 

The player who cannot make a valid move on their turn loses. If both Alice and
Bob play optimally, determine who will win the game.

Input

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 1000 ) — the number of test cases. The description of
the test cases follows.

The first and only line of each test case contains two integers a and b (1 \le
a, b \le 10^9 ) — the number of coins in Alice's and Bob's wallets,
respectively.

Output

For each test case, output ""Alice"" if Alice will win the game, and ""Bob"" if
Bob will win the game.

Example

Input

    10
    
    1 1
    
    1 4
    
    5 3
    
    4 5
    
    11 9
    
    83 91
    
    1032 9307
    
    839204 7281
    
    1000000000 1000000000
    
    53110 2024

Output

    Bob
    Alice
    Bob
    Alice
    Bob
    Bob
    Alice
    Alice
    Bob
    Bob
    
Note

In the first test case, an example of the game is shown below:

  * Alice chooses to not swap wallets with Bob in step 1 of her move. Now, a=0 and b=1 . 
  * Since Alice's wallet is empty, Bob must choose to not swap their wallets in step 1 of his move. Now, a=0 and b=0 . 
  * Since both Alice's and Bob's wallets are empty, Alice is unable to make a move. Hence, Bob wins. 

In the second test case, an example of the game is shown below:

  * Alice chooses to swap wallets with Bob in step 1 of her move. Now, a=3 and b=1 . 
  * Bob chooses to swap wallets with Alice in step 1 of his move. Now, a=1 and b=2 . 
  * Alice chooses to not swap wallets with Bob in step 1 of her move. Now, a=0 and b=2 . 
  * Since Alice's wallet is empty, Bob can only choose to not swap wallets with Alice in step 1 of his move. Now, a=0 and b=1 . 
  * Since Alice's wallet is empty, Alice can only choose to swap wallets with Bob in step 1 of her move. Now, a=0 and b=0 . 
  * Since both Alice's wallet and Bob's wallet are empty, Bob is unable to make a move. Hence, Alice wins.","def determine_winner(a, b):
    # If the sum of coins is odd, Alice wins, because she can always force Bob
    # to face an empty wallet scenario first due to having the first move advantage.
    # For an even sum, Bob wins, by following Alice's strategy and ensuring
    # that Alice faces the empty wallet scenario first.
    if (a + b) % 2 == 0:
        return ""Bob""
    else:
        return ""Alice""
 
def main():
    t = int(input(""Enter the number of test cases: ""))  # Read the number of test cases
    
    results = []
    
    for _ in range(t):
        a, b = map(int, input().strip().split())  # Read the number of coins in Alice's and Bob's wallets
        winner = determine_winner(a, b)
        results.append(winner)
    
    for result in results:
        print(result)
 
if __name__ == ""__main__"":
    main()",1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,0.9330968445441384,0.6451700861708208,0.8333333333333334
1977_A,1977_A_vjudge.3_40.00%,codeforces2024,human,qwen2p5-coder-32b-instruct,"The little boy Nikita was given some cubes as a present. He decided to build a
tower out of them.

Initially, the tower doesn't have any cubes. In one move, Nikita either puts
exactly 1 cube on top of the tower or removes exactly 1 cube from the top of
the tower. Is it possible that after n moves, the resulting tower has exactly
m cubes?

Input

Each test contains multiple test cases. The first line of input contains a
single integer t (1 \le t \le 100 ) — the number of test cases. The
description of the test cases follows.

The only line of each test case contains two integers n and m (1 \le n, m \le
100 ).

Output

For each test case, output ""Yes"" (without quotes) if Nikita can obtain a tower
with m cubes, and ""No"" (without quotes) otherwise.

You can output each letter in any case (lowercase or uppercase). For example,
the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be accepted as a positive
answer.

Example

Input

    3
    
    3 3
    
    2 4
    
    5 3

Output

    Yes
    No
    Yes
    
Note

In the first test case, Nikita can put 1 cube on top of the tower 3 times in a
row, so the answer is ""Yes"".

In the second test case, Nikita can only end up with either a tower with no
blocks or a tower with 2 blocks, so the answer is ""No"".","t = int(input())
for i in range(t):
    n, m = [int(i) for i in input().split()]
    if n==m:
        print('Yes')
    elif m>n:
        print('No')
    else:
        if m==n-1:
            print('Yes')
        else:
            if m%2==0 and n%2==0:
                print('Yes')
            elif m%2!=0 and n%2!=0:
                print('Yes')
            else:
                print('No')",2,False,False,False,False,True,True,False,True,False,False,False,True,False,False,0.8406589805407234,0.4020539772037928,0.75
