Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,tester
1920_A,1920_A_phong.than.kiem.771_18.18%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Alex is solving a problem. He has n constraints on what the integer k can be.
There are three types of constraints:

  1. k must be greater than or equal to some integer x ; 
  2. k must be less than or equal to some integer x ; 
  3. k must be not equal to some integer x . 

Help Alex find the number of integers k that satisfy all n constraints. It is
guaranteed that the answer is finite (there exists at least one constraint of
type 1 and at least one constraint of type 2 ). Also, it is guaranteed that no
two constraints are the exact same.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 500 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (2 \leq n \leq
100 ) — the number of constraints.

The following n lines describe the constraints. Each line contains two
integers a and x (a \in \\{1,2,3\\}, \, 1 \leq x \leq 10^9 ). a denotes the
type of constraint. If a=1 , k must be greater than or equal to x . If a=2 , k
must be less than or equal to x . If a=3 , k must be not equal to x .

It is guaranteed that there is a finite amount of integers satisfying all n
constraints (there exists at least one constraint of type 1 and at least one
constraint of type 2 ). It is also guaranteed that no two constraints are the
exact same (in other words, all pairs (a, x) are distinct).

Output

For each test case, output a single integer — the number of integers k that
satisfy all n constraints.

Example

Input

    6
    
    4
    
    1 3
    
    2 10
    
    3 1
    
    3 5
    
    2
    
    1 5
    
    2 4
    
    10
    
    3 6
    
    3 7
    
    1 2
    
    1 7
    
    3 100
    
    3 44
    
    2 100
    
    2 98
    
    1 3
    
    3 99
    
    6
    
    1 5
    
    2 10
    
    1 9
    
    2 2
    
    3 2
    
    3 9
    
    5
    
    1 1
    
    2 2
    
    3 1
    
    3 2
    
    3 3
    
    6
    
    1 10000
    
    2 900000000
    
    3 500000000
    
    1 100000000
    
    3 10000
    
    3 900000001

Output

    7
    0
    90
    0
    0
    800000000
    
Note

In the first test case, k \geq 3 and k \leq 10 . Furthermore, k \neq 1 and k
\neq 5 . The possible integers k that satisfy the constraints are
3,4,6,7,8,9,10 . So the answer is 7 .

In the second test case, k \ge 5 and k \le 4 , which is impossible. So the
answer is 0 .","import math
import re
 
def input_n(isOne=False):
    if not isOne: return int(input())
    else: return 1
def input_list(space=True, to_int = True):
    line = input()
    if space:
        items = line.split()
    else:
        items = list(line)
 
    if to_int:
        return [int(i) for i in items]
    else:
        return items
 
def list_to_string(arr, sym):
    string = """"
    for i in arr:
        string += str(i) + sym
    return string
 
 
def find_all_indices_string(string, substring):
    indices = []
    index = string.find(substring)
    while index != -1:
        indices.append(index)
        index = string.find(substring, index + 1)
    return indices
 
def find_all_indices_arr(arr, element):
    return [index for index, value in enumerate(arr) if value == element]
 
def find_arr_in_arr(arr, index, value):
    for subArray in arr:
        if subArray[index]==value:
            return subArray
    return None
 
 
def solve():
    n = int(input())
    start = -1
    end = 1e9
    num = []
    for i in range(n):
        t,v = tuple(map(int, input().split()))
        if t ==1:
            if start < v: start = v
        if t == 2:
            if end > v: end =v
        if t ==3: num.append(v)
    count_num = 0
    for i in num:
        if i < start or i > end: continue
        else: count_num+=1
    if start > end: return 0
    return end - start + 1 - count_num if end - start + 1 >= count_num else 0
        
    
    
n = input_n()
ans = []
alphabet = ""abcdefghijklmnopqrstuvwxyz""
 
for i in range(n):
    ans.append(solve())
for i in ans:
    print(i)",1,False,False
1928_A,1928_A_danileo.lopez.v_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Bob has a rectangle of size a \times b . He tries to cut this rectangle into
two rectangles with integer sides by making a cut parallel to one of the sides
of the original rectangle. Then Bob tries to form some other rectangle from
the two resulting rectangles, and he can rotate and move these two rectangles
as he wishes.

Note that if two rectangles differ only by a 90^{\circ} rotation, they are
considered the same. For example, the rectangles 6 \times 4 and 4 \times 6 are
considered the same.

Thus, from the 2 \times 6 rectangle, another rectangle can be formed, because
it can be cut into two 2 \times 3 rectangles, and then these two rectangles
can be used to form the 4 \times 3 rectangle, which is different from the 2
\times 6 rectangle.

![](https://espresso.codeforces.com/670958570876245598e151e6877e3b0231a7c60e.png)

However, from the 2 \times 1 rectangle, another rectangle cannot be formed,
because it can only be cut into two rectangles of 1 \times 1 , and from these,
only the 1 \times 2 and 2 \times 1 rectangles can be formed, which are
considered the same.

![](https://espresso.codeforces.com/1463aaa4fa7eb1e7432c1d8b5813e7ae91147066.png)

Help Bob determine if he can obtain some other rectangle, or if he is just
wasting his time.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. This is followed
by the description of the test cases.

The single line of each test case contains two integers a and b (1 \le a, b
\le 10^9 ) — the size of Bob's rectangle.

Output

For each test case, output ""Yes"" if Bob can obtain another rectangle from the
a \times b rectangle. Otherwise, output ""No"".

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive answers.

Example

Input

    7
    
    1 1
    
    2 1
    
    2 6
    
    3 2
    
    2 2
    
    2 4
    
    6 3

Output

    No
    No
    Yes
    Yes
    Yes
    Yes
    No
    
Note

In the first test case, the 1 \times 1 rectangle cannot be cut into two
rectangles, so another rectangle cannot be obtained from it.

In the fourth test case, the 3 \times 2 rectangle can be cut into two 3 \times
1 rectangles, and from these, the 1 \times 6 rectangle can be formed.

In the fifth test case, the 2 \times 2 rectangle can be cut into two 1 \times
2 rectangles, and from these, the 1 \times 4 rectangle can be formed.","t = int(input())  # Número de casos de prueba
 
for _ in range(t):
    a, b = map(int, input().split())  # Leer las dimensiones del rectángulo
    
    # Si cualquiera de las dimensiones es par
    if a % 2 == 0 or b % 2 == 0:
        # Hacer un corte en la dimensión par
        if a % 2 == 0:  # Dividir a en dos partes si es par
            a1, a2 = a // 2, a // 2
            if a1 != b:  # Verificar que no se forme un cuadrado al dividir
                print(""Yes"")
                continue
        
        if b % 2 == 0:  # Dividir b en dos partes si es par
            b1, b2 = b // 2, b // 2
            if b1 != a:  # Verificar que no se forme un cuadrado al dividir
                print(""Yes"")
                continue
 
        # Si no se puede formar un nuevo rectángulo
        print(""No"")
    else:
        # Si ambos lados son impares, no se puede formar otro rectángulo
        print(""No"")",1,True,False
1929_B,1929_B_avaniagr_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Even in kindergarten, Sasha liked a girl. Therefore, he wanted to give her a
drawing and attract her attention.

As a drawing, he decided to draw a square grid of size n \times n , in which
some cells are colored. But coloring the cells is difficult, so he wants to
color as few cells as possible. But at the same time, he wants at least k
diagonals to have at least one colored cell. Note that the square grid of size
n \times n has a total of 4n - 2 diagonals.

Help little Sasha to make the girl fall in love with him and tell him the
minimum number of cells he needs to color.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 1000 ) — the number of test cases. The description of
the test cases follows.

The only line of each test case contains two integers n and k (2 \leq n \leq
10^8 , 1 \leq k \leq 4n - 2 ) — the size of the square grid and the minimum
number of diagonals in which there should be at least one colored cell.

Output

For each test case, output a single integer — the minimum number of cells that
need to be colored.

Example

Input

    7
    
    3 4
    
    3 3
    
    3 10
    
    3 9
    
    4 7
    
    7 11
    
    2 3

Output

    2
    2
    6
    5
    4
    6
    2
    
Note

In the pictures below, the colored cells are marked in black, and all
diagonals are marked in purple.

In the first test case, you can color 2 cells so that 4 diagonals contain at
least one colored cell:

![](https://espresso.codeforces.com/c88e80de5be4f91764dbe5bdc534c50fec115db3.png)

In the third test case, you can color 6 cells so that all 10 diagonals contain
at least one colored cell:

![](https://espresso.codeforces.com/624a36083689f6fb20bf243e5d1707fdcd71ef60.png)","import math
for s in [*open(0)][1:]:
    n,k=map(int,s.split())
    if k<=(4*n-4):
        print(math.ceil(k/2))
    elif k==(4*n-3):
        print(2*n-1)
    elif k==(4*n-2):
        print(2*n)",1,True,False
1928_A,1928_A_43395_0.00%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Bob has a rectangle of size a \times b . He tries to cut this rectangle into
two rectangles with integer sides by making a cut parallel to one of the sides
of the original rectangle. Then Bob tries to form some other rectangle from
the two resulting rectangles, and he can rotate and move these two rectangles
as he wishes.

Note that if two rectangles differ only by a 90^{\circ} rotation, they are
considered the same. For example, the rectangles 6 \times 4 and 4 \times 6 are
considered the same.

Thus, from the 2 \times 6 rectangle, another rectangle can be formed, because
it can be cut into two 2 \times 3 rectangles, and then these two rectangles
can be used to form the 4 \times 3 rectangle, which is different from the 2
\times 6 rectangle.

![](https://espresso.codeforces.com/670958570876245598e151e6877e3b0231a7c60e.png)

However, from the 2 \times 1 rectangle, another rectangle cannot be formed,
because it can only be cut into two rectangles of 1 \times 1 , and from these,
only the 1 \times 2 and 2 \times 1 rectangles can be formed, which are
considered the same.

![](https://espresso.codeforces.com/1463aaa4fa7eb1e7432c1d8b5813e7ae91147066.png)

Help Bob determine if he can obtain some other rectangle, or if he is just
wasting his time.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. This is followed
by the description of the test cases.

The single line of each test case contains two integers a and b (1 \le a, b
\le 10^9 ) — the size of Bob's rectangle.

Output

For each test case, output ""Yes"" if Bob can obtain another rectangle from the
a \times b rectangle. Otherwise, output ""No"".

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive answers.

Example

Input

    7
    
    1 1
    
    2 1
    
    2 6
    
    3 2
    
    2 2
    
    2 4
    
    6 3

Output

    No
    No
    Yes
    Yes
    Yes
    Yes
    No
    
Note

In the first test case, the 1 \times 1 rectangle cannot be cut into two
rectangles, so another rectangle cannot be obtained from it.

In the fourth test case, the 3 \times 2 rectangle can be cut into two 3 \times
1 rectangles, and from these, the 1 \times 6 rectangle can be formed.

In the fifth test case, the 2 \times 2 rectangle can be cut into two 1 \times
2 rectangles, and from these, the 1 \times 4 rectangle can be formed.","for i in range(int(input())):
    a, b, = [int(i) for i in input().split()]
    if(a%2==0 and b%2==0):
      print('yes')
    elif(a-b==-a,a) or (b-a==-b,b):
      print('no') 
    elif((a-b)%2>0 or (a-b)%2<0):
      print('yes')
    else:
      print('no')",1,False,False
1945_C,1945_C_undercovers23_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"In the village of Letovo, there are n houses. The villagers decided to build a
big road that will divide the village into left and right sides. Each resident
wants to live on either the right or the left side of the street, which is
described as a sequence a_1, a_2, \dots, a_n , where a_j = 0 if the resident
of the j -th house wants to live on the left side of the street; otherwise,
a_j = 1 .

The road will pass between two houses. The houses to the left of it will be
declared the left-side, and the houses to the right will be declared the
right-side. More formally, let the road pass between houses i and i+1 . Then
the houses at positions between 1 and i will be on the left side of the
street, and at positions between i+1 and n will be on the right side. The road
also may pass before the first and after the last house; in this case, the
entire village is declared to be either the right or left side, respectively.

To make the design fair, it was decided to lay the road so that at least half
of the residents on each side of the village are satisfied with the choice.
That is, among x residents on one side, at least \lceil\frac{x}{2}\rceil
should want to live on that side, where \lceil x \rceil denotes rounding up a
real number x .

![](https://espresso.codeforces.com/75baa17903d65a630fb0d3334683e857d5fdc345.png)
To the left of the road, there will be i houses, among the corresponding a_j
there must be at least \lceil\frac{i}{2}\rceil zeros. To the right of the
road, there will be n-i houses, among the corresponding a_j there must be at
least \lceil\frac{n-i}{2}\rceil ones.

Determine after which house i the road should be laid in order to satisfy the
described condition and be as close to the middle of the village as possible.
Formally, among all suitable positions i , minimize \left|\frac{n}{2} -
i\right| .

If there are multiple suitable positions i with the minimum \left|\frac{n}{2}
- i\right| , output the smaller one.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 2\cdot 10^4 ). The description of the test cases
follows.

The first line of each test case contains a single integer n (3 \le n \le
3\cdot 10^5 ). The next line of each test case contains a string a of length n
, consisting only of 0 and 1 .

It is guaranteed that the sum of n over all test cases does not exceed 3\cdot
10^5 .

Output

For each test case, output a single number i — the position of the house after
which the road should be laid (if it should be laid before the first house,
output 0 ). We can show that the answer always exists.

Example

Input

    7
    
    3
    
    101
    
    6
    
    010111
    
    6
    
    011001
    
    3
    
    000
    
    3
    
    110
    
    3
    
    001
    
    4
    
    1100

Output

    2
    3
    2
    3
    0
    1
    0
    
Note

Let's consider the first example of input data.

If we lay the road after the first house, there will be one house a_1 = 1 on
the left side of the street, the resident of which would like to live on the
right side of the street. Then 0 out of 1 residents on the even side will be
satisfied with the choice, which means that the road cannot be laid after
house 1 .

If we lay the road after the second house, 1 out of 2 residents on the left
side (with preferences a_1 = 1 , a_2 = 0 ) and 1 out of 1 resident on the
right side (with preference a_3 = 1 ) will be satisfied with the choice. More
than half of the residents on each side are satisfied with the choice, which
means that the road can be laid after house 2 . We can show that this is the
optimal answer.","t=int(input())
for _ in range(t):
    n=int(input())
    s=input()
    
    if n%2==0:
        pk=n/2
    else:
        pk=(n/2) 
    
    sl=list(s)
    o=sl.count(""1"")
    z=sl.count(""0"")
    
    zero,one=0,0
    lst=[]
    mini=pow(10,8)
    for i in range(n-1):
        if s[i]==""0"":
            zero+=1
        else:
            one+=1
        
        zero_perc=(zero*100)//(i+1)
        one_perc=((o-one)*100)//(n-i-1)
        #print(zero_perc,one_perc,""hulu"",i)
        if zero_perc>=50 and one_perc>=50:
            lst.append(i+1)
        #print(lst)
 
    #print(mini,""le"")
    #print(lst)
    #print(pk)
    for ele in lst:
        mini=min(mini,abs(pk-ele))
    final=[]
    #print(mini,""88"")
    for elem in lst:
        if abs(pk-elem)==mini:
            final.append(elem)
    
    final.sort()
    if len(final)==0:
        c1=(o*100)//n
        if c1>=50:
            final.append(0)
        else:
            final.append(n)
        
    print(final[0])",1,True,False
1974_B,1974_B_vher1311._0.00%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Polycarp has a string s , which consists of lowercase Latin letters. He
encodes this string using the following algorithm:

  * first, he constructs a new auxiliary string r , which consists of all distinct letters of the string s , written in alphabetical order; 
  * then the encoding happens as follows: each character in the string s is replaced by its symmetric character from the string r (the first character of the string r will be replaced by the last, the second by the second from the end, and so on). 

For example, encoding the string s =""codeforces"" happens as follows:

  * the string r is obtained as ""cdefors""; 
  * the first character s_1 ='c' is replaced by 's'; 
  * the second character s_2 ='o' is replaced by 'e'; 
  * the third character s_3 ='d' is replaced by 'r'; 
  * ... 
  * the last character s_{10} ='s' is replaced by 'c'. 

![](https://espresso.codeforces.com/b6f889887677396af4d296900b8ca492324e83ef.png)
The string r and replacements for s =""codeforces"".

Thus, the result of encoding the string s =""codeforces"" is the string
""serofedsoc"".

Write a program that performs decoding — that is, restores the original string
s from the encoding result.

Input

The first line contains a single integer t (1 \le t \le 10^4 ) — the number of
test cases.

The first line of each test case contains a single integer n (1 \le n \le 2
\cdot 10^5 ) — the length of the string b .

The second line of each test case contains a string b of length n , consisting
of lowercase Latin letters — the result of encoding the original string s .

It is guaranteed that the sum of the values of n over all test cases in the
test does not exceed 2 \cdot 10^5 .

Output

For each test case, output the string s from which the encoding result b was
obtained.

Example

Input

    5
    
    10
    
    serofedsoc
    
    3
    
    ttf
    
    9
    
    tlrhgmaoi
    
    1
    
    w
    
    15
    
    hnndledmnhlttin

Output

    codeforces
    fft
    algorithm
    w
    meetinthemiddle","def symmetric_encode(s):
    # Create a list of unique characters from the input string
    unique_chars = sorted(list({char for char in s}))
    
    i, j = 0, len(unique_chars) - 1
    
    # Encode the input string
    for char in s:
        if char in unique_chars:
            # Replace the current character with its symmetric counterpart
            s = s.replace(char, unique_chars[j])
            j -= 1
        else:
            # Add the new character to the unique_chars list
            unique_chars.insert(i, char)
            
            # Update i and j
            i += 1
            j += 1
    
    return ''.join(unique_chars)
 
# Main function
if __name__ == ""__main__"":
    t = int(input())
    
    for _ in range(t):
        n = int(input())
        b = input()
        
        # Get the encoded string
        encoded_str = symmetric_encode(b)
        
        # Print the encoded string
        print(encoded_str)",1,False,False
1937_D,1937_D_Dipta_bar_5.26%,codeforces2024,human,qwen2p5-coder-32b-instruct,"There is a one-dimensional grid of length n . The i -th cell of the grid
contains a character s_i , which is either '<' or '>'.

When a pinball is placed on one of the cells, it moves according to the
following rules:

  * If the pinball is on the i -th cell and s_i is '<', the pinball moves one cell to the left in the next second. If s_i is '>', it moves one cell to the right. 
  * After the pinball has moved, the character s_i is inverted (i. e. if s_i used to be '<', it becomes '>', and vice versa). 
  * The pinball stops moving when it leaves the grid: either from the left border or from the right one. 

You need to answer n independent queries. In the i -th query, a pinball will
be placed on the i -th cell. Note that we always place a pinball on the
initial grid.

For each query, calculate how many seconds it takes the pinball to leave the
grid. It can be shown that the pinball will always leave the grid within a
finite number of steps.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 10^5 ). The description of the test cases follows.

The first line of each test case contains an integer n (1 \le n \le 5 \cdot
10^5 ).

The second line of each test case contains a string s_1s_2 \ldots s_{n} of
length n consisting of characters '<' and '>'.

It is guaranteed that the sum of n over all test cases does not exceed 5 \cdot
10^5 .

Output

For each test case, for each i (1 \le i \le n ) output the answer if a pinball
is initially placed on the i -th cell.

Example

Input

    3
    
    3
    
    ><<
    
    4
    
    <<<<
    
    6
    
    <><<<>

Output

    3 6 5 
    1 2 3 4 
    1 4 7 10 8 1 
    
Note

In the first test case, the movement of the pinball for i=1 is shown in the
following pictures. It takes the pinball 3 seconds to leave the grid.

![](https://espresso.codeforces.com/775b656d27e63ce8901e1ef80487972d536b4a54.png)

The movement of the pinball for i=2 is shown in the following pictures. It
takes the pinball 6 seconds to leave the grid.

![](https://espresso.codeforces.com/515bd5576868cf33d4190893928faa21e69dd5c7.png)","t = int(input())
 
 
 
def solve(s):
    n = len(s)
    A = [] 
    idx_A = []
    for i in range(0, n):
        if s[i] == '>':
            if (len(idx_A) == 0):
                A.append(0)
            else:
                x = A[len(A) - 1] + (i - idx_A[len(idx_A) - 1]) * len(idx_A)
                A.append(x)
            idx_A.append(i)
    B = []
    idx_B = []
    for j in range(0, n):
        i = n - 1 - j
        if s[i] == '<':
            if (len(idx_B) == 0):
                B.append(0)
            else:
                x = B[len(B) - 1] + (idx_B[len(B) - 1] - i) * len(idx_B)
                B.append(x)
            idx_B.append(i)
    l = 0
    r = len(B)
 
    for i in range(0, n):
        if (s[i] == '>'):
            if l < r:
                a = A[l]
                x = r - (l + 2)
                b = B[r - 1]
                if x >= 0:
                    b = b - B[x]
                    b = b - (idx_B[x] - idx_B[r - 1]) * (x + 1)
                b = (idx_B[r - 1] - i) * (l + 1)
                print(a * 2 + b * 2 + i + 1, end = "" "")
            else:
                if (r == 0):
                    print(n - i, end = "" "")
                else:
                    a = B[r - 1] + (idx_B[r - 1] - i) * r
                    b = A[l - 1]
                    if l - r > 0:
                        b = b - A[l - r - 1]
                        b = b - (idx_A[l - 1] - idx_A[l - r - 1]) * (l - r)
                    b = b + (i - idx_A[l - 1]) * r
                    print(a * 2 + b * 2 + (n - i), end = "" "")
            l += 1
        else:
            r -= 1
            if (l <= r):
                if (l == 0):
                    print(i + 1, end = "" "")
                else:
                    a = A[l - 1]
                    a = a + (i - idx_A[l - 1]) * l
                    b = B[r]
                    if r - l >= 0:
                        b = b - B[r - l]
                        b = b - (idx_B[r - l] - i) * (r - l)
                    b = b + (idx_B[r] - i) * l
                    print(a * 2 + b * 2 + i + 1, end = "" "")
            else:
                if (r == 0):
                    print((n - i) + (i - idx_A[l - 1]) * 2, end = "" "")
                else:
                    a = B[r]
                    b = A[l - 1]
                    if l - r - 1 > 0:
                        b = b - A[l - r - 2]
                        b = b - (idx_A[l - 1] - idx_A[l - r - 2]) * (l - r - 1)
                    b = b + (i - idx_A[l - 1]) * (r + 1)
                    print(a * 2 + b * 2 + (n - i), end = "" "")
 
 
for i in range(0, t):
    n = int(input())
    s = input()
    solve(s)
    print()",1,False,False
1941_B,1941_B_mathemolympiad_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Rudolf has an array a of n integers, the elements are numbered from 1 to n .

In one operation, he can choose an index i (2 \le i \le n - 1 ) and assign:

  * a_{i - 1} = a_{i - 1} - 1 
  * a_i = a_i - 2 
  * a_{i + 1} = a_{i + 1} - 1 

Rudolf can apply this operation any number of times. Any index i can be used
zero or more times.

Can he make all the elements of the array equal to zero using this operation?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases in the test.

The first line of each case contains a single integer n (3 \le n \le 2 \cdot
10^5 ) — the number of elements in the array.

The second line of each case contains n integers a_1, a_2, \dots, a_n (0 \le
a_j \le 10^9 ) — the elements of the array.

It is guaranteed that the sum of the values of n over all test cases does not
exceed 2 \cdot 10^5 .

Output

For each test case, output ""YES"" if it is possible to make all the elements of
the array zero using the described operations. Otherwise, output ""NO"".

You can output each letter in any case (lowercase or uppercase). For example,
the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be accepted as a positive
answer.

Example

Input

    7
    
    5
    
    1 3 5 5 2
    
    5
    
    2 4 4 5 1
    
    5
    
    0 1 3 3 1
    
    6
    
    5 6 0 2 3 0
    
    4
    
    1 2 7 2
    
    3
    
    7 1 0
    
    4
    
    1 1 1 1

Output

    YES
    NO
    YES
    NO
    NO
    NO
    NO
    
Note

In the first example, the original array is [1, 3, 5, 5, 2] , to make all its
elements zero, Rudolf can act as follows:

  * apply the operation at i=4 and get the array [1, 3, 4, 3, 1] ; 
  * apply the operation at i=3 and get the array [1, 2, 2, 2, 1] ; 
  * apply the operation at i=2 and get the array [0, 0, 1, 2, 1] ; 
  * apply the operation at i=4 and get the array [0, 0, 0, 0, 0] .","numTest = int(input())
 
for _ in range (0, numTest):
    n = int(input())
    a = [int(x) for x in input().split()]
    stop = False
    for i in range (0, n-2):
        if a[i] < 0:
            print(""NO"")
            stop = True
            break
        opNum = a[i]
        a[i] -= opNum
        a[i+1] -= 2*opNum
        a[i+2] -= opNum
    if stop == True:
        continue
    if a[len(a)-1]!=0 or a[len(a)-2]!=0:
        print(""NO"")
    else:
        print(""YES"")",1,True,False
1949_I,1949_I_Kengreville_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"You are given n disks in the plane. The center of each disk has integer
coordinates, and the radius of each disk is a positive integer. No two disks
overlap in a region of positive area, but it is possible for disks to be
tangent to each other.

Your task is to determine whether it is possible to change the radii of the
disks in such a way that:

  * Disks that were tangent to each other remain tangent to each other. 
  * No two disks overlap in a region of positive area. 
  * The sum of all radii strictly decreases. 

The new radii are allowed to be arbitrary positive real numbers. The centers
of the disks cannot be changed.

Input

The first line contains an integer n (1\le n \le 1000 ) — the number of disks.

The next n lines contain three integers each. The i -th of such lines contains
x_i , y_i (-10^9 \leq x_i, y_i \leq 10^9 ), and r_i (1 \leq r_i \leq 10^9 ) —
the coordinates of the center, and the radius, of the i -th disk.

Output

Print \texttt{YES} if it is possible to change the radii in the desired
manner. Otherwise, print \texttt{NO} .

Examples

Input

    5
    
    0 2 1
    
    0 0 1
    
    4 -3 4
    
    11 0 3
    
    11 5 2

Output

    YES
    
Input

    4
    
    2 2 2
    
    7 2 3
    
    7 7 2
    
    2 7 3

Output

    NO
    
Note

In the first sample, one can decrease the radii of the first and third disk by
0.5 , and increase the radius of the second disk by 0.5 . This way, the sum of
all radii decreases by 0.5 . The situation before and after changing the radii
is depicted below.

![](https://espresso.codeforces.com/4b45c054d9d982f08b53794399aa5b89a9ee57cf.png)
First sample (left) and a valid way to change the radii of the disks (right).

In the second sample, depicted below, there is no way to change the radii of
the disks in the desired manner.

![](https://espresso.codeforces.com/b7f2e5711b726197f87b2e05ff5d4d5d6e77ee50.png)
Second sample.","def main():
    n = int(input())
    x = [None] * n
    y = [None] * n
    r = [None] * n
    visited = [False] * n
    coef = [None] * n
    for i in range(n):
        x[i], y[i], r[i] = map(int, input().split())
 
    tot = 0
    bipartite = True
 
    def dfs(i):
        nonlocal tot, bipartite
        if not visited[i]:
            visited[i] = True
            tot += coef[i]
            for j in range(n):
                dx = x[i] - x[j]
                dy = y[i] - y[j]
                if (r[i] + r[j]) ** 2 == dx ** 2 + dy ** 2:
                    if not visited[j]:
                        coef[j] = -coef[i]
                        dfs(j)
                    else:
                        bipartite = bipartite and coef[j] == -coef[i]
 
    ok = False
    for i in range(n):
        if not visited[i]:
            coef[i] = 1
            tot = 0
            bipartite = True
            dfs(i)
            ok = ok or (bipartite and tot != 0)
    if ok:
        print(""YES"")
    else:
        print(""NO"")
 
main()",1,True,False
1926_C,1926_C_vjudge2_100%,codeforces2024,human,qwen2p5-coder-32b-instruct,"Please note that the time limit for this problem is only 0.5 seconds per test.

Vladislav wrote the integers from 1 to n , inclusive, on the board. Then he
replaced each integer with the sum of its digits.

What is the sum of the numbers on the board now?

For example, if n=12 then initially the numbers on the board are:

Then after the replacement, the numbers become:

The sum of these numbers is 1+2+3+4+5+6+7+8+9+1+2+3=51 . Thus, for n=12 the
answer is 51 .

Input

The first line contains an integer t (1 \leq t \leq 10^4 ) — the number of
test cases.

The only line of each test case contains a single integer n (1 \leq n \leq 2
\cdot 10^5 ) — the largest number Vladislav writes.

Output

For each test case, output a single integer — the sum of the numbers at the
end of the process.

Example

Input

    7
    
    12
    
    1
    
    2
    
    3
    
    1434
    
    2024
    
    200000

Output

    51
    1
    3
    6
    18465
    28170
    4600002","def convertNumber(num):
    a =0
    while num!=0:
        a = a+num%10
        num=int(num/10)
    return a
 
A=[]
sum =0
for i in range(1,200001):
    a=convertNumber(i)
    sum=sum+a
    A.append(sum)
 
 
for t in range(int(input())):
    n= int(input())
    print(A[n-1])",1,True,False
