Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,tester
1924_A,1924_A_dhruvdd8888_100%,codeforces2024,human,qwen2.5-7b-instruct,"You are given two integers n and k along with a string s .

Your task is to check whether all possible strings of length n that can be
formed using the first k lowercase English alphabets occur as a subsequence of
s . If the answer is NO, you also need to print a string of length n that can
be formed using the first k lowercase English alphabets which does not occur
as a subsequence of s .

If there are multiple answers, you may print any of them.

Note: A string a is called a subsequence of another string b if a can be
obtained by deleting some (possibly zero) characters from b without changing
the order of the remaining characters.

Input

The first line of input contains a single integer t \, (1 \le t \le 10^5) ,
the number of test cases.

The first line of each test case contains 3 integers n \, (1 \le n \le 26), \:
k \, (1 \le k \le 26), \: m \, (1 \le m \le 1000) , where n and k are the same
as described in the input and m is the length of the string s .

The second line of each test case contains a single string s of length m ,
comprising only of the first k lowercase English alphabets.

It is guaranteed that the sum of m and the sum of n over all test cases does
not exceed 10^6 .

Output

For each test case, print YES if all possible strings of length n that can be
formed using the first k lowercase English alphabets occur as a subsequence of
s , else print NO.

If your answer is NO, print a string of length n that can be formed using the
first k lowercase English alphabets which does not occur as a subsequence of s
in the next line.

You may print each letter of YES or NO in any case (for example, YES, yES, YeS
will all be recognized as a positive answer).

Example

Input

    3
    
    2 2 4
    
    abba
    
    2 2 3
    
    abb
    
    3 3 10
    
    aabbccabab

Output

    YES
    NO
    aa
    NO
    ccc
    
Note

For the first test case, all possible strings (aa, ab, ba, bb) of length 2
that can be formed using the first 2 English alphabets occur as a subsequence
of abba.

For the second test case, the string aa is not a subsequence of abb.","from collections import *
from math import *
from heapq import *
import sys
from bisect import *
from random import randint
rrr = randint(8888,88888)
 
 
def sol():
    n,k,m = tuple(map(int,input().split()))
 
    s = input()
    us = set(chr(i+97) for i  in range(k))
    win = set()
    ans = []
    ps = 0
    for i in s:
        if i in us:
            win.add(i)
            if len(win) == k:
                ans.append(i)
                ps += 1
                win.clear()
    
    # print(ps)
    if ps >= n:return print(""YES"")
 
    print(""NO"")
 
    for i in us:
        if i not in win:
            return print("""".join(ans)+i + (""a"" * (n - len(ans) - 1)))
 
 
 
for _ in range(int(input())):
    sol()",1,True,False
1974_B,1974_B_vher1311._100%,codeforces2024,human,qwen2.5-7b-instruct,"Polycarp has a string s , which consists of lowercase Latin letters. He
encodes this string using the following algorithm:

  * first, he constructs a new auxiliary string r , which consists of all distinct letters of the string s , written in alphabetical order; 
  * then the encoding happens as follows: each character in the string s is replaced by its symmetric character from the string r (the first character of the string r will be replaced by the last, the second by the second from the end, and so on). 

For example, encoding the string s =""codeforces"" happens as follows:

  * the string r is obtained as ""cdefors""; 
  * the first character s_1 ='c' is replaced by 's'; 
  * the second character s_2 ='o' is replaced by 'e'; 
  * the third character s_3 ='d' is replaced by 'r'; 
  * ... 
  * the last character s_{10} ='s' is replaced by 'c'. 

![](https://espresso.codeforces.com/b6f889887677396af4d296900b8ca492324e83ef.png)
The string r and replacements for s =""codeforces"".

Thus, the result of encoding the string s =""codeforces"" is the string
""serofedsoc"".

Write a program that performs decoding — that is, restores the original string
s from the encoding result.

Input

The first line contains a single integer t (1 \le t \le 10^4 ) — the number of
test cases.

The first line of each test case contains a single integer n (1 \le n \le 2
\cdot 10^5 ) — the length of the string b .

The second line of each test case contains a string b of length n , consisting
of lowercase Latin letters — the result of encoding the original string s .

It is guaranteed that the sum of the values of n over all test cases in the
test does not exceed 2 \cdot 10^5 .

Output

For each test case, output the string s from which the encoding result b was
obtained.

Example

Input

    5
    
    10
    
    serofedsoc
    
    3
    
    ttf
    
    9
    
    tlrhgmaoi
    
    1
    
    w
    
    15
    
    hnndledmnhlttin

Output

    codeforces
    fft
    algorithm
    w
    meetinthemiddle","def decode_string(encoded):
    # Get unique characters and sort them to form 'r'
    r = ''.join(sorted(set(encoded)))
    # Create the mapping dictionary
    mapping = {r[i]: r[-(i+1)] for i in range(len(r))}
    # Decode the string using the mapping
    return ''.join(mapping[char] for char in encoded)
 
# Reading input
import sys
input = sys.stdin.read
data = input().split()
 
index = 0
t = int(data[index])
index += 1
results = []
 
for _ in range(t):
    n = int(data[index])
    index += 1
    b = data[index]
    index += 1
    results.append(decode_string(b))
 
# Output the results
print('\n'.join(results))",1,True,False
1974_B,1974_B_vher1311._100%,codeforces2024,human,qwen2.5-7b-instruct,"Polycarp has a string s , which consists of lowercase Latin letters. He
encodes this string using the following algorithm:

  * first, he constructs a new auxiliary string r , which consists of all distinct letters of the string s , written in alphabetical order; 
  * then the encoding happens as follows: each character in the string s is replaced by its symmetric character from the string r (the first character of the string r will be replaced by the last, the second by the second from the end, and so on). 

For example, encoding the string s =""codeforces"" happens as follows:

  * the string r is obtained as ""cdefors""; 
  * the first character s_1 ='c' is replaced by 's'; 
  * the second character s_2 ='o' is replaced by 'e'; 
  * the third character s_3 ='d' is replaced by 'r'; 
  * ... 
  * the last character s_{10} ='s' is replaced by 'c'. 

![](https://espresso.codeforces.com/b6f889887677396af4d296900b8ca492324e83ef.png)
The string r and replacements for s =""codeforces"".

Thus, the result of encoding the string s =""codeforces"" is the string
""serofedsoc"".

Write a program that performs decoding — that is, restores the original string
s from the encoding result.

Input

The first line contains a single integer t (1 \le t \le 10^4 ) — the number of
test cases.

The first line of each test case contains a single integer n (1 \le n \le 2
\cdot 10^5 ) — the length of the string b .

The second line of each test case contains a string b of length n , consisting
of lowercase Latin letters — the result of encoding the original string s .

It is guaranteed that the sum of the values of n over all test cases in the
test does not exceed 2 \cdot 10^5 .

Output

For each test case, output the string s from which the encoding result b was
obtained.

Example

Input

    5
    
    10
    
    serofedsoc
    
    3
    
    ttf
    
    9
    
    tlrhgmaoi
    
    1
    
    w
    
    15
    
    hnndledmnhlttin

Output

    codeforces
    fft
    algorithm
    w
    meetinthemiddle","def decode_string(encoded):
    # Get unique characters and sort them to form 'r'
    r = ''.join(sorted(set(encoded)))
    # Create the mapping dictionary
    mapping = {r[i]: r[-(i+1)] for i in range(len(r))}
    # Decode the string using the mapping
    return ''.join(mapping[char] for char in encoded)
 
# Reading input
import sys
input = sys.stdin.read
data = input().split()
 
index = 0
t = int(data[index])
index += 1
results = []
 
for _ in range(t):
    n = int(data[index])
    index += 1
    b = data[index]
    index += 1
    results.append(decode_string(b))
 
# Output the results
print('\n'.join(results))",1,True,False
1971_D,1971_D_M2024_100%,codeforces2024,human,qwen2.5-7b-instruct,"You are given a binary string^{\dagger} . Please find the minimum number of
pieces you need to cut it into, so that the resulting pieces can be rearranged
into a sorted binary string.

![](https://espresso.codeforces.com/76039f9769ba94c1817dbbc5e1fb1b5e4f60950f.png)

Note that:

  * each character must lie in exactly one of the pieces; 
  * the pieces must be contiguous substrings of the original string; 
  * you must use all the pieces in the rearrangement. 

^{\dagger} A binary string is a string consisting of characters \texttt{0} and
\texttt{1} . A sorted binary string is a binary string such that all
characters \texttt{0} come before all characters \texttt{1} .

Input

The first line contains a single integer t (1 \leq t \leq 500 ) — the number
of test cases.

The only line of each test case contains a single string s (1 \leq |s| \leq
500 ) consisting of characters \texttt{0} and \texttt{1} , where |s| denotes
the length of the string s .

Output

For each test case, output a single integer — the minimum number of pieces
needed to be able to rearrange the string into a sorted binary string.

Example

Input

    6
    
    11010
    
    00000000
    
    1
    
    10
    
    0001111
    
    0110

Output

    3
    1
    1
    2
    1
    2
    
Note

The first test case is pictured in the statement. It can be proven that you
can't use fewer than 3 pieces.

In the second and third test cases, the binary string is already sorted, so
only 1 piece is needed.

In the fourth test case, you need to make a single cut between the two
characters and rearrange them to make the string \texttt{01} .","t = int(input())
 
for _ in range(t):
    a = input()
    cut0 = 0
    cut1 = 0
    for i in range(len(a)-1):
        if a[i] == '1' and a[i+1] == '0':
            cut1 += 1
        if a[i] == '0' and a[i+1] == '1':
            cut0 += 1
    if cut0 == 0:
        print(cut1+1)
    else:
        print(cut0+cut1)
 
# 011 0 111 0 11
# 1 011",1,True,False
1974_B,1974_B_vher1311._0.00%,codeforces2024,human,qwen2.5-7b-instruct,"Polycarp has a string s , which consists of lowercase Latin letters. He
encodes this string using the following algorithm:

  * first, he constructs a new auxiliary string r , which consists of all distinct letters of the string s , written in alphabetical order; 
  * then the encoding happens as follows: each character in the string s is replaced by its symmetric character from the string r (the first character of the string r will be replaced by the last, the second by the second from the end, and so on). 

For example, encoding the string s =""codeforces"" happens as follows:

  * the string r is obtained as ""cdefors""; 
  * the first character s_1 ='c' is replaced by 's'; 
  * the second character s_2 ='o' is replaced by 'e'; 
  * the third character s_3 ='d' is replaced by 'r'; 
  * ... 
  * the last character s_{10} ='s' is replaced by 'c'. 

![](https://espresso.codeforces.com/b6f889887677396af4d296900b8ca492324e83ef.png)
The string r and replacements for s =""codeforces"".

Thus, the result of encoding the string s =""codeforces"" is the string
""serofedsoc"".

Write a program that performs decoding — that is, restores the original string
s from the encoding result.

Input

The first line contains a single integer t (1 \le t \le 10^4 ) — the number of
test cases.

The first line of each test case contains a single integer n (1 \le n \le 2
\cdot 10^5 ) — the length of the string b .

The second line of each test case contains a string b of length n , consisting
of lowercase Latin letters — the result of encoding the original string s .

It is guaranteed that the sum of the values of n over all test cases in the
test does not exceed 2 \cdot 10^5 .

Output

For each test case, output the string s from which the encoding result b was
obtained.

Example

Input

    5
    
    10
    
    serofedsoc
    
    3
    
    ttf
    
    9
    
    tlrhgmaoi
    
    1
    
    w
    
    15
    
    hnndledmnhlttin

Output

    codeforces
    fft
    algorithm
    w
    meetinthemiddle","def symmetric_encode(s):
    # Create a list of unique characters from the input string
    unique_chars = sorted(list({char for char in s}))
    
    i, j = 0, len(unique_chars) - 1
    
    # Encode the input string
    for char in s:
        if char in unique_chars:
            # Replace the current character with its symmetric counterpart
            s = s.replace(char, unique_chars[j])
            j -= 1
        else:
            # Add the new character to the unique_chars list
            unique_chars.insert(i, char)
            
            # Update i and j
            i += 1
            j += 1
    
    return ''.join(unique_chars)
 
# Main function
if __name__ == ""__main__"":
    t = int(input())
    
    for _ in range(t):
        n = int(input())
        b = input()
        
        # Get the encoded string
        encoded_str = symmetric_encode(b)
        
        # Print the encoded string
        print(encoded_str)",1,False,False
1950_C,1950_C_imaginary_faye_50.00%,codeforces2024,human,qwen2.5-7b-instruct,"Given the time in 24-hour format, output the equivalent time in 12-hour
format.

  * [24-hour format](https://en.wikipedia.org/wiki/24-hour_clock#Description) divides the day into 24 hours from 00 to 23 , each of which has 60 minutes from 00 to 59 . 
  * [12-hour format](https://en.wikipedia.org/wiki/12-hour_clock#Description) divides the day into two halves: the first half is \mathrm{AM} , and the second half is \mathrm{PM} . In each half, the hours are numbered in the order 12, 01, 02, 03, \dots, 11 . Each hour has 60 minutes numbered from 00 to 59 . 

Input

The first line contains a single integer t (1 \leq t \leq 1440 ) — the number
of test cases.

The only line of each test case contains a string s of length 5 with format
hh:mm representing a valid time in the 24-hour format. hh represents the hour
from 00 to 23 , and mm represents the minute from 00 to 59 .

The input will always be a valid time in 24-hour format.

Output

For each test case, output two strings separated by a space (""hh:mm AM"" or
""hh:mm PM""), which are the 12-hour equivalent to the time provided in the test
case (without quotes).

You should output the time exactly as indicated; in particular, you should not
remove leading zeroes.

Example

Input

    11
    
    09:41
    
    18:06
    
    12:14
    
    00:59
    
    00:00
    
    14:34
    
    01:01
    
    19:07
    
    11:59
    
    12:00
    
    21:37

Output

    09:41 AM
    06:06 PM
    12:14 PM
    12:59 AM
    12:00 AM
    02:34 PM
    01:01 AM
    07:07 PM
    11:59 AM
    12:00 PM
    09:37 PM","def gb114():
    for t in range(int(input())):
        s = input()
        h = s[:2]
        if h == '00':
            print('12', end='')
        elif int(h) <= 12:
            print(h, end='')
        else:
            print('0{}'.format(int(h) - 12), end='')
        print(s[2:], ['AM', 'PM'][int(h) >= 12])
gb114()",1,False,False
1949_D,1949_D_Lucina_24.69%,codeforces2024,human,qwen2.5-7b-instruct,"You are designing a new video game. It has n scenarios, which the player may
play in any order, but each scenario must be played exactly once. When a
player switches from a scenario to another scenario, the game shows a
specially crafted transition video to make it all feel part of one big story.
This video is specific to a pair of scenarios, but not to their order, in
other words, the video playing when switching from scenario a to scenario b is
the same as the video playing when switching from scenario b to scenario a .
Therefore, you need to create \frac{n(n-1)}{2} different transition videos,
one for each possible pair of different scenarios.

Each transition video can be either funny or scary. It is boring to see too
many funny videos or too many scary videos in a row. Therefore, your goal is
to create the videos in such a way that no matter in which order does the
player approach the scenarios, they will never see more than \lceil
\frac{3n}{4} \rceil transition videos of the same type in a row.

You have already come up with ideas for at most \lfloor \frac{n}{2} \rfloor of
the transition videos, and therefore already know if those will be funny or
scary. Now you need to choose funny or scary for all other transition videos
in such a way that the above requirement is satisfied.

Input

The first line contains a single integer n (2 \le n \le 24 ) — the number of
scenarios in the game.

The next n lines describe the partial transition video plan. Each of those
lines contains n characters. The j -th character of the i -th line corresponds
to the transition video between the i -th and the j -th scenarios. It will be
F if the corresponding transition video will be funny, S if the corresponding
transition video will be scary, ? if the corresponding transition video is
still undecided, or . if i=j .

It is guaranteed that the i -th character of the j -th line and the j -th
character of the i -th line will be the same for all i and j . It is
guaranteed that at most \lfloor \frac{n}{2} \rfloor (n divided by 2, rounded
down) transition videos will already be decided, in other words, that at most
2\lfloor \frac{n}{2} \rfloor characters in the input will be F or S.

Output

Print n lines describing the full transition video plan in the same format as
the input. Each of those lines must contain n characters. The j -th character
of the i -th line must be F if the corresponding transition video is funny, S
if the corresponding transition video is scary, or . if i=j .

Each ? character from the input must be replaced with either F or S, and all
other characters from the input must remain unchanged. It must still hold that
the i -th character of the j -th line and the j -th character of the i -th
line are the same for all i and j .

For each permutation of the n scenarios, it must hold that the transition
videos corresponding to playing the scenarios in this order do not have more
than \lceil \frac{3n}{4} \rceil (3n divided by 4, rounded up) videos of the
same type consecutively.

If there are multiple solutions, print any of them. It can be proven that for
all inputs satisfying the constraints of this problem a solution always
exists.

Examples

Input

    5
    
    .?F??
    
    ?.???
    
    F?.S?
    
    ??S.?
    
    ????.

Output

    .FFFF
    F.FFF
    FF.SF
    FFS.F
    FFFF.

Input

    12
    
    .???????????
    
    ?.??????????
    
    ??.?????????
    
    ???.????????
    
    ????.???????
    
    ?????.??????
    
    ??????.?????
    
    ???????.????
    
    ????????.???
    
    ?????????.??
    
    ??????????.?
    
    ???????????.

Output

    .SSSFFSSSSFS
    S.SFFSFSFFFS
    SS.SFFFSSSFS
    SFS.FFSSSSFS
    FFFF.FFFFFSF
    FSFFF.SFFSFF
    SFFSFS.SSSFS
    SSSSFFS.SSFS
    SFSSFFSS.SFS
    SFSSFSSSS.FS
    FFFFSFFFFF.F
    SSSSFFSSSSF.
    
Note

In the first sample: We are allowed \lceil \frac{3\cdot 5}{4} \rceil=4
transition videos of the same type in a row, but for any permutation of the 5
scenarios the player will see only 4 transition videos in total, therefore we
can choose funny or scary freely. We must still respect the already chosen
types.

In the second sample: One of the 479001600 possible permutations of scenarios
is 1, 7, 4, 12, 9, 8, 2, 6, 10, 3, 11, 5. The player will get the following
sequence of transition videos for this permutation: SSSSSSSSSFS. Even though
this sequence has 10 scary transition videos in total, it has only 9 scary
transition videos in a row, which is the maximum allowed amount (\lceil
\frac{3\cdot 12}{4} \rceil=9 ).","n = int(input())
a = [0]*(n+1)
b = [0]*(n+1)
xx = [""""]
for i in range(1,n+1):
    x = input()
    for j in range(1,n+1):
        if x[j-1] == ""F"":
            a[i] += 1
            a[j] += 1
        elif x[j-1] == ""S"":
            b[i] += 1
            b[j] += 1
    xx.append(x)
 
sa = []
sb = []
for i in range(1,n+1):
    if a[i] > 0 and b[i] == 0:
        sa.append(i)
    if b[i] > 0 and a[i] == 0:
        sb.append(i)
if len(sa) >= len(sb):
    for i in range(1,n+1):
        if a[i] == 0 and b[i] == 0:
            sa.append(i)
    for i in range(1,n+1):
        nx = """"
        for j in range(1,n+1):
            if xx[i][j-1] != ""?"":
                nx += xx[i][j-1]
            elif i in sa[:n//4] or j in sa[:n//4]:
                nx += ""F""
            else:
                nx += ""S""
        print(nx)
else:
    for i in range(1,n+1):
        if a[i] == 0 and b[i] == 0:
            sb.append(i)
    for i in range(1,n+1):
        nx = """"
        for j in range(1,n+1):
            if xx[i][j-1] != ""?"":
                nx += xx[i][j-1]
            elif i in sb[:n//4] or j in sb[:n//4]:
                nx += ""S""
            else:
                nx += ""F""
        print(nx)",1,False,False
1955_A,1955_A_abood718_100%,codeforces2024,human,qwen2.5-7b-instruct,"The price of one yogurt at the ""Vosmiorochka"" store is a burles, but there is
a promotion where you can buy two yogurts for b burles.

Maxim needs to buy exactly n yogurts. When buying two yogurts, he can choose
to buy them at the regular price or at the promotion price.

What is the minimum amount of burles Maxim should spend to buy n yogurts?

Input

The first line contains a single integer t (1 \le t \le {10}^{4} ) — the
number of test cases.

The first and only line of each test case contains three integers n , a , and
b (1 \le n \le 100 , 1 \le a, b \le 30 ) — the number of yogurts Maxim wants
to buy, the price for one yogurt, and the price for two yogurts on promotion.

Output

For each test case, print in a separate line the minimum cost of buying n
yogurts at ""Vosmiorochka"".

Example

Input

    4
    
    2 5 9
    
    3 5 9
    
    3 5 11
    
    4 5 11

Output

    9
    14
    15
    20
    
Note

In the third test case of the example, it is more advantageous to buy three
yogurts for 15 burles than two for 11 and one for 5 .

In the fourth test case of the example, you need to buy four yogurts, each for
5 burles.","for i in range(int(input())):
    A, B, C = map(int,input().split())
    if (B *2) < C:
        print(A*B)
    else:
        if A % 2 == 0:
            print(int((A * C)/2))
        else:
            X = A // 2
            print((X * C) + B)",1,True,False
1949_K,1949_K_artystkaProgramistka_2.56%,codeforces2024,human,qwen2.5-7b-instruct,"You are given n positive integers x_1, x_2, \ldots, x_n and three positive
integers n_a, n_b, n_c satisfying n_a+n_b+n_c = n .

You want to split the n positive integers into three groups, so that:

  * The first group contains n_a numbers, the second group contains n_b numbers, the third group contains n_c numbers.
  * Let s_a be the sum of the numbers in the first group, s_b be the sum in the second group, and s_c be the sum in the third group. Then s_a, s_b, s_c are the sides of a triangle with positive area.

Determine if this is possible. If this is possible, find one way to do so.

Input

Each test contains multiple test cases. The first line contains an integer t
(1\le t\le 100\,000 ) — the number of test cases. The descriptions of the t
test cases follow.

The first line of each test case contains the integers n, n_a, n_b, n_c (3
\leq n \leq 200\,000, 1\leq n_a,n_b,n_c \leq n-2, n_a+n_b+n_c = n ) — the
number of integers to split into three groups, and the desired sizes of the
three groups.

The second line of each test case contains n integers x_1, x_2, \ldots, x_n (1
\leq x_i \leq 10^{9} ).

It is guaranteed that the sum of n over all test cases does not exceed
200\,000 .

Output

For each test case, print \texttt{YES} if it is possible to split the numbers
into three groups satisfying all the conditions. Otherwise, print \texttt{NO}
.

If such a split exists, then describe the three groups as follows.

On the next line, print n_a integers a_1, a_2, \ldots, a_{n_a} — the numbers
in the first group.

On the next line, print n_b integers b_1, b_2, \ldots, b_{n_b} — the numbers
in the second group.

On the next line, print n_c integers c_1, c_2, \ldots, c_{n_c} — the numbers
in the third group.

These n_a+n_b+n_c=n integers should be a permutation of x_1, x_2, \ldots, x_n
, and they should satisfy the conditions from the statement.

If there are multiple solutions, print any of them.

Example

Input

    4
    
    6 2 2 2
    
    1 1 1 1 1 1
    
    5 3 1 1
    
    1 1 1 1 1
    
    6 2 2 2
    
    1 1 1 1 1 3
    
    8 1 2 5
    
    16 1 1 1 1 1 1 12

Output

    YES
    1 1 
    1 1 
    1 1 
    NO
    NO
    YES
    16 
    12 1 
    1 1 1 1 1 
    
Note

In the first test case, we can put two 1 s into each group: the sum in each
group would be 2 , and there exists a triangle with positive area and sides 2
, 2 , 2 .

In the second and third test cases, it can be shown that there is no such way
to split numbers into groups.

In the fourth test case, we can put number 16 into the first group, with sum
16 , numbers 12 and 1 into the second group, with sum 13 , and the remaining
five 1 s into the third group, with sum 5 , as there exists a triangle with
positive area and sides 16, 13, 5 .","# You are given n positive integers x1,x2,…,xn and three positive integers na,nb,nc satisfying na+nb+nc=n
#
# .
#
# You want to split the n
#
# positive integers into three groups, so that:
#
#     The first group contains na
#
# numbers, the second group contains nb numbers, the third group contains nc
# numbers.
# Let sa
# be the sum of the numbers in the first group, sb be the sum in the second group, and sc be the sum in the third group. Then sa,sb,sc
#
#     are the sides of a triangle with positive area.
#
# Determine if this is possible. If this is possible, find one way to do so.
# Input
#
# Each test contains multiple test cases. The first line contains an integer t
# (1≤t≤100000) — the number of test cases. The descriptions of the t
#
# test cases follow.
#
# The first line of each test case contains the integers n,na,nb,nc
# (3≤n≤200000,1≤na,nb,nc≤n−2,na+nb+nc=n
#
# ) — the number of integers to split into three groups, and the desired sizes of the three groups.
#
# The second line of each test case contains n
# integers x1,x2,…,xn (1≤xi≤109
#
# ).
#
# It is guaranteed that the sum of n
# over all test cases does not exceed 200000
#
# .
# Output
#
# For each test case, print YES
# if it is possible to split the numbers into three groups satisfying all the conditions. Otherwise, print NO
#
# .
#
# If such a split exists, then describe the three groups as follows.
#
# On the next line, print na
# integers a1,a2,…,ana
#
#  — the numbers in the first group.
#
# On the next line, print nb
# integers b1,b2,…,bnb
#
#  — the numbers in the second group.
#
# On the next line, print nc
# integers c1,c2,…,cnc
#
#  — the numbers in the third group.
#
# These na+nb+nc=n
# integers should be a permutation of x1,x2,…,xn
#
# , and they should satisfy the conditions from the statement.
#
# If there are multiple solutions, print any of them.
def can_form_triangle(a, b, c):
    return a + b > c and a + c > b and b + c > a
 
def solve(n, na, nb, nc, numbers):
    # Sort the numbers in descending order for optimal distribution
    numbers.sort(reverse=True)
    # Prepare the groups and their sum trackers
    group_a, group_b, group_c = [], [], []
    sum_a, sum_b, sum_c = 0, 0, 0
 
    # Function to distribute a number to the group with the smallest sum or size constraint
    def distribute_number(num):
        nonlocal sum_a, sum_b, sum_c
        # Prioritize filling smaller groups to ensure size requirements are met
        if len(group_a) < na or (len(group_a) == na and sum_a <= min(sum_b, sum_c)):
            group_a.append(num)
            sum_a += num
        elif len(group_b) < nb or (len(group_b) == nb and sum_b <= min(sum_a, sum_c)):
            group_b.append(num)
            sum_b += num
        else:
            group_c.append(num)
            sum_c += num
 
    # Distribute numbers
    for num in numbers:
        distribute_number(num)
 
    # Check if the final groups form a valid triangle
    if can_form_triangle(sum_a, sum_b, sum_c):
        return ""YES"", group_a, group_b, group_c
    else:
        return ""NO""
 
 
t = int(input())
out = []
for _ in range(t):
    n, na, nb, nc = map(int, input().split())
    x = list(map(int, input().split()))
    result = solve(n, na, nb, nc, x)  # Get the result directly
    if result == ""NO"":
        out.append(""NO"")  # Append ""NO"" directly if not possible
    else:
        # If possible, append a structured result that includes ""YES"" and the groups
        out.append([""YES"", result[1], result[2], result[3]])  # Adjust according to your solve function's return structure
 
for result in out:
    if result == ""NO"":
        print(result)
    else:
        print(result[0])  # This prints ""YES""
        for group in result[1:]:  # Iterate through the groups for printing
            print("" "".join(map(str, group)))",1,False,False
1941_C,1941_C_hussamrasheed_50.00%,codeforces2024,human,qwen2.5-7b-instruct,"Rudolf has a string s of length n . Rudolf considers the string s to be ugly
if it contains the substring^\dagger ""pie"" or the substring ""map"", otherwise
the string s will be considered beautiful.

For example, ""ppiee"", ""mmap"", ""dfpiefghmap"" are ugly strings, while ""mathp"",
""ppiiee"" are beautiful strings.

Rudolf wants to shorten the string s by removing some characters to make it
beautiful.

The main character doesn't like to strain, so he asks you to make the string
beautiful by removing the minimum number of characters. He can remove
characters from any positions in the string (not just from the beginning or
end of the string).

^\dagger String a is a substring of b if there exists a consecutive segment of
characters in string b equal to a .

Input

The first line contains a single integer t (1 \le t \le 10^4 ) — the number of
test cases. The descriptions of the test cases follow.

The first line of each test case contains a single integer n (1 \le n \le 10^6
) — the length of the string s .

The next line of each test case contains the string s of length n . The string
s consists of lowercase Latin letters.

The sum of n over all test cases does not exceed 10^6 .

Output

For each test case, output a single integer — the minimum number of characters
that need to be deleted to make the string s beautiful. If the string is
initially beautiful, then output 0 .

Example

Input

    6
    
    9
    
    mmapnapie
    
    9
    
    azabazapi
    
    8
    
    mappppie
    
    18
    
    mapmapmapmapmapmap
    
    1
    
    p
    
    11
    
    pppiepieeee

Output

    2
    0
    2
    6
    0
    2
    
Note

In the first test case, for example, you can delete the 4 th and 9 th
characters to make the string beautiful.

In the second test case, the string is already beautiful.","t=int(input())
for i in range(t):
    n=int(input())
    s=input()
    m=s.count(""map"")
    s=s.replace(""map"","""")
    
    p=s.count(""pie"")
    print(m+p)",1,False,False
