Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,vanilla_no_cot,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify
1951_A,1951_A_mdjaasir_100%,codeforces2024,human,qwen2p5-72b-instruct,"import os def generate_files_for_html_in_range(start, end): # 获取当前目录下的所有子文件夹
current_dir = os.getcwd() subfolders = [f.path for f in
os.scandir(current_dir) if f.is_dir()] for folder in subfolders: #
检查文件夹名称是否在指定范围内 folder_name = os.path.basename(folder) if
folder_name.isdigit() and start <= int(folder_name) <= end: #
获取子文件夹中的所有.html文件 html_files = [f for f in os.listdir(folder) if
f.endswith('.html')] print(f""Folder '{folder}' contains {len(html_files)} HTML
files."") # 为每个.html文件生成对应的文件 for html_file in html_files: base_name =
os.path.splitext(html_file)[0] ac_file = os.path.join(folder,
f""{base_name}-ac.py"") wa_file = os.path.join(folder, f""{base_name}-wa.py"") #
创建文件 open(ac_file, 'w').close() open(wa_file, 'w').close() print(f""Generated
files: {ac_file}, {wa_file}"") if __name__ == ""__main__"": # 指定目录范围 start_range
= 1951 end_range = 1980 generate_files_for_html_in_range(start_range,
end_range)","t=int(input())
 
for i in range(t):
    n=int(input())
    a=input()
    count=a.count('1')
 
    if count==0:
        print(""YES"")
 
    elif count>2 and count%2==0:
        print(""YES"")
 
    elif count==2:
        if a[a.index('1')+1]!='1':
            print(""YES"")
        
        else:
            print(""NO"")
    else:
        print(""NO"")",2,True,False,False,True,False,True,False,True,False,False,False,True,True,True
1928_C,1928_C_jinyiqi_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"In a well-known school, a physical education lesson took place. As usual,
everyone was lined up and asked to settle in ""the first–k -th"" position.

As is known, settling in ""the first–k -th"" position occurs as follows: the
first k people have numbers 1, 2, 3, \ldots, k , the next k - 2 people have
numbers k - 1, k - 2, \ldots, 2 , the next k people have numbers 1, 2, 3,
\ldots, k , and so on. Thus, the settling repeats every 2k - 2 positions.
Examples of settling are given in the ""Note"" section.

The boy Vasya constantly forgets everything. For example, he forgot the number
k described above. But he remembers the position he occupied in the line, as
well as the number he received during the settling. Help Vasya understand how
many natural numbers k fit under the given constraints.

Note that the settling exists if and only if k > 1 . In particular, this means
that the settling does not exist for k = 1 .

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 100 ) — the number of test cases. This is followed by
the description of the test cases.

The only line of each test case contains two integers n and x (1 \le x < n \le
10^9 ) — Vasya's position in the line and the number Vasya received during the
settling.

Output

For each test case, output a single integer — the number of different k that
fit under the given constraints.

It can be proven that under the given constraints, the answer is finite.

Example

Input

    5
    
    10 2
    
    3 1
    
    76 4
    
    100 99
    
    1000000000 500000000

Output

    4
    1
    9
    0
    1
    
Note

In the first test case, k equals 2, 3, 5, 6 are suitable.

An example of settling for these k :

k / №| 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10   
---|---|---|---|---|---|---|---|---|---|---  
2 | 1 | 2 | 1 | 2 | 1 | 2 | 1 | 2 | 1 | 2   
3 | 1 | 2 | 3 | 2 | 1 | 2 | 3 | 2 | 1 | 2   
5 | 1 | 2 | 3 | 4 | 5 | 4 | 3 | 2 | 1 | 2   
6 | 1 | 2 | 3 | 4 | 5 | 6 | 5 | 4 | 3 | 2   
  
In the second test case, k = 2 is suitable.","def sep_num(x):
    output1 = []
    output2 = []
    for i in range(1, int(x ** 0.5) + 1):
        if x % i == 0:
            output1.append(i)
            output2.append(int(x / i))
    output1.reverse()
    return output2 + output1
 
t = int(input())
 
for i in range(t):
    n, x = map(int, input().split())
    output = []
    if (n + x - 2) % 2 == 0:
        sep = sep_num(n + x - 2)
        for s in sep:
            if (s + 2) % 2 == 0 and (s + 2) / 2 >= x:
                output.append((s + 2) / 2)
    if (n - x) % 2 == 0:
        sep = sep_num(n - x)
        for s in sep:
            if (s + 2) % 2 == 0 and (s + 2) / 2 >= x:
                output.append((s + 2) / 2)
    output = list(set(output))
    # print(output, len(output))",2,False,False,False,True,False,True,True,True,False,False,False,True,True,True
1951_E,1951_E_jlee_100%,codeforces2024,human,qwen2p5-72b-instruct,"[Christopher Tin ft. Soweto Gospel Choir - Baba
Yetu](https://youtu.be/d4iOF4yoNQw)

ඞ

You are given a string s consisting of lowercase Latin characters. You need to
partition^\dagger this string into some substrings, such that each substring
is not a palindrome^\ddagger .

^\dagger A partition of a string s is an ordered sequence of some k strings
t_1, t_2, \ldots, t_k , such that t_1 + t_2 + \ldots + t_k = s , where + here
represents the concatenation operation.

^\ddagger A string s is considered a palindrome if it reads the same backwards
as forwards. For example, \mathtt{racecar} , \mathtt{abccba} , and \mathtt{a}
are palindromes, but \mathtt{ab} , \mathtt{dokibird} , and \mathtt{kurosanji}
are not.

Input

Each test contains multiple test cases. The first line contains an integer t
(1 \le t \le 10^4 ) — the number of test cases.

Each test case contains a string s consisting of lowercase Latin characters (1
\le |s| \le 10^6 ).

It is guaranteed that the sum of |s| over all test cases does not exceed 10^6
.

Output

For each test case, print on one line ""YES"" if there exists a partition of s
whose parts are not palindromes, or ""NO"" if there is no such partition.

If the answer is ""YES"", on the second line, print an integer k — the number of
parts that s needs to be partitioned to such that each part is not a
palindrome. On the third line, print k strings t_1, t_2, \ldots, t_k
representing such a partition. If there are multiple such partitions, print
any of them.

Example

Input

    3
    
    sinktheyacht
    
    lllllllll
    
    uwuowouwu

Output

    YES
    1
    sinktheyacht
    NO
    YES
    3
    uw uow ouwu
    
Note

In the first test case, since \mathtt{sinktheyacht} is already non-palindrome,
the partition [\mathtt{sinktheyacht}] is valid.

In the second test case, as any substring of the string s is palindrome, there
are no valid partitions.

In the third test case, another valid partition is [\mathtt{uw},\mathtt{uo},
\mathtt{wou}, \mathtt{wu}] .","t = int(input())
for i in range(t):
    string = input()
    s = list(string)
    n = len(s)
    done = False
    if n == 1:
        print(""NO"")
        continue
    x = s[0]
    if x != s[-1]:
        print(""YES"")
        print(1)
        print(string)
        continue
    if s.count(x) == n:
        print(""NO"")
        continue
    elif s.count(x) == n-1:
        if n%2 == 1 and s[(n-1)//2] != x:
            print(""NO"")
        else:
            print(""YES"")
            print(1)
            print(string)
        continue
    count = 0
    count2 = 0
    for j in range(n):
        if s[j] != s[n-1-j]:
            print(""YES"")
            print(1)
            print(string)
            done = True
            break
        if s[j] != x and count < 1:
            count = j
            continue
        if count > 0:
            if s[j] != x:
                if count2 < count:
                    print(""YES"")
                    print(2)
                    print(string[:j], string[j:])
                    done = True
                    break
                elif count2 == count:
                    if count > 1:
                        print(""YES"")
                        print(2)
                        print(string[:j-1], string[j-1:])
                        done = True
                        break
                    else:
                        count2 = 0
                        continue
                elif count2 > count:
                    print(""YES"")
                    print(2)
                    print(string[:j], string[j:])
                    done=True
                    break
            else:
                count2 += 1
    if not done:
        print(""NO"")",2,True,False,False,True,False,True,True,True,False,True,True,False,True,False
1972_D1,1972_D1_Calto_100%,codeforces2024,human,qwen2p5-72b-instruct,"The two versions are different problems. You may want to read both versions.
You can make hacks only if both versions are solved.

You are given two positive integers n , m .

Calculate the number of ordered pairs (a, b) satisfying the following
conditions:

  * 1\le a\le n , 1\le b\le m ; 
  * a+b is a multiple of b \cdot \gcd(a,b) . 

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1\le t\le 10^4 ). The description of the test cases follows.

The first line of each test case contains two integers n , m (1\le n,m\le 2
\cdot 10^6 ).

It is guaranteed that neither the sum of n nor the sum of m over all test
cases exceeds 2 \cdot 10^6 .

Output

For each test case, print a single integer: the number of valid pairs.

Example

Input

    6
    
    1 1
    
    2 3
    
    3 5
    
    10 8
    
    100 1233
    
    1000000 1145141

Output

    1
    3
    4
    14
    153
    1643498
    
Note

In the first test case, only (1,1) satisfies the conditions.

In the fourth test case,
(1,1),(2,1),(2,2),(3,1),(4,1),(5,1),(6,1),(6,2),(6,3),(7,1),(8,1),(9,1),(10,1),(10,2)
satisfy the conditions.","import math
def gcd(a, b):
    while b:
        a, b = b, a % b
    return a
 
def count_ordered_pairs(n, m):
    cnt = -1
    
    for i in range(1, m+1):
        x = n - ((i * i) - i)
        y = i * i
        cnt = cnt + math.ceil((x/y)) + (x % y == 0)
 
    return cnt
 
t = int(input())
for _ in range(t):
    n, m = map(int, input().split())
    result = count_ordered_pairs(n, m)
    print(result)",2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1930_C,1930_C_tfgs_100%,codeforces2024,human,qwen2p5-72b-instruct,"Stack has an array a of length n . He also has an empty set S . Note that S is
not a multiset.

He will do the following three-step operation exactly n times:

  1. Select an index i such that 1 \leq i \leq |a| . 
  2. Insert^\dagger a_i + i into S . 
  3. Delete a_i from a . Note that the indices of all elements to the right of a_i will decrease by 1 . 

Note that after n operations, a will be empty.

Stack will now construct a new array b which is S sorted in decreasing order.
Formally, b is an array of size |S| where b_i is the i -th largest element of
S for all 1 \leq i \leq |S| .

Find the lexicographically largest^\ddagger b that Stack can make.

^\dagger A set can only contain unique elements. Inserting an element that is
already present in a set will not change the elements of the set.

^\ddagger An array p is lexicographically larger than a sequence q if and only
if one of the following holds:

  * q is a prefix of p , but p \ne q ; or 
  * in the first position where p and q differ, the array p has a larger element than the corresponding element in q . 

Note that [3,1,4,1,5] is lexicographically larger than [3,1,3] , [\,] , and
[3,1,4,1] but not [3,1,4,1,5,9] , [3,1,4,1,5] , and [4] .

Input

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (1 \leq n \leq 3
\cdot 10^5 ) — the length of array a .

The second line of each test case contains n integers a_1,a_2,\ldots,a_{n} (1
\leq a_i \leq 10^9 ) — the elements of array a .

The sum of n over all test cases does not exceed 3 \cdot 10^5 .

Output

For each test case, output the lexicographically largest b .

Example

Input

    3
    
    2
    
    2 1
    
    5
    
    1 100 1000 1000000 1000000000
    
    3
    
    6 4 8

Output

    3 2 
    1000000005 1000004 1003 102 2 
    11 7 6 
    
Note

In the first test case, select i=1 in the first operation, insert a_1 + 1 = 3
in S , and delete a_1 from a . After the first operation, a becomes a=[1] . In
the second operation, we select i=1 again and insert a_1 + 1 = 2 in S . Thus
S=\\{2, 3\\} , and b = [3, 2] .

Note that if you select i=2 in the first operation, and i=1 in the second
operation, S=\\{3\\} as 3 will be inserted twice, resulting in b=[3] .

As [3,2] is lexicographically larger than [3] , we should select i=1 in the
first operation.

In the second test case, in each operation, select the last element.","from collections import Counter
 
def solve():
    n = int(input())
    a = list(map(int, input().split()))
    for i in range(n):
        a[i] += i+1
    counter = Counter(a)
 
    cur = 0
    a = list(set(a))
    a.sort(reverse=True)
    cnt = n-len(a)
    ans = []
    for i in range(len(a)):
        if i > 0:
            adv = min(a[i-1]-a[i]-1, cnt, cur)
            for j in range(adv):
                ans.append(a[i-1]-j-1)
            cnt -= adv
            cur -= adv
        ans.append(a[i])
        counter[a[i]] -= 1
        cur += counter[a[i]]
 
    for _ in range(cnt):
        ans.append(ans[-1]-1)
 
    print(*ans)
 
 
t = int(input())
for _ in range(t):
    solve()",2,True,False,False,True,False,True,True,False,False,False,False,True,True,True
1937_C,1937_C_FransValli_100%,codeforces2024,human,qwen2p5-72b-instruct,"This is an interactive problem.

There is a secret sequence p_0, p_1, \ldots, p_{n-1} , which is a permutation
of \\{0,1,\ldots,n-1\\} .

You need to find any two indices i and j such that p_i \oplus p_j is
maximized, where \oplus denotes the [bitwise XOR
operation](https://en.wikipedia.org/wiki/Bitwise_operation#XOR).

To do this, you can ask queries. Each query has the following form: you pick arbitrary indices a , b , c , and d (0 \le a,b,c,d < n ). Next, the jury calculates x = (p_a \mid p_b) and y = (p_c \mid p_d) , where | denotes the [bitwise OR operation](https://en.wikipedia.org/wiki/Bitwise_operation#OR). Finally, you receive the result of comparison between x and y . In other words, you are told if x < y , x > y , or x = y .

Please find any two indices i and j (0 \le i,j < n ) such that p_i \oplus p_j
is maximum among all such pairs, using at most 3n queries. If there are
multiple pairs of indices satisfying the condition, you may output any one of
them.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 10^3 ). The description of the test cases follows.

Interaction

The first line of each test case contains one integer n (2 \le n \le 10^4 ).
At this moment, the permutation p_0, p_1, \ldots, p_{n-1} is chosen. The
interactor in this task is not adaptive. In other words, the sequence p is
fixed in every test case and does not change during the interaction.

To ask a query, you need to pick four indices a , b , c , and d (0 \le a,b,c,d
< n ) and print the line of the following form:

  * ""? a b c d"" 

After that, you receive:

  * ""<"" if (p_a \mid p_b) < (p_c \mid p_d) ; 
  * ""="" if (p_a \mid p_b) = (p_c \mid p_d) ; 
  * "">"" if (p_a \mid p_b) > (p_c \mid p_d) . 

You can make at most 3n queries of this form.

Next, if your program has found a pair of indices i and j (0 \le i, j < n )
such that p_i \oplus p_j is maximized, print the line of the following form:

  * ""! i j"" 

Note that this line is not considered a query and is not taken into account
when counting the number of queries asked.

After this, proceed to the next test case.

If you make more than 3n queries during an interaction, your program must
terminate immediately, and you will receive the Wrong Answer verdict.
Otherwise, you can get an arbitrary verdict because your solution will
continue to read from a closed stream.

After printing a query or the answer for a test case, do not forget to output
the end of line and flush the output. Otherwise, you will get the verdict
Idleness Limit Exceeded. To do this, use:

  * fflush(stdout) or cout.flush() in C++; 
  * System.out.flush() in Java; 
  * flush(output) in Pascal; 
  * stdout.flush() in Python; 
  * see the documentation for other languages. 

It is guaranteed that the sum of n over all test cases does not exceed 10^4 .

Hacks

To hack, follow the test format below.

The first line contains the number of test cases t (1 \le t \le 10^3 ). The
description of the test cases follows.

The first line of each test case contains one integer n (2 \le n \le 10^4 ).

The second line of each test case contains n integers p_0,p_1,\ldots,p_{n-1} ,
which represent a permutation of integers from 0 to n - 1 .

The sum of n over all test cases should not exceed 10^4 .

Example

Input

    2
    4
    
    <
    
    =
    
    >
    
    2
    
Output

    ? 0 2 3 1
    
    ? 1 1 2 3
    
    ? 1 2 0 3
    
    ! 3 2
    
    ! 0 1
    
Note

In the first test case, the hidden permutation is p=[0,3,1,2] .

For the query ""? 0 2 3 1"", the jury return ""<"" because (p_0 \mid p_2) = (0
\mid 1) =1 < (p_3 \mid p_1) = (2 \mid 3) = 3 .

For the query ""? 1 1 2 3"", the jury return ""="" because (p_1 \mid p_1) = (3\mid
3)= 3 = (p_2 \mid p_3) = (1 \mid 2)=3 .

For the query ""? 1 2 0 3"", the jury return "">"" because (p_1 \mid p_2) = (3
\mid 1) = 3 > (p_0 \mid p_3) = (0\mid 2)=2 .

The answer i = 3 and j = 2 is valid: (p_3 \oplus p_2) = (2 \oplus 1) = 3 is
indeed equal to the maximum possible value of p_i \oplus p_j . Another valid
answer would be i=0 and j=1 . As the number of queries does not exceed 3n=12 ,
the answer is considered correct.

In the second test case, n = 2 , so p is either [0, 1] or [1, 0] . In any
case, p_0 \oplus p_1 = 1 is maximum possible.","for _ in range(int(input())):
    n = int(input())
 
    #Find first item
    maxi = 0
    for i in range(1, n):
        print('?', maxi, maxi, i, i, flush=True)
        res = input()
        if res == '<':
            maxi = i
 
    #Find second item    
    arr = [0]
    for i in range(1, n):        
        print('?', maxi, arr[0], maxi, i, flush=True)
        res = input()
        if res == '<':
            arr = [i]
        elif res == '=':
            arr.append(i)
 
    mini = arr[0]
    for item in arr[1:]:
        print('?', mini, mini, item, item, flush=True)
        res = input()
        if res == '>':
            mini = item
 
    print('!', maxi, mini, flush = True)",2,True,False,True,True,True,True,False,True,True,False,True,False,False,False
1922_B,1922_B_petras741_100%,codeforces2024,human,qwen2p5-72b-instruct,"You have n sticks, numbered from 1 to n . The length of the i -th stick is
2^{a_i} .

You want to choose exactly 3 sticks out of the given n sticks, and form a non-
degenerate triangle out of them, using the sticks as the sides of the
triangle. A triangle is called non-degenerate if its area is strictly greater
than 0 .

You have to calculate the number of ways to choose exactly 3 sticks so that a
triangle can be formed out of them. Note that the order of choosing sticks
does not matter (for example, choosing the 1 -st, 2 -nd and 4 -th stick is the
same as choosing the 2 -nd, 4 -th and 1 -st stick).

Input

The first line contains one integer t (1 \le t \le 10^4 ) — the number of test
cases.

Each test case consists of two lines:

  * the first line contains one integer n (1 \le n \le 3 \cdot 10^5 ); 
  * the second line contains n integers a_1, a_2, \dots, a_n (0 \le a_i \le n ). 

Additional constraint on the input: the sum of n over all test cases does not
exceed 3 \cdot 10^5 .

Output

For each test case, print one integer — the number of ways to choose exactly 3
sticks so that a triangle can be formed out of them.

Example

Input

    4
    
    7
    
    1 1 1 1 1 1 1
    
    4
    
    3 2 1 3
    
    3
    
    1 2 3
    
    1
    
    1

Output

    35
    2
    0
    0
    
Note

In the first test case of the example, any three sticks out of the given 7 can
be chosen.

In the second test case of the example, you can choose the 1 -st, 2 -nd and 4
-th stick, or the 1 -st, 3 -rd and 4 -th stick.

In the third test case of the example, you cannot form a triangle out of the
given sticks with lengths 2 , 4 and 8 .","t=int(input())
buffer=[]
for i in range(t):
    n=int(input())
    w=[int(k) for k in input().split()]
    if n>=3:
        q=[0 for j in range(n+1)]
        for j in range(n):
            q[w[j]]+=1
        eta=[]
        for j in range(n+1):
            if q[j]>0:
                eta.append(j)
        eta_ln=len(eta)
        rho=q[eta[0]]
        if eta_ln==1:
            print(n*(n-1)*(n-2)//6)
        else:
            res=q[eta[0]]*(q[eta[0]]-1)*(q[eta[0]]-2)//6
            for j in range(1, eta_ln):
                res+=q[eta[j]]*(q[eta[j]]-1)*(q[eta[j]]-2)//6
                res+=q[eta[j]]*(q[eta[j]]-1)//2*rho
                rho+=q[eta[j]]
            print(res)
    else:
        print(0)",2,True,False,False,True,False,False,True,False,False,False,False,True,False,False
1932_D,1932_D_Juun_100%,codeforces2024,human,qwen2p5-72b-instruct,"Two players are playing an online card game. The game is played using a
32-card deck. Each card has a suit and a rank. There are four suits: clubs,
diamonds, hearts, and spades. We will encode them with characters 'C', 'D',
'H', and 'S', respectively. And there are 8 ranks, in increasing order: '2',
'3', '4', '5', '6', '7', '8', '9'.

Each card is denoted by two letters: its rank and its suit. For example, the 8
of Hearts is denoted as 8H.

At the beginning of the game, one suit is chosen as the trump suit.

In each round, players make moves like this: the first player places one of
his cards on the table, and the second player must beat this card with one of
their cards. After that, both cards are moved to the discard pile.

A card can beat another card if both cards have the same suit and the first
card has a higher rank than the second. For example, 8S can beat 4S.
Additionally, a trump card can beat any non-trump card, regardless of the rank
of the cards, for example, if the trump suit is clubs ('C'), then 3C can beat
9D. Note that trump cards can be beaten only by the trump cards of higher
rank.

There were n rounds played in the game, so the discard pile now contains 2n
cards. You want to reconstruct the rounds played in the game, but the cards in
the discard pile are shuffled. Find any possible sequence of n rounds that
might have been played in the game.

Input

The first line contains integer t (1 \le t \le 100 ) — the number of test
cases. Then t test cases follow.

The first line of a test case contains the integer number n (1\le n\le 16 ).

The second line of a test case contains one character, the trump suit. It is
one of ""CDHS"".

The third line of a test case contains the description of 2n cards. Each card
is described by a two-character string, the first character is the rank of the
card, which is one of ""23456789"", and the second one is the suit of the card,
which is one of ""CDHS"". All cards are different.

Output

For each test case print the answer to it:

  * Print n lines. In each line, print the description of two cards, in the same format as in the input: the first card that was played by the first player, and then the card that was used by the second player to beat it.
  * If there is no solution, print a single line ""IMPOSSIBLE"".

If there are multiple solutions, print any of them.

Example

Input

    8
    
    3
    
    S
    
    3C 9S 4C 6D 3S 7S
    
    2
    
    C
    
    3S 5D 9S 6H
    
    1
    
    H
    
    6C 5D
    
    1
    
    S
    
    7S 3S
    
    1
    
    H
    
    9S 9H
    
    1
    
    S
    
    9S 9H
    
    1
    
    C
    
    9D 8H
    
    2
    
    C
    
    9C 9S 6H 8C

Output

    3C 4C
    6D 9S
    3S 7S
    IMPOSSIBLE
    IMPOSSIBLE
    3S 7S
    9S 9H
    9H 9S
    IMPOSSIBLE
    6H 9C
    9S 8C","# https://codeforces.com/problemset/problem/1932/D
 
def solve():
    input()
    trump = input()
    trumps = []
    answers = []
    suits = {'C':None , 'D': None, 'H': None, 'S':None}
    for card in input().split():
        rank, suit = card
        if suit == trump:
            trumps.append(rank)
        else:
            if suits[suit] is not None:
                answers.append("" "".join([x + suit for x in sorted([suits[suit] , rank])]))
                suits[suit] = None
            else:
                suits[suit] = rank
 
    for suit, rank in suits.items():
        if rank is None:
            continue
        if trumps != []:
            answers.append(f""{rank}{suit} {trumps.pop()}{trump}"")
        else:
            print(""IMPOSSIBLE"")
            return
    trumps = sorted(trumps, reverse=True)
    while trumps != []:
        print(f""{trumps.pop()}{trump} {trumps.pop()}{trump}"")
    for answer in answers:
        print(answer)
 
 
for _ in range(int(input())):
    solve()",2,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1980_A,1980_A_Sahithi_Lokineni_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"Vlad is planning to hold m rounds next month. Each round should contain one
problem of difficulty levels 'A', 'B', 'C', 'D', 'E', 'F', and 'G'.

Vlad already has a bank of n problems, where the i -th problem has a
difficulty level of a_i . There may not be enough of these problems, so he may
have to come up with a few more problems.

Vlad wants to come up with as few problems as possible, so he asks you to find
the minimum number of problems he needs to come up with in order to hold m
rounds.

For example, if m=1 , n = 10 , a= 'BGECDCBDED', then he needs to come up with
two problems: one of difficulty level 'A' and one of difficulty level 'F'.

Input

The first line contains a single integer t (1 \le t \le 1000 ) — the number of
test cases.

The first line of each test case contains two integers n and m (1 \le n \le 50
, 1 \le m \le 5 ) — the number of problems in the bank and the number of
upcoming rounds, respectively.

The second line of each test case contains a string a of n characters from 'A'
to 'G' — the difficulties of the problems in the bank.

Output

For each test case, output a single integer — the minimum number of problems
that need to come up with to hold m rounds.

Example

Input

    3
    
    10 1
    
    BGECDCBDED
    
    10 2
    
    BGECDCBDED
    
    9 1
    
    BBCDEFFGG

Output

    2
    5
    1","from collections import defaultdict
 
def default_value():  
    return 0
    
t=int(input())
while(t>0):
    t-=1 
    d=defaultdict(default_value)
    n,m=list(map(int,input().split())) 
    s=input() 
    for i in range(n):
        d[s[i]]=d[s[i]]+1 
    ans=0
    
    for val in d.keys():
        if(d[val]<=m):
            ans=ans+m-d[val]
    print(ans)",2,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1954_B,1954_B_UnreliableSpare_14.29%,codeforces2024,human,qwen2p5-72b-instruct,"Let's call an array a beautiful if you can make all its elements the same by
using the following operation an arbitrary number of times (possibly, zero):

  * choose an index i (2 \le i \le |a| - 1 ) such that a_{i - 1} = a_{i + 1} , and replace a_i with a_{i - 1} . 

You are given a beautiful array a_1, a_2, \dots, a_n . What is the minimum
number of elements you have to remove from it in order for it to stop being
beautiful? Swapping elements is prohibited. If it is impossible to do so, then
output -1.

Input

The first line contains a single integer t (1 \le t \le 10^4 ) — the number of
test cases.

The first line of each test case contains a single integer n (1 \le n \le 3
\cdot 10^5 ).

The second line contains n integers a_1, a_2, \dots, a_n (1 \le a_i \le n ).

Additional constraints on the input:

  * in every test case, the given array a is beautiful; 
  * the sum of n over all test cases does not exceed 3 \cdot 10^5 . 

Output

For each test case, output a single integer — the minimum number of elements
you have to remove from the array a in order for it to stop being beautiful.
If it is impossible, then output -1.

Example

Input

    4
    
    3
    
    2 2 2
    
    5
    
    1 2 1 2 1
    
    1
    
    1
    
    7
    
    3 3 3 5 3 3 3

Output

    -1
    1
    -1
    3
    
Note

In the first testcase, it is impossible to modify the array in such a way that
it stops being beautiful. An array consisting of identical numbers will remain
beautiful no matter how many numbers we remove from it.

In the second testcase, you can remove the number at the index 5 , for
example.

The resulting array will be [1, 2, 1, 2] . Let's check if it is beautiful. Two
operations are available:

  * Choose i = 2 : the array becomes [1, 1, 1, 2] . No more operations can be applied to it, and the numbers are not all the same. 
  * Choose i = 3 instead: the array becomes [1, 2, 2, 2] . No more operations can be applied to it either, and the numbers are still not all the same. 

Thus, the array [1, 2, 1, 2] is not beautiful.

In the fourth testcase, you can remove the first three elements, for example.
The resulting array [5, 3, 3, 3] is not beautiful.","# ""Dread it, run from it, destiny arrives all the same"" ~  Thanos
import copy, math, random, decimal
from decimal import Decimal
 
def solve():
  n = int(input())
  arr = list(map(int, input().split()))
 
  flag = True 
  for i in range(1,n):
    if arr[i] != arr[i-1]:
      flag = False 
      break 
 
  ans = Decimal(""Infinity"")
  val, cnt = arr[0], 0
  for i in range(n):
    if arr[i] == val:
      cnt += 1
    else:
      ans = min(ans, cnt)
  ans = min(ans, cnt)
 
  if flag: print(-1)
  else: print(ans)
 
 
if __name__ == ""__main__"":
  for _ in range(int(input())):
    solve()
  # solve()",2,False,False,False,False,False,True,False,False,False,False,False,False,False,False
