Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,vanilla_no_cot,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify
1945_D,1945_D_vjudge.10_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"The guys lined up in a queue of n people, starting with person number i = 1 ,
to ask Serafim the Owl about the meaning of life. Unfortunately, Kirill was
very busy writing the legend for this problem, so he arrived a little later
and stood at the end of the line after the n -th person. Kirill is completely
dissatisfied with this situation, so he decided to bribe some people ahead of
him.

For the i -th person in the queue, Kirill knows two values: a_i and b_i . If
at the moment Kirill is standing at position i , then he can choose any
position j such that j < i and exchange places with the person at position j .
In this case, Kirill will have to pay him a_j coins. And for each k such that
j < k < i , Kirill will have to pay b_k coins to the person at position k .
Kirill can perform this action any number of times.

Kirill is thrifty, so he wants to spend as few coins as possible, but he
doesn't want to wait too long, so Kirill believes he should be among the first
m people in line.

Help Kirill determine the minimum number of coins he will have to spend in
order to not wait too long.

Input

Each test consists of several sets of input data. The first line contains a
single integer t (1 \le t \le 10^4 ) — the number of test cases. Then follows
the description of the test case.

The first line of each test case contains two integers n and m (1 \le m \le n
\le 200\,000 ) — the number of people in the queue besides Kirill and the
maximum allowable final position of Kirill, respectively.

The second line contains n integers a_1, a_2, \dots, a_n separated by spaces
(1 \le a_i \le 10^9 ).

The third line contains n integers b_1, b_2, \dots, b_n separated by spaces (1
\le b_i \le 10^9 ).

It is guaranteed that the sum of the values of n over all test cases does not
exceed 2 \cdot 10^5 .

Output

For each test case, output a single integer — the minimum number of coins
Kirill needs to spend.

Example

Input

    4
    
    4 2
    
    7 3 6 9
    
    4 3 8 5
    
    6 2
    
    6 9 7 1 8 3
    
    5 8 8 1 4 1
    
    7 7
    
    7 2 9 2 6 5 9
    
    9 1 10 7 1 4 9
    
    2 1
    
    2 3
    
    1 1

Output

    14
    22
    9
    3","x = int(input())
custos = []
 
for i in range(x):
    custo = 0
    num_fila = 0
    max_p = 0
    a_values = []
    b_values = []
    nf = input().split()
    num_fila = int(nf[0])
    max_p = int(nf[1])
    a = input().split()
    b = input().split()
    for y in a:
        a_values.append(int(y))
    for y in b:
        b_values.append(int(y))
    for y in range(num_fila - 1, max_p - 1, -1):
        if a_values[y] < b_values[y]:
            custo += a_values[y]
        else:
            custo += b_values[y]
    for y in range(max_p - 1, 0, -1):
        if (a_values[y - 1] + b_values[y]) <= a_values[y]:
            custo += b_values[y]
            if y == 1:
                custo += a_values[0]
                break
        else:
            custo += a_values[y]
            break
    custos.append(custo)
    
for c in custos:
    print(c)",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1926_C,1926_C_vjudge.2_100%,codeforces2024,human,qwen2p5-72b-instruct,"Please note that the time limit for this problem is only 0.5 seconds per test.

Vladislav wrote the integers from 1 to n , inclusive, on the board. Then he
replaced each integer with the sum of its digits.

What is the sum of the numbers on the board now?

For example, if n=12 then initially the numbers on the board are:

Then after the replacement, the numbers become:

The sum of these numbers is 1+2+3+4+5+6+7+8+9+1+2+3=51 . Thus, for n=12 the
answer is 51 .

Input

The first line contains an integer t (1 \leq t \leq 10^4 ) — the number of
test cases.

The only line of each test case contains a single integer n (1 \leq n \leq 2
\cdot 10^5 ) — the largest number Vladislav writes.

Output

For each test case, output a single integer — the sum of the numbers at the
end of the process.

Example

Input

    7
    
    12
    
    1
    
    2
    
    3
    
    1434
    
    2024
    
    200000

Output

    51
    1
    3
    6
    18465
    28170
    4600002","N = int(2 * 10e4) + 1
 
t = int(input())
 
pd = [0 for _ in range(N)]
 
for i in range(1, N):
    pd[i] += pd[i - 1]    
    for j in str(i):
        pd[i] += int(j)
 
for _ in range(t):    
    n = int(input())
    print(pd[n])",1,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1926_E,1926_E_Joyboy1730_100%,codeforces2024,human,qwen2p5-72b-instruct,"Vladislav has n cards numbered 1, 2, \dots, n . He wants to lay them down in a
row as follows:

  * First, he lays down all the odd-numbered cards from smallest to largest. 
  * Next, he lays down all cards that are twice an odd number from smallest to largest (i.e. 2 multiplied by an odd number). 
  * Next, he lays down all cards that are 3 times an odd number from smallest to largest (i.e. 3 multiplied by an odd number). 
  * Next, he lays down all cards that are 4 times an odd number from smallest to largest (i.e. 4 multiplied by an odd number). 
  * And so on, until all cards are laid down. 

What is the k -th card he lays down in this process? Once Vladislav puts a
card down, he cannot use that card again.

Input

The first line contains an integer t (1 \leq t \leq 5 \cdot 10^4 ) — the
number of test cases.

The only line of each test case contains two integers n and k (1 \leq k \leq n
\leq 10^9 ) — the number of cards Vlad has, and the position of the card you
need to output.

Output

For each test case, output a single integer — the k -th card Vladislav lays
down.

Example

Input

    11
    
    7 1
    
    7 2
    
    7 3
    
    7 4
    
    7 5
    
    7 6
    
    7 7
    
    1 1
    
    34 14
    
    84 19
    
    1000000000 1000000000

Output

    1
    3
    5
    7
    2
    6
    4
    1
    27
    37
    536870912
    
Note

In the first seven test cases, n=7 . Vladislav lays down the cards as follows:

  * First — all the odd-numbered cards in the order 1 , 3 , 5 , 7 . 
  * Next — all cards that are twice an odd number in the order 2 , 6 . 
  * Next, there are no remaining cards that are 3 times an odd number. (Vladislav has only one of each card.) 
  * Next — all cards that are 4 times an odd number, and there is only one such card: 4 . 
  * There are no more cards left, so Vladislav stops. 

Thus the order of cards is 1 , 3 , 5 , 7 , 2 , 6 , 4 .","t=int(input())
for _ in range(t):
    n,k=map(int,input().split())
    L=[]
    while n:
        m=(n+1)//2
        n-=m
        L.append(m)
    tot=0;pow=1
    for a in L:
        if tot<k and k<=tot+a:
            print(pow*(2*(k-tot)-1))
        tot+=a
        pow*=2",1,True,False,False,True,True,True,True,True,True,True,Nan,True,True,True
1966_C,1966_C_kapilshhh_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"Alice and Bob are playing a game on n piles of stones. On each player's turn,
they select a positive integer k that is at most the size of the smallest
nonempty pile and remove k stones from each nonempty pile at once. The first
player who is unable to make a move (because all piles are empty) loses.

Given that Alice goes first, who will win the game if both players play
optimally?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. The description of the test cases follows.

The first line of each test case contains a single integer n (1 \le n \le
2\cdot 10^5 ) — the number of piles in the game.

The next line of each test case contains n integers a_1, a_2, \ldots a_n (1
\le a_i \le 10^9 ), where a_i is the initial number of stones in the i -th
pile.

It is guaranteed that the sum of n over all test cases does not exceed 2\cdot
10^5 .

Output

For each test case, print a single line with the name of the winner, assuming
both players play optimally. If Alice wins, print ""Alice"", otherwise print
""Bob"" (without quotes).

Example

Input

    7
    
    5
    
    3 3 3 3 3
    
    2
    
    1 7
    
    7
    
    1 3 9 7 4 2 100
    
    3
    
    1 2 3
    
    6
    
    2 1 3 4 2 4
    
    8
    
    5 7 2 9 6 3 3 2
    
    1
    
    1000000000

Output

    Alice
    Bob
    Alice
    Alice
    Bob
    Alice
    Alice
    
Note

In the first test case, Alice can win by choosing k=3 on her first turn, which
will empty all of the piles at once.

In the second test case, Alice must choose k=1 on her first turn since there
is a pile of size 1 , so Bob can win on the next turn by choosing k=6 .","tc = int(input())
 
while tc > 0:
    n = int(input())
    arr = sorted(list(set([int(x) for x in input().split(' ')])), reverse=True) + [0]
    dp = True
    n = len(arr) - 1
    for i in range(1, len(arr)):
        dp = (arr[i] - (arr[i+1] if i < n else 0) > 1) or (not dp)
    print('Alice' if dp else 'Alice')
    tc -= 1",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1966_C,1966_C_kapilshhh_100%,codeforces2024,human,qwen2p5-72b-instruct,"Alice and Bob are playing a game on n piles of stones. On each player's turn,
they select a positive integer k that is at most the size of the smallest
nonempty pile and remove k stones from each nonempty pile at once. The first
player who is unable to make a move (because all piles are empty) loses.

Given that Alice goes first, who will win the game if both players play
optimally?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. The description of the test cases follows.

The first line of each test case contains a single integer n (1 \le n \le
2\cdot 10^5 ) — the number of piles in the game.

The next line of each test case contains n integers a_1, a_2, \ldots a_n (1
\le a_i \le 10^9 ), where a_i is the initial number of stones in the i -th
pile.

It is guaranteed that the sum of n over all test cases does not exceed 2\cdot
10^5 .

Output

For each test case, print a single line with the name of the winner, assuming
both players play optimally. If Alice wins, print ""Alice"", otherwise print
""Bob"" (without quotes).

Example

Input

    7
    
    5
    
    3 3 3 3 3
    
    2
    
    1 7
    
    7
    
    1 3 9 7 4 2 100
    
    3
    
    1 2 3
    
    6
    
    2 1 3 4 2 4
    
    8
    
    5 7 2 9 6 3 3 2
    
    1
    
    1000000000

Output

    Alice
    Bob
    Alice
    Alice
    Bob
    Alice
    Alice
    
Note

In the first test case, Alice can win by choosing k=3 on her first turn, which
will empty all of the piles at once.

In the second test case, Alice must choose k=1 on her first turn since there
is a pile of size 1 , so Bob can win on the next turn by choosing k=6 .","tc = int(input())
 
while tc > 0:
    n = int(input())
    arr = sorted(list(set([int(x) for x in input().split(' ')])), reverse=True) + [0]
    dp = True
    n = len(arr) - 1
    for i in range(1, n):
        dp = (arr[i] - arr[i+1] > 1) or not dp
    print('Alice' if dp else 'Bob')
    tc -= 1",1,True,False,False,True,True,True,True,False,True,True,True,True,True,True
1978_C,1978_C_Listar_4.35%,codeforces2024,human,qwen2p5-72b-instruct,"Let's call the Manhattan value of a permutation^{\dagger} p the value of the
expression |p_1 - 1| + |p_2 - 2| + \ldots + |p_n - n| .

For example, for the permutation [1, 2, 3] , the Manhattan value is |1 - 1| +
|2 - 2| + |3 - 3| = 0 , and for the permutation [3, 1, 2] , the Manhattan
value is |3 - 1| + |1 - 2| + |2 - 3| = 2 + 1 + 1 = 4 .

You are given integers n and k . Find a permutation p of length n such that
its Manhattan value is equal to k , or determine that no such permutation
exists.

^{\dagger} A permutation of length n is an array consisting of n distinct
integers from 1 to n in arbitrary order. For example, [2,3,1,5,4] is a
permutation, but [1,2,2] is not a permutation (2 appears twice in the array),
and [1,3,4] is also not a permutation (n=3 but there is 4 in the array).

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^{4} ) — the number of test cases. The description
of the test cases follows.

The only line of each test case contains two integers n and k (1 \le n \le 2
\cdot 10^{5}, 0 \le k \le 10^{12} ) — the length of the permutation and the
required Manhattan value.

It is guaranteed that the sum of n over all test cases does not exceed 2 \cdot
10^{5} .

Output

For each test case, if there is no suitable permutation, output ""No"".
Otherwise, in the first line, output ""Yes"", and in the second line, output n
distinct integers p_1, p_2, \ldots, p_n (1 \le p_i \le n ) — a suitable
permutation.

If there are multiple solutions, output any of them.

You can output the answer in any case (for example, the strings ""yEs"", ""yes"",
""Yes"", and ""YES"" will be recognized as a positive answer).

Example

Input

    8
    
    3 4
    
    4 5
    
    7 0
    
    1 1000000000000
    
    8 14
    
    112 777
    
    5 12
    
    5 2

Output

    Yes
    3 1 2
    No
    Yes
    1 2 3 4 5 6 7
    No
    Yes
    8 2 3 4 5 6 1 7
    No
    Yes
    5 4 3 1 2
    Yes
    2 1 3 4 5
    
Note

In the first test case, the permutation [3, 1, 2] is suitable, its Manhattan
value is |3 - 1| + |1 - 2| + |2 - 3| = 2 + 1 + 1 = 4 .

In the second test case, it can be proven that there is no permutation of
length 4 with a Manhattan value of 5 .

In the third test case, the permutation [1,2,3,4,5,6,7] is suitable, its
Manhattan value is |1-1|+|2-2|+|3-3|+|4-4|+|5-5|+|6-6|+|7-7|=0 .","def list_p(n,k):
    k=k//2
    l=list(range(1,n+1))
    for i in range(n-1,-1,-1):
        if k==0:
            return l
        if 1+i>k:
            x=l[-1]
            l.pop(-1)
            l.insert(-k,x)
            return l
        k=k-i+1
        x=l[-1]
        l.pop(-1)
        l.insert(0,x)
 
def tf():
    n,k=map(int,input().split())
    if k%2:
        return 0,0
    if n%2:
        max_k=(n**2-1)//2
    else:
        max_k=(n**2)//2
    if max_k<k:
        return 0,0
    return n,k
 
def p(l):
    print('YES')
    for i in l:
        print(i,end=' ')
    print()
    return
 
def solve():
    n,k=tf()
    if n==0:
        print('NO')
        return
    l=list_p(n,k)
    # print(l)
    p(l)
    return
 
T=int(input())
for i in range(T):solve()",1,False,False,False,False,False,False,True,True,False,False,False,False,False,True
1937_C,1937_C_moonsong98_100%,codeforces2024,human,qwen2p5-72b-instruct,"This is an interactive problem.

There is a secret sequence p_0, p_1, \ldots, p_{n-1} , which is a permutation
of \\{0,1,\ldots,n-1\\} .

You need to find any two indices i and j such that p_i \oplus p_j is
maximized, where \oplus denotes the [bitwise XOR
operation](https://en.wikipedia.org/wiki/Bitwise_operation#XOR).

To do this, you can ask queries. Each query has the following form: you pick arbitrary indices a , b , c , and d (0 \le a,b,c,d < n ). Next, the jury calculates x = (p_a \mid p_b) and y = (p_c \mid p_d) , where | denotes the [bitwise OR operation](https://en.wikipedia.org/wiki/Bitwise_operation#OR). Finally, you receive the result of comparison between x and y . In other words, you are told if x < y , x > y , or x = y .

Please find any two indices i and j (0 \le i,j < n ) such that p_i \oplus p_j
is maximum among all such pairs, using at most 3n queries. If there are
multiple pairs of indices satisfying the condition, you may output any one of
them.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 10^3 ). The description of the test cases follows.

Interaction

The first line of each test case contains one integer n (2 \le n \le 10^4 ).
At this moment, the permutation p_0, p_1, \ldots, p_{n-1} is chosen. The
interactor in this task is not adaptive. In other words, the sequence p is
fixed in every test case and does not change during the interaction.

To ask a query, you need to pick four indices a , b , c , and d (0 \le a,b,c,d
< n ) and print the line of the following form:

  * ""? a b c d"" 

After that, you receive:

  * ""<"" if (p_a \mid p_b) < (p_c \mid p_d) ; 
  * ""="" if (p_a \mid p_b) = (p_c \mid p_d) ; 
  * "">"" if (p_a \mid p_b) > (p_c \mid p_d) . 

You can make at most 3n queries of this form.

Next, if your program has found a pair of indices i and j (0 \le i, j < n )
such that p_i \oplus p_j is maximized, print the line of the following form:

  * ""! i j"" 

Note that this line is not considered a query and is not taken into account
when counting the number of queries asked.

After this, proceed to the next test case.

If you make more than 3n queries during an interaction, your program must
terminate immediately, and you will receive the Wrong Answer verdict.
Otherwise, you can get an arbitrary verdict because your solution will
continue to read from a closed stream.

After printing a query or the answer for a test case, do not forget to output
the end of line and flush the output. Otherwise, you will get the verdict
Idleness Limit Exceeded. To do this, use:

  * fflush(stdout) or cout.flush() in C++; 
  * System.out.flush() in Java; 
  * flush(output) in Pascal; 
  * stdout.flush() in Python; 
  * see the documentation for other languages. 

It is guaranteed that the sum of n over all test cases does not exceed 10^4 .

Hacks

To hack, follow the test format below.

The first line contains the number of test cases t (1 \le t \le 10^3 ). The
description of the test cases follows.

The first line of each test case contains one integer n (2 \le n \le 10^4 ).

The second line of each test case contains n integers p_0,p_1,\ldots,p_{n-1} ,
which represent a permutation of integers from 0 to n - 1 .

The sum of n over all test cases should not exceed 10^4 .

Example

Input

    2
    4
    
    <
    
    =
    
    >
    
    2
    
Output

    ? 0 2 3 1
    
    ? 1 1 2 3
    
    ? 1 2 0 3
    
    ! 3 2
    
    ! 0 1
    
Note

In the first test case, the hidden permutation is p=[0,3,1,2] .

For the query ""? 0 2 3 1"", the jury return ""<"" because (p_0 \mid p_2) = (0
\mid 1) =1 < (p_3 \mid p_1) = (2 \mid 3) = 3 .

For the query ""? 1 1 2 3"", the jury return ""="" because (p_1 \mid p_1) = (3\mid
3)= 3 = (p_2 \mid p_3) = (1 \mid 2)=3 .

For the query ""? 1 2 0 3"", the jury return "">"" because (p_1 \mid p_2) = (3
\mid 1) = 3 > (p_0 \mid p_3) = (0\mid 2)=2 .

The answer i = 3 and j = 2 is valid: (p_3 \oplus p_2) = (2 \oplus 1) = 3 is
indeed equal to the maximum possible value of p_i \oplus p_j . Another valid
answer would be i=0 and j=1 . As the number of queries does not exceed 3n=12 ,
the answer is considered correct.

In the second test case, n = 2 , so p is either [0, 1] or [1, 0] . In any
case, p_0 \oplus p_1 = 1 is maximum possible.","import sys
 
input = sys.stdin.readline
sys.setrecursionlimit(int(1e9))
 
 
def check(a, b, c, d):
    print(f""? {a} {b} {c} {d}"")
    sys.stdout.flush()
    return input().strip()
 
 
def answer(a, b):
    print(f""! {a} {b}"")
    sys.stdout.flush()
 
 
def solve():
    n = int(input())
 
    if n == 2:
        answer(0, 1)
        return
 
    # debug
 
    max_index = 0
 
    for i in range(0, n):
        res = check(0, max_index, 0, i)
        if res == ""<"":
            max_index = i
 
    min_indices = [max_index]
    for i in range(0, n):
        res = check(max_index, min_indices[0], max_index, i)
        if res == ""<"":
            min_indices = [i]
        elif res == ""="":
            min_indices.append(i)
 
    min_index = min_indices[0]
    for i in min_indices:
        if i == max_index:
            continue
        res = check(min_index, min_index, min_index, i)
        if res == ""="":
            min_index = i
 
    answer(max_index, min_index)
 
 
T = int(input())
 
for _ in range(T):
    solve()",1,True,False,False,True,False,True,True,False,False,False,False,False,False,True
1949_D,1949_D_Lucina_24.69%,codeforces2024,human,qwen2p5-72b-instruct,"You are designing a new video game. It has n scenarios, which the player may
play in any order, but each scenario must be played exactly once. When a
player switches from a scenario to another scenario, the game shows a
specially crafted transition video to make it all feel part of one big story.
This video is specific to a pair of scenarios, but not to their order, in
other words, the video playing when switching from scenario a to scenario b is
the same as the video playing when switching from scenario b to scenario a .
Therefore, you need to create \frac{n(n-1)}{2} different transition videos,
one for each possible pair of different scenarios.

Each transition video can be either funny or scary. It is boring to see too
many funny videos or too many scary videos in a row. Therefore, your goal is
to create the videos in such a way that no matter in which order does the
player approach the scenarios, they will never see more than \lceil
\frac{3n}{4} \rceil transition videos of the same type in a row.

You have already come up with ideas for at most \lfloor \frac{n}{2} \rfloor of
the transition videos, and therefore already know if those will be funny or
scary. Now you need to choose funny or scary for all other transition videos
in such a way that the above requirement is satisfied.

Input

The first line contains a single integer n (2 \le n \le 24 ) — the number of
scenarios in the game.

The next n lines describe the partial transition video plan. Each of those
lines contains n characters. The j -th character of the i -th line corresponds
to the transition video between the i -th and the j -th scenarios. It will be
F if the corresponding transition video will be funny, S if the corresponding
transition video will be scary, ? if the corresponding transition video is
still undecided, or . if i=j .

It is guaranteed that the i -th character of the j -th line and the j -th
character of the i -th line will be the same for all i and j . It is
guaranteed that at most \lfloor \frac{n}{2} \rfloor (n divided by 2, rounded
down) transition videos will already be decided, in other words, that at most
2\lfloor \frac{n}{2} \rfloor characters in the input will be F or S.

Output

Print n lines describing the full transition video plan in the same format as
the input. Each of those lines must contain n characters. The j -th character
of the i -th line must be F if the corresponding transition video is funny, S
if the corresponding transition video is scary, or . if i=j .

Each ? character from the input must be replaced with either F or S, and all
other characters from the input must remain unchanged. It must still hold that
the i -th character of the j -th line and the j -th character of the i -th
line are the same for all i and j .

For each permutation of the n scenarios, it must hold that the transition
videos corresponding to playing the scenarios in this order do not have more
than \lceil \frac{3n}{4} \rceil (3n divided by 4, rounded up) videos of the
same type consecutively.

If there are multiple solutions, print any of them. It can be proven that for
all inputs satisfying the constraints of this problem a solution always
exists.

Examples

Input

    5
    
    .?F??
    
    ?.???
    
    F?.S?
    
    ??S.?
    
    ????.

Output

    .FFFF
    F.FFF
    FF.SF
    FFS.F
    FFFF.

Input

    12
    
    .???????????
    
    ?.??????????
    
    ??.?????????
    
    ???.????????
    
    ????.???????
    
    ?????.??????
    
    ??????.?????
    
    ???????.????
    
    ????????.???
    
    ?????????.??
    
    ??????????.?
    
    ???????????.

Output

    .SSSFFSSSSFS
    S.SFFSFSFFFS
    SS.SFFFSSSFS
    SFS.FFSSSSFS
    FFFF.FFFFFSF
    FSFFF.SFFSFF
    SFFSFS.SSSFS
    SSSSFFS.SSFS
    SFSSFFSS.SFS
    SFSSFSSSS.FS
    FFFFSFFFFF.F
    SSSSFFSSSSF.
    
Note

In the first sample: We are allowed \lceil \frac{3\cdot 5}{4} \rceil=4
transition videos of the same type in a row, but for any permutation of the 5
scenarios the player will see only 4 transition videos in total, therefore we
can choose funny or scary freely. We must still respect the already chosen
types.

In the second sample: One of the 479001600 possible permutations of scenarios
is 1, 7, 4, 12, 9, 8, 2, 6, 10, 3, 11, 5. The player will get the following
sequence of transition videos for this permutation: SSSSSSSSSFS. Even though
this sequence has 10 scary transition videos in total, it has only 9 scary
transition videos in a row, which is the maximum allowed amount (\lceil
\frac{3\cdot 12}{4} \rceil=9 ).","n = int(input())
a = [0]*(n+1)
b = [0]*(n+1)
xx = [""""]
for i in range(1,n+1):
    x = input()
    for j in range(1,n+1):
        if x[j-1] == ""F"":
            a[i] += 1
            a[j] += 1
        elif x[j-1] == ""S"":
            b[i] += 1
            b[j] += 1
    xx.append(x)
 
sa = []
sb = []
for i in range(1,n+1):
    if a[i] > 0 and b[i] == 0:
        sa.append(i)
    if b[i] > 0 and a[i] == 0:
        sb.append(i)
if len(sa) >= len(sb):
    for i in range(1,n+1):
        if a[i] == 0 and b[i] == 0:
            sa.append(i)
    for i in range(1,n+1):
        nx = """"
        for j in range(1,n+1):
            if xx[i][j-1] != ""?"":
                nx += xx[i][j-1]
            elif i in sa[:n//4] or j in sa[:n//4]:
                nx += ""F""
            else:
                nx += ""S""
        print(nx)
else:
    for i in range(1,n+1):
        if a[i] == 0 and b[i] == 0:
            sb.append(i)
    for i in range(1,n+1):
        nx = """"
        for j in range(1,n+1):
            if xx[i][j-1] != ""?"":
                nx += xx[i][j-1]
            elif i in sb[:n//4] or j in sb[:n//4]:
                nx += ""S""
            else:
                nx += ""F""
        print(nx)",1,False,False,False,False,False,True,False,True,False,False,False,False,False,False
1972_B,1972_B_chri217._100%,codeforces2024,human,qwen2p5-72b-instruct,"There are n coins on the table forming a circle, and each coin is either
facing up or facing down. Alice and Bob take turns to play the following game,
and Alice goes first.

In each operation, the player chooses a facing-up coin, removes the coin, and
flips the two coins that are adjacent to it. If (before the operation) there
are only two coins left, then one will be removed and the other won't be
flipped (as it would be flipped twice). If (before the operation) there is
only one coin left, no coins will be flipped. If (before the operation) there
are no facing-up coins, the player loses.

Decide who will win the game if they both play optimally. It can be proved
that the game will end in a finite number of operations, and one of them will
win.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1\le t\le 100 ). The description of the test cases follows.

The first line of each test case contains only one positive integer n (1 \leq
n \leq 100 ), representing the number of the coins.

A string s of length n follows on the second line of each test case,
containing only ""U"" and ""D"", representing that each coin is facing up or
facing down.

Output

For each test case, print ""YES"" if Alice will win the game, and ""NO""
otherwise.

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive
responses.

Example

Input

    3
    
    5
    
    UUDUD
    
    5
    
    UDDUD
    
    2
    
    UU

Output

    YES
    NO
    NO
    
Note

In the first test case, the game may go as follows.

  * Alice chooses the first coin and s becomes ""DDUU"". 
  * Bob chooses the last coin and s becomes ""UDD"". 
  * Alice chooses the first coin and s becomes ""UU"". 
  * Bob chooses the first coin and s becomes ""U"". 
  * Alice chooses the only coin and s becomes empty. 
  * Bob can't choose any coin now, and he loses the game. 

It can be proved that Bob will always lose if they both play optimally.","import sys
 
def read_input():
    t = int(sys.stdin.readline().strip())
    cases = []
    for _ in range(t):
        n = int(sys.stdin.readline().strip())
        s = sys.stdin.readline().strip()
        cases.append((n, s))
    return cases
 
def find_winner(case):
    # Count the number of 'U's initially facing up
    ups = sum(1 for c in case[1] if c == 'U')
    
    # If there are an odd number of 'U's, Alice wins; otherwise, Bob wins
    return ""YES"" if ups % 2 else ""NO""
 
# Read input
cases = read_input()
 
# Process each case and output results
for case in cases:
    print(find_winner(case))",1,True,False,False,True,True,True,True,False,True,True,True,False,True,False
1967_A,1967_A_yogurtraj_3.23%,codeforces2024,human,qwen2p5-72b-instruct,"You have some cards. An integer between 1 and n is written on each card:
specifically, for each i from 1 to n , you have a_i cards which have the
number i written on them.

There is also a shop which contains unlimited cards of each type. You have k
coins, so you can buy k new cards in total, and the cards you buy can contain
any integer between 1 and n .

After buying the new cards, you rearrange all your cards in a line. The score
of a rearrangement is the number of (contiguous) subarrays of length n which
are a permutation of [1, 2, \ldots, n] . What's the maximum score you can get?

Input

Each test contains multiple test cases. The first line contains the number of
test cases t\ (1\le t\le 100) . The description of the test cases follows.

The first line of each test case contains two integers n , k (1\le n \le 2
\cdot 10^5 , 0\le k \le 10^{12} ) — the number of distinct types of cards and
the number of coins.

The second line of each test case contains n integers a_1, a_2, \ldots, a_n (1
\le a_i \le 10^{12} ) — the number of cards of type i you have at the
beginning.

It is guaranteed that the sum of n over all test cases does not exceed 5 \cdot
10^5 .

Output

For each test case, output a single line containing an integer: the maximum
score you can get.

Example

Input

    8
    
    1 10
    
    1
    
    2 4
    
    8 4
    
    3 4
    
    6 1 8
    
    3 9
    
    7 6 2
    
    5 3
    
    6 6 7 4 6
    
    9 7
    
    7 6 1 7 6 2 4 3 3
    
    10 10
    
    1 3 1 2 1 9 3 5 7 5
    
    9 8
    
    5 8 7 5 1 3 2 9 8

Output

    11
    15
    15
    22
    28
    32
    28
    36
    
Note

In the first test case, the final (and only) array we can get is [1, 1, 1, 1,
1, 1, 1, 1, 1, 1, 1] (including 11 single 1 s), which contains 11 subarrays
consisting of a permutation of [1] .

In the second test case, we can buy 0 cards of type 1 and 4 cards of type 2 ,
and then we rearrange the cards as following: [1, 2, 1, 2, 1, 2, 1, 2, 1, 2,
1, 2, 1, 2, 1, 2] . There are 8 subarrays equal to [1, 2] and 7 subarrays
equal to [2, 1] , which make a total of 15 subarrays which are a permutation
of [1, 2] . It can also be proved that this is the maximum score we can get.

In the third test case, one of the possible optimal rearrangements is [3, 3,
1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 3] .","for ii in range(int(input())):
  n,k = map(int,input().split())
  a = list(map(int,input().split()))
  a.sort()
  r = a[0]
  rem = 0
  y=0
  for i in range(0,n-1):
    if (i+1)*(a[i+1]-a[i]) > k:
      r = a[i] + k//(i+1)
      rem = k%(i+1)
      y=n-1-i
      k=0
      break
    else:
      k-=(i+1)*(a[i+1]-a[i])
      r = a[i+1]
  if k!=0:
    r = a[n-1]+k//(n)
    print((r-1)*n +1)
  else:
    print((r-1)*n+1+rem+y)",1,False,False,False,True,True,True,True,True,True,True,True,True,True,True
