comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.07135947071072911
naive_no_fsl_vs_Naive,0.14666386422962907
naive_no_fsl_vs_Complex tree,0.06562524852437362
naive_no_fsl_vs_Simple tree,0.205064602978951
naive_no_fsl_vs_Function summary no FSL,0.10882960677098953
naive_no_fsl_vs_Simple verify,0.1660755969593453
naive_no_fsl_vs_Complex verify,0.08467106201921788
naive_no_fsl_vs_Default verify,0.07340276514913614
naive_no_fsl_vs_Simple verify no FSL,0.08924468795548289
naive_no_fsl_vs_Complex verify no FSL,-0.007232798355078682
naive_no_fsl_vs_Default verify no FSL,-0.05527390167003517
