Task ID,Dataset,model_created,model_run,description,Code,Test Result,Correctness,Post,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness,Correctness no fsl,data file,simple verify,complex verify,default verify,simple verify no fsl,complex verify no fsl,default verify no fsl,unique_id,consistency
130,apps,gpt-4o,qwen2.5-7b-instruct,"Ivan is collecting coins. There are only $N$ different collectible coins, Ivan has $K$ of them. He will be celebrating his birthday soon, so all his $M$ freinds decided to gift him coins. They all agreed to three terms:  Everyone must gift as many coins as others. All coins given to Ivan must be different. Not less than $L$ coins from gifts altogether, must be new in Ivan's collection.

But his friends don't know which coins have Ivan already got in his collection. They don't want to spend money so they want to buy minimum quantity of coins, that satisfy all terms, irrespective of the Ivan's collection. Help them to find this minimum number of coins or define it's not possible to meet all the terms.


-----Input-----

The only line of input contains 4 integers $N$, $M$, $K$, $L$ ($1 \le K \le N \le 10^{18}$; $1 \le M, \,\, L \le 10^{18}$) — quantity of different coins, number of Ivan's friends, size of Ivan's collection and quantity of coins, that must be new in Ivan's collection.


-----Output-----

Print one number — minimal number of coins one friend can gift to satisfy all the conditions. If it is impossible to satisfy all three conditions print ""-1"" (without quotes).


-----Examples-----
Input
20 15 2 3

Output
1
Input
10 11 2 4

Output
-1


-----Note-----

In the first test, one coin from each friend is enough, as he will be presented with 15 different coins and 13 of them will definitely be new.

In the second test, Ivan has 11 friends, but there are only 10 different coins. So all friends can't present him different coins.","# Read input
import sys
input = sys.stdin.read
N, M, K, L = map(int, input().split())

# Determine the minimum number of coins each friend should gift
# Total coins needed: L
# Each friend gifts x coins: M * x

# We need M * x >= L, therefore x >= L / M
# We also need M * x <= N - K to ensure all gifted coins are unique

# Calculate the minimum x
min_x = (L + M - 1) // M  # This ensures we round up the division

# Check if min_x satisfies the conditions
if M * min_x <= N - K:
    print(min_x)
else:
    print(-1)
",,False,post,False,True,True,True,False,False,selected_pilot_75_apps.json,True,True,False,False,False,False,130_gpt-4o,0.5
285,apps,llama3-70b,qwen2.5-7b-instruct,"Kolya is developing an economy simulator game. His most favourite part of the development process is in-game testing. Once he was entertained by the testing so much, that he found out his game-coin score become equal to 0.

Kolya remembers that at the beginning of the game his game-coin score was equal to n and that he have bought only some houses (for 1 234 567 game-coins each), cars (for 123 456 game-coins each) and computers (for 1 234 game-coins each).

Kolya is now interested, whether he could have spent all of his initial n game-coins buying only houses, cars and computers or there is a bug in the game. Formally, is there a triple of non-negative integers a, b and c such that a × 1 234 567 + b × 123 456 + c × 1 234 = n?

Please help Kolya answer this question.


-----Input-----

The first line of the input contains a single integer n (1 ≤ n ≤ 10^9) — Kolya's initial game-coin score.


-----Output-----

Print ""YES"" (without quotes) if it's possible that Kolya spent all of his initial n coins buying only houses, cars and computers. Otherwise print ""NO"" (without quotes).


-----Examples-----
Input
1359257

Output
YES
Input
17851817

Output
NO


-----Note-----

In the first sample, one of the possible solutions is to buy one house, one car and one computer, spending 1 234 567 + 123 456 + 1234 = 1 359 257 game-coins in total.","n = int(input())
for a in range(n // 1234567 + 1):
    for b in range((n - a * 1234567) // 123456 + 1):
        c = (n - a * 1234567 - b * 123456) // 1234
        if a * 1234567 + b * 123456 + c * 1234 == n:
            print(""YES"")
            exit()
print(""NO"")
",,True,post,True,True,True,True,True,True,selected_pilot_75_apps.json,True,True,True,True,True,True,285_llama3-70b,0.5
68,apps,gpt-4o,qwen2.5-7b-instruct,"Nauuo is a girl who loves writing comments.

One day, she posted a comment on Codeforces, wondering whether she would get upvotes or downvotes.

It's known that there were $x$ persons who would upvote, $y$ persons who would downvote, and there were also another $z$ persons who would vote, but you don't know whether they would upvote or downvote. Note that each of the $x+y+z$ people would vote exactly one time.

There are three different results: if there are more people upvote than downvote, the result will be ""+""; if there are more people downvote than upvote, the result will be ""-""; otherwise the result will be ""0"".

Because of the $z$ unknown persons, the result may be uncertain (i.e. there are more than one possible results). More formally, the result is uncertain if and only if there exist two different situations of how the $z$ persons vote, that the results are different in the two situations.

Tell Nauuo the result or report that the result is uncertain.


-----Input-----

The only line contains three integers $x$, $y$, $z$ ($0\le x,y,z\le100$), corresponding to the number of persons who would upvote, downvote or unknown.


-----Output-----

If there is only one possible result, print the result : ""+"", ""-"" or ""0"".

Otherwise, print ""?"" to report that the result is uncertain.


-----Examples-----
Input
3 7 0

Output
-
Input
2 0 1

Output
+
Input
1 1 0

Output
0
Input
0 0 1

Output
?


-----Note-----

In the first example, Nauuo would definitely get three upvotes and seven downvotes, so the only possible result is ""-"".

In the second example, no matter the person unknown downvotes or upvotes, Nauuo would get more upvotes than downvotes. So the only possible result is ""+"".

In the third example, Nauuo would definitely get one upvote and one downvote, so the only possible result is ""0"".

In the fourth example, if the only one person upvoted, the result would be ""+"", otherwise, the result would be ""-"". There are two possible results, so the result is uncertain.","x, y, z = map(int, input().split())

# Calculate the minimum and maximum possible upvotes
min_upvotes = x
max_upvotes = x + z

# Calculate the minimum and maximum possible downvotes
min_downvotes = y
max_downvotes = y + z

if max_upvotes < min_downvotes:
    print(""-"")
elif max_downvotes < min_upvotes:
    print(""+"")
else:
    print(""?"")
",,False,post,False,True,False,True,True,False,selected_pilot_75_apps.json,False,True,False,True,True,True,68_gpt-4o,0.6666666666666666
164,apps,llama3-70b,qwen2.5-7b-instruct,"On the way to Rio de Janeiro Ostap kills time playing with a grasshopper he took with him in a special box. Ostap builds a line of length n such that some cells of this line are empty and some contain obstacles. Then, he places his grasshopper to one of the empty cells and a small insect in another empty cell. The grasshopper wants to eat the insect.

Ostap knows that grasshopper is able to jump to any empty cell that is exactly k cells away from the current (to the left or to the right). Note that it doesn't matter whether intermediate cells are empty or not as the grasshopper makes a jump over them. For example, if k = 1 the grasshopper can jump to a neighboring cell only, and if k = 2 the grasshopper can jump over a single cell.

Your goal is to determine whether there is a sequence of jumps such that grasshopper will get from his initial position to the cell with an insect.


-----Input-----

The first line of the input contains two integers n and k (2 ≤ n ≤ 100, 1 ≤ k ≤ n - 1) — the number of cells in the line and the length of one grasshopper's jump.

The second line contains a string of length n consisting of characters '.', '#', 'G' and 'T'. Character '.' means that the corresponding cell is empty, character '#' means that the corresponding cell contains an obstacle and grasshopper can't jump there. Character 'G' means that the grasshopper starts at this position and, finally, 'T' means that the target insect is located at this cell. It's guaranteed that characters 'G' and 'T' appear in this line exactly once.


-----Output-----

If there exists a sequence of jumps (each jump of length k), such that the grasshopper can get from his initial position to the cell with the insect, print ""YES"" (without quotes) in the only line of the input. Otherwise, print ""NO"" (without quotes).


-----Examples-----
Input
5 2
#G#T#

Output
YES

Input
6 1
T....G

Output
YES

Input
7 3
T..#..G

Output
NO

Input
6 2
..GT..

Output
NO



-----Note-----

In the first sample, the grasshopper can make one jump to the right in order to get from cell 2 to cell 4.

In the second sample, the grasshopper is only able to jump to neighboring cells but the way to the insect is free — he can get there by jumping left 5 times.

In the third sample, the grasshopper can't make a single jump.

In the fourth sample, the grasshopper can only jump to the cells with odd indices, thus he won't be able to reach the insect.","n, k = map(int, input().split())
s = input()
g, t = -1, -1
for i in range(n):
    if s[i] == 'G':
        g = i
    elif s[i] == 'T':
        t = i
if g == -1 or t == -1:
    print(""NO"")
else:
    if abs(t - g) % k == 0 and all(s[(g + i * k) % n] != '#' for i in range(abs(t - g) // k + 1)):
        print(""YES"")
    else:
        print(""NO"")
",,False,post,False,True,True,True,False,False,selected_pilot_75_apps.json,True,True,True,False,False,False,164_llama3-70b,0.5
156,apps,gpt-4o,qwen2.5-7b-instruct,"You might have heard about the next game in Lara Croft series coming out this year. You also might have watched its trailer. Though you definitely missed the main idea about its plot, so let me lift the veil of secrecy.

Lara is going to explore yet another dangerous dungeon. Game designers decided to use good old 2D environment. The dungeon can be represented as a rectangle matrix of n rows and m columns. Cell (x, y) is the cell in the x-th row in the y-th column. Lara can move between the neighbouring by side cells in all four directions.

Moreover, she has even chosen the path for herself to avoid all the traps. She enters the dungeon in cell (1, 1), that is top left corner of the matrix. Then she goes down all the way to cell (n, 1) — the bottom left corner. Then she starts moving in the snake fashion — all the way to the right, one cell up, then to the left to the cell in 2-nd column, one cell up. She moves until she runs out of non-visited cells. n and m given are such that she always end up in cell (1, 2).

Lara has already moved to a neighbouring cell k times. Can you determine her current position?


-----Input-----

The only line contains three integers n, m and k (2 ≤ n, m ≤ 10^9, n is always even, 0 ≤ k < n·m). Note that k doesn't fit into 32-bit integer type!


-----Output-----

Print the cell (the row and the column where the cell is situated) where Lara ends up after she moves k times.


-----Examples-----
Input
4 3 0

Output
1 1

Input
4 3 11

Output
1 2

Input
4 3 7

Output
3 2



-----Note-----

Here is her path on matrix 4 by 3: [Image]","def find_lara_position(n, m, k):
    if k < n - 1:
        # Still in the initial descent down the first column
        print(k + 1, 1)
    else:
        # Adjust k by removing the initial descent
        k -= (n - 1)
        # Determine which full zigzag row Lara is in
        full_rows = k // (m - 1)
        # Determine the remaining steps after full zigzag rows
        remaining_steps = k % (m - 1)
        
        if full_rows % 2 == 0:
            # If on an even full row, moving rightward
            row = n - full_rows
            col = 2 + remaining_steps
        else:
            # If on an odd full row, moving leftward
            row = n - full_rows
            col = m - remaining_steps
        
        print(row, col)

# Read input
import sys
input = sys.stdin.read
data = input().strip().split()
n, m, k = int(data[0]), int(data[1]), int(data[2])

# Find Lara's position
find_lara_position(n, m, k)
",,False,post,False,True,True,True,True,False,selected_pilot_75_apps.json,True,True,True,True,True,True,156_gpt-4o,0.5
10,apps,llama3-70b,qwen2.5-7b-instruct,"Yet another round on DecoForces is coming! Grandpa Maks wanted to participate in it but someone has stolen his precious sofa! And how can one perform well with such a major loss?

Fortunately, the thief had left a note for Grandpa Maks. This note got Maks to the sofa storehouse. Still he had no idea which sofa belongs to him as they all looked the same!

The storehouse is represented as matrix n × m. Every sofa takes two neighbouring by some side cells. No cell is covered by more than one sofa. There can be empty cells.

Sofa A is standing to the left of sofa B if there exist two such cells a and b that x_{a} < x_{b}, a is covered by A and b is covered by B. Sofa A is standing to the top of sofa B if there exist two such cells a and b that y_{a} < y_{b}, a is covered by A and b is covered by B. Right and bottom conditions are declared the same way. 

Note that in all conditions A ≠ B. Also some sofa A can be both to the top of another sofa B and to the bottom of it. The same is for left and right conditions.

The note also stated that there are cnt_{l} sofas to the left of Grandpa Maks's sofa, cnt_{r} — to the right, cnt_{t} — to the top and cnt_{b} — to the bottom.

Grandpa Maks asks you to help him to identify his sofa. It is guaranteed that there is no more than one sofa of given conditions.

Output the number of Grandpa Maks's sofa. If there is no such sofa that all the conditions are met for it then output -1.


-----Input-----

The first line contains one integer number d (1 ≤ d ≤ 10^5) — the number of sofas in the storehouse.

The second line contains two integer numbers n, m (1 ≤ n, m ≤ 10^5) — the size of the storehouse.

Next d lines contains four integer numbers x_1, y_1, x_2, y_2 (1 ≤ x_1, x_2 ≤ n, 1 ≤ y_1, y_2 ≤ m) — coordinates of the i-th sofa. It is guaranteed that cells (x_1, y_1) and (x_2, y_2) have common side, (x_1, y_1)  ≠  (x_2, y_2) and no cell is covered by more than one sofa.

The last line contains four integer numbers cnt_{l}, cnt_{r}, cnt_{t}, cnt_{b} (0 ≤ cnt_{l}, cnt_{r}, cnt_{t}, cnt_{b} ≤ d - 1).


-----Output-----

Print the number of the sofa for which all the conditions are met. Sofas are numbered 1 through d as given in input. If there is no such sofa then print -1.


-----Examples-----
Input
2
3 2
3 1 3 2
1 2 2 2
1 0 0 1

Output
1

Input
3
10 10
1 2 1 1
5 5 6 5
6 4 5 4
2 1 2 0

Output
2

Input
2
2 2
2 1 1 1
1 2 2 2
1 0 0 0

Output
-1



-----Note-----

Let's consider the second example.   The first sofa has 0 to its left, 2 sofas to its right ((1, 1) is to the left of both (5, 5) and (5, 4)), 0 to its top and 2 to its bottom (both 2nd and 3rd sofas are below).  The second sofa has cnt_{l} = 2, cnt_{r} = 1, cnt_{t} = 2 and cnt_{b} = 0.  The third sofa has cnt_{l} = 2, cnt_{r} = 1, cnt_{t} = 1 and cnt_{b} = 1. 

So the second one corresponds to the given conditions.

In the third example   The first sofa has cnt_{l} = 1, cnt_{r} = 1, cnt_{t} = 0 and cnt_{b} = 1.  The second sofa has cnt_{l} = 1, cnt_{r} = 1, cnt_{t} = 1 and cnt_{b} = 0. 

And there is no sofa with the set (1, 0, 0, 0) so the answer is -1.","d = int(input())
n, m = map(int, input().split())
sofas = []
for _ in range(d):
    x1, y1, x2, y2 = map(int, input().split())
    sofas.append(((x1, y1), (x2, y2)))
cnt_l, cnt_r, cnt_t, cnt_b = map(int, input().split())

def count_sofas(sofa, sofas):
    left, right, top, bottom = 0, 0, 0, 0
    for s in sofas:
        if s != sofa:
            if sofa[0][0] < s[0][0] and sofa[0][1] == s[0][1]:
                left += 1
            if sofa[0][0] > s[0][0] and sofa[0][1] == s[0][1]:
                right += 1
            if sofa[0][1] < s[0][1] and sofa[0][0] == s[0][0]:
                top += 1
            if sofa[0][1] > s[0][1] and sofa[0][0] == s[0][0]:
                bottom += 1
    return left, right, top, bottom

for i, sofa in enumerate(sofas):
    left, right, top, bottom = count_sofas(sofa, sofas)
    if (left, right, top, bottom) == (cnt_l, cnt_r, cnt_t, cnt_b):
        print(i + 1)
        break
else:
    print(-1)
",,False,post,False,True,True,True,True,False,selected_pilot_75_apps.json,True,True,True,True,True,True,10_llama3-70b,0.6666666666666666
10,apps,gpt-4o,qwen2.5-7b-instruct,"Yet another round on DecoForces is coming! Grandpa Maks wanted to participate in it but someone has stolen his precious sofa! And how can one perform well with such a major loss?

Fortunately, the thief had left a note for Grandpa Maks. This note got Maks to the sofa storehouse. Still he had no idea which sofa belongs to him as they all looked the same!

The storehouse is represented as matrix n × m. Every sofa takes two neighbouring by some side cells. No cell is covered by more than one sofa. There can be empty cells.

Sofa A is standing to the left of sofa B if there exist two such cells a and b that x_{a} < x_{b}, a is covered by A and b is covered by B. Sofa A is standing to the top of sofa B if there exist two such cells a and b that y_{a} < y_{b}, a is covered by A and b is covered by B. Right and bottom conditions are declared the same way. 

Note that in all conditions A ≠ B. Also some sofa A can be both to the top of another sofa B and to the bottom of it. The same is for left and right conditions.

The note also stated that there are cnt_{l} sofas to the left of Grandpa Maks's sofa, cnt_{r} — to the right, cnt_{t} — to the top and cnt_{b} — to the bottom.

Grandpa Maks asks you to help him to identify his sofa. It is guaranteed that there is no more than one sofa of given conditions.

Output the number of Grandpa Maks's sofa. If there is no such sofa that all the conditions are met for it then output -1.


-----Input-----

The first line contains one integer number d (1 ≤ d ≤ 10^5) — the number of sofas in the storehouse.

The second line contains two integer numbers n, m (1 ≤ n, m ≤ 10^5) — the size of the storehouse.

Next d lines contains four integer numbers x_1, y_1, x_2, y_2 (1 ≤ x_1, x_2 ≤ n, 1 ≤ y_1, y_2 ≤ m) — coordinates of the i-th sofa. It is guaranteed that cells (x_1, y_1) and (x_2, y_2) have common side, (x_1, y_1)  ≠  (x_2, y_2) and no cell is covered by more than one sofa.

The last line contains four integer numbers cnt_{l}, cnt_{r}, cnt_{t}, cnt_{b} (0 ≤ cnt_{l}, cnt_{r}, cnt_{t}, cnt_{b} ≤ d - 1).


-----Output-----

Print the number of the sofa for which all the conditions are met. Sofas are numbered 1 through d as given in input. If there is no such sofa then print -1.


-----Examples-----
Input
2
3 2
3 1 3 2
1 2 2 2
1 0 0 1

Output
1

Input
3
10 10
1 2 1 1
5 5 6 5
6 4 5 4
2 1 2 0

Output
2

Input
2
2 2
2 1 1 1
1 2 2 2
1 0 0 0

Output
-1



-----Note-----

Let's consider the second example.   The first sofa has 0 to its left, 2 sofas to its right ((1, 1) is to the left of both (5, 5) and (5, 4)), 0 to its top and 2 to its bottom (both 2nd and 3rd sofas are below).  The second sofa has cnt_{l} = 2, cnt_{r} = 1, cnt_{t} = 2 and cnt_{b} = 0.  The third sofa has cnt_{l} = 2, cnt_{r} = 1, cnt_{t} = 1 and cnt_{b} = 1. 

So the second one corresponds to the given conditions.

In the third example   The first sofa has cnt_{l} = 1, cnt_{r} = 1, cnt_{t} = 0 and cnt_{b} = 1.  The second sofa has cnt_{l} = 1, cnt_{r} = 1, cnt_{t} = 1 and cnt_{b} = 0. 

And there is no sofa with the set (1, 0, 0, 0) so the answer is -1.","# Read the number of sofas
d = int(input().strip())

# Read the dimensions of the storehouse
n, m = map(int, input().strip().split())

# Initialize lists to store the coordinates of the sofas
sofas = []

# Read the coordinates of each sofa
for _ in range(d):
    x1, y1, x2, y2 = map(int, input().strip().split())
    sofas.append((x1, y1, x2, y2))

# Read the conditions for the target sofa
cnt_l, cnt_r, cnt_t, cnt_b = map(int, input().strip().split())

# Initialize counters for each sofa
left_count = [0] * d
right_count = [0] * d
top_count = [0] * d
bottom_count = [0] * d

# Calculate the necessary counts for each sofa
for i in range(d):
    x1, y1, x2, y2 = sofas[i]
    for j in range(d):
        if i == j:
            continue
        x1_j, y1_j, x2_j, y2_j = sofas[j]
        if x1 < x1_j and x2 < x1_j:
            right_count[i] += 1
        if x1 > x2_j and x2 > x2_j:
            left_count[i] += 1
        if y1 < y1_j and y2 < y1_j:
            bottom_count[i] += 1
        if y1 > y2_j and y2 > y2_j:
            top_count[i] += 1

# Find the sofa that matches the given conditions
target_sofa = -1
for i in range(d):
    if (left_count[i] == cnt_l and right_count[i] == cnt_r and
        top_count[i] == cnt_t and bottom_count[i] == cnt_b):
        target_sofa = i + 1
        break

# Print the result
print(target_sofa)
",,False,post,False,False,True,True,False,False,selected_pilot_75_apps.json,False,False,False,False,False,False,10_gpt-4o,0.6666666666666666
154,apps,gpt-4o,qwen2.5-7b-instruct,"Polycarp takes part in a math show. He is given n tasks, each consists of k subtasks, numbered 1 through k. It takes him t_{j} minutes to solve the j-th subtask of any task. Thus, time required to solve a subtask depends only on its index, but not on the task itself. Polycarp can solve subtasks in any order.

By solving subtask of arbitrary problem he earns one point. Thus, the number of points for task is equal to the number of solved subtasks in it. Moreover, if Polycarp completely solves the task (solves all k of its subtasks), he recieves one extra point. Thus, total number of points he recieves for the complete solution of the task is k + 1.

Polycarp has M minutes of time. What is the maximum number of points he can earn?


-----Input-----

The first line contains three integer numbers n, k and M (1 ≤ n ≤ 45, 1 ≤ k ≤ 45, 0 ≤ M ≤ 2·10^9).

The second line contains k integer numbers, values t_{j} (1 ≤ t_{j} ≤ 1000000), where t_{j} is the time in minutes required to solve j-th subtask of any task.


-----Output-----

Print the maximum amount of points Polycarp can earn in M minutes.


-----Examples-----
Input
3 4 11
1 2 3 4

Output
6

Input
5 5 10
1 2 4 8 16

Output
7



-----Note-----

In the first example Polycarp can complete the first task and spend 1 + 2 + 3 + 4 = 10 minutes. He also has the time to solve one subtask of the second task in one minute.

In the second example Polycarp can solve the first subtask of all five tasks and spend 5·1 = 5 minutes. Also he can solve the second subtasks of two tasks and spend 2·2 = 4 minutes. Thus, he earns 5 + 2 = 7 points in total.","def max_points(n, k, M, t):
    # Calculate total time required to solve all subtasks of one task
    total_time_per_task = sum(t)
    
    max_points = 0
    
    # Try solving 0 to n tasks completely
    for complete_tasks in range(n + 1):
        time_used = complete_tasks * total_time_per_task
        if time_used > M:
            break
        
        # Points for completely solved tasks
        points = complete_tasks * (k + 1)
        
        # Remaining time to solve individual subtasks
        remaining_time = M - time_used
        
        # Solve as many individual subtasks as possible with the remaining time
        subtasks_solved = 0
        for subtask_time in t:
            if remaining_time >= subtask_time:
                max_subtasks_for_this_task = (remaining_time // subtask_time)
                subtasks_solved += max_subtasks_for_this_task
                remaining_time -= max_subtasks_for_this_task * subtask_time
        
        # Ensure not to count more subtasks than available
        subtasks_solved = min(subtasks_solved, (n - complete_tasks) * k)
        
        # Update max points
        max_points = max(max_points, points + subtasks_solved)
    
    return max_points

# Read input
import sys
input = sys.stdin.read
data = input().split()
n = int(data[0])
k = int(data[1])
M = int(data[2])
t = list(map(int, data[3:3+k]))

# Get the result and print it
result = max_points(n, k, M, t)
print(result)
",,False,post,False,True,True,True,True,False,selected_pilot_75_apps.json,True,True,True,True,True,False,154_gpt-4o,0.6666666666666666
72,apps,gpt-4o,qwen2.5-7b-instruct,"On the Literature lesson Sergei noticed an awful injustice, it seems that some students are asked more often than others.

Seating in the class looks like a rectangle, where n rows with m pupils in each. 

The teacher asks pupils in the following order: at first, she asks all pupils from the first row in the order of their seating, then she continues to ask pupils from the next row. If the teacher asked the last row, then the direction of the poll changes, it means that she asks the previous row. The order of asking the rows looks as follows: the 1-st row, the 2-nd row, ..., the n - 1-st row, the n-th row, the n - 1-st row, ..., the 2-nd row, the 1-st row, the 2-nd row, ...

The order of asking of pupils on the same row is always the same: the 1-st pupil, the 2-nd pupil, ..., the m-th pupil.

During the lesson the teacher managed to ask exactly k questions from pupils in order described above. Sergei seats on the x-th row, on the y-th place in the row. Sergei decided to prove to the teacher that pupils are asked irregularly, help him count three values:  the maximum number of questions a particular pupil is asked,  the minimum number of questions a particular pupil is asked,  how many times the teacher asked Sergei. 

If there is only one row in the class, then the teacher always asks children from this row.


-----Input-----

The first and the only line contains five integers n, m, k, x and y (1 ≤ n, m ≤ 100, 1 ≤ k ≤ 10^18, 1 ≤ x ≤ n, 1 ≤ y ≤ m).


-----Output-----

Print three integers:  the maximum number of questions a particular pupil is asked,  the minimum number of questions a particular pupil is asked,  how many times the teacher asked Sergei. 


-----Examples-----
Input
1 3 8 1 1

Output
3 2 3
Input
4 2 9 4 2

Output
2 1 1
Input
5 5 25 4 3

Output
1 1 1
Input
100 100 1000000000000000000 100 100

Output
101010101010101 50505050505051 50505050505051


-----Note-----

The order of asking pupils in the first test:   the pupil from the first row who seats at the first table, it means it is Sergei;  the pupil from the first row who seats at the second table;  the pupil from the first row who seats at the third table;  the pupil from the first row who seats at the first table, it means it is Sergei;  the pupil from the first row who seats at the second table;  the pupil from the first row who seats at the third table;  the pupil from the first row who seats at the first table, it means it is Sergei;  the pupil from the first row who seats at the second table; 

The order of asking pupils in the second test:   the pupil from the first row who seats at the first table;  the pupil from the first row who seats at the second table;  the pupil from the second row who seats at the first table;  the pupil from the second row who seats at the second table;  the pupil from the third row who seats at the first table;  the pupil from the third row who seats at the second table;  the pupil from the fourth row who seats at the first table;  the pupil from the fourth row who seats at the second table, it means it is Sergei;  the pupil from the third row who seats at the first table;","n, m, k, x, y = map(int, input().split())

# Convert 1-based indices to 0-based for easier calculations
x -= 1
y -= 1

# Calculate the number of complete cycles (from 1st row to nth row and back to 1st)
full_cycle_length = (2 * n - 2) * m if n > 1 else m

# Calculate the number of complete cycles that fit into k questions
full_cycles = k // full_cycle_length

# Calculate the remaining questions after the full cycles
remaining_questions = k % full_cycle_length

# Initialize the counts for each pupil
min_questions = full_cycles
max_questions = full_cycles

# Handle special cases for first row and last row
if n > 1:
    min_questions = full_cycles // (2 * n - 2)
    max_questions = (full_cycles + n - 1) // (2 * n - 2)

# Calculate the number of times Sergei is asked
sergei_questions = min_questions
if x == 0 or x == n - 1:  # First or last row
    sergei_questions = full_cycles // (2 * n - 2) + (full_cycles % (2 * n - 2) >= 1)
else:
    sergei_questions = (full_cycles + x - 1) // (2 * n - 2) + (full_cycles % (2 * n - 2) >= x)

# Process the remaining questions
row = 0
direction = 1
for _ in range(remaining_questions):
    for col in range(m):
        if row == x and col == y:
            sergei_questions += 1
        if direction == 1:
            max_questions += 1
            row += direction
            if row == n:
                direction = -1
                row -= 2
        else:
            max_questions -= 1
            row += direction
            if row == -1:
                direction = 1
                row += 2

print(max_questions, min_questions, sergei_questions)
",,False,post,False,True,True,True,False,False,selected_pilot_75_apps.json,True,True,False,True,False,False,72_gpt-4o,0.5
225,apps,llama3-70b,qwen2.5-7b-instruct,"One day, the Grasshopper was jumping on the lawn and found a piece of paper with a string. Grasshopper became interested what is the minimum jump ability he should have in order to be able to reach the far end of the string, jumping only on vowels of the English alphabet. Jump ability is the maximum possible length of his jump. 

Formally, consider that at the begginning the Grasshopper is located directly in front of the leftmost character of the string. His goal is to reach the position right after the rightmost character of the string. In one jump the Grasshopper could jump to the right any distance from 1 to the value of his jump ability. [Image] The picture corresponds to the first example. 

The following letters are vowels: 'A', 'E', 'I', 'O', 'U' and 'Y'.


-----Input-----

The first line contains non-empty string consisting of capital English letters. It is guaranteed that the length of the string does not exceed 100. 


-----Output-----

Print single integer a — the minimum jump ability of the Grasshopper (in the number of symbols) that is needed to overcome the given string, jumping only on vowels.


-----Examples-----
Input
ABABBBACFEYUKOTT

Output
4
Input
AAA

Output
1","s = input()
vowels = 'AEIOUY'
n = len(s)
max_jump = 0
last_vowel = -1
for i in range(n):
    if s[i] in vowels:
        if last_vowel == -1:
            max_jump = max(max_jump, i + 1)
        else:
            max_jump = max(max_jump, (i - last_vowel) // 2 + 1)
        last_vowel = i
if last_vowel != n - 1:
    max_jump = max(max_jump, (n - last_vowel) // 2 + 1)
print(max_jump)
",,False,post,False,True,True,True,False,False,selected_pilot_75_apps.json,True,True,False,False,False,True,225_llama3-70b,0.6666666666666666
