comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,0.134461148659206
naive_no_fsl_vs_Naive,0.28061537184031743
naive_no_fsl_vs_Complex tree,0.10851422459084543
naive_no_fsl_vs_Simple tree,0.13241710341495896
naive_no_fsl_vs_Function summary no FSL,0.16308892240380216
naive_no_fsl_vs_Simple verify,0.22828624888636448
naive_no_fsl_vs_Complex verify,0.4125535484875623
naive_no_fsl_vs_Default verify,0.3617256594987862
naive_no_fsl_vs_Simple verify no FSL,0.15290210060387427
naive_no_fsl_vs_Complex verify no FSL,0.2183223413489248
naive_no_fsl_vs_Default verify no FSL,0.3610350727946605
