comparison,correlation_with_consistency
naive_vs_Function summary,0.2099086299418314
naive_vs_Naive,
naive_vs_Complex tree,0.2913075801709224
naive_vs_Simple tree,0.10610208097118591
naive_vs_Function summary no FSL,0.1892501871345628
naive_vs_Simple verify,0.13428203184450552
naive_vs_Complex verify,0.12698583160628202
naive_vs_Default verify,0.28741475015367274
naive_vs_Simple verify no FSL,-0.04833151688313478
naive_vs_Complex verify no FSL,0.0953575664424586
naive_vs_Default verify no FSL,0.036865400038258105
