comparison,correlation_with_consistency
naive_vs_Function summary,0.046483700069469634
naive_vs_Naive,
naive_vs_Complex tree,0.10625055931776592
naive_vs_Simple tree,0.14628181711734584
naive_vs_Function summary no FSL,-0.00107222274326857
naive_vs_Simple verify,0.047141251433064545
naive_vs_Complex verify,0.011914956689724494
naive_vs_Default verify,0.011065979942995187
naive_vs_Simple verify no FSL,0.05285641593809337
naive_vs_Complex verify no FSL,-0.04641192731576526
naive_vs_Default verify no FSL,-0.01826571460274877
