comparison,correlation_with_consistency
naive_vs_Function summary,0.10754844590382
naive_vs_Naive,
naive_vs_Complex tree,0.057899528973530755
naive_vs_Simple tree,0.09059922508686914
naive_vs_Function summary no FSL,0.02067825889785807
naive_vs_Simple verify,-0.005437466263671226
naive_vs_Complex verify,0.044488343883087436
naive_vs_Default verify,0.06284084856217834
naive_vs_Simple verify no FSL,0.06135261509478071
naive_vs_Complex verify no FSL,0.0497225886202736
naive_vs_Default verify no FSL,0.06776451747326875
