comparison,correlation_with_consistency
naive_no_fsl_vs_Function summary,-0.011352880204866326
naive_no_fsl_vs_Naive,0.11043704682771102
naive_no_fsl_vs_Complex tree,0.09259820918571449
naive_no_fsl_vs_Simple tree,0.12761296820291076
naive_no_fsl_vs_Function summary no FSL,0.0644864998311139
naive_no_fsl_vs_Simple verify,0.14617788763031178
naive_no_fsl_vs_Complex verify,0.18770499498923632
naive_no_fsl_vs_Default verify,0.23401973045175892
naive_no_fsl_vs_Simple verify no FSL,0.17587707351077134
naive_no_fsl_vs_Complex verify no FSL,0.200596580141434
naive_no_fsl_vs_Default verify no FSL,0.21721267278529452
