comparison,correlation_with_consistency
naive_vs_Function summary,0.03959979458830827
naive_vs_Naive,
naive_vs_Complex tree,0.22158143326026844
naive_vs_Simple tree,0.11273634200743357
naive_vs_Function summary no FSL,0.12203042403810599
naive_vs_Simple verify,0.06636306163919188
naive_vs_Complex verify,0.10858387892188764
naive_vs_Default verify,0.23023953668878838
naive_vs_Simple verify no FSL,0.06424484470556642
naive_vs_Complex verify no FSL,0.1854571515261366
naive_vs_Default verify no FSL,0.08125513875229033
