Task ID,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify
7,apps,gpt-4o,qwen2.5-72b-instruct,"You are fighting with Zmei Gorynich — a ferocious monster from Slavic myths, a huge dragon-like reptile with multiple heads! 

 $m$ 

Initially Zmei Gorynich has $x$ heads. You can deal $n$ types of blows. If you deal a blow of the $i$-th type, you decrease the number of Gorynich's heads by $min(d_i, curX)$, there $curX$ is the current number of heads. But if after this blow Zmei Gorynich has at least one head, he grows $h_i$ new heads. If $curX = 0$ then Gorynich is defeated. 

You can deal each blow any number of times, in any order.

For example, if $curX = 10$, $d = 7$, $h = 10$ then the number of heads changes to $13$ (you cut $7$ heads off, but then Zmei grows $10$ new ones), but if $curX = 10$, $d = 11$, $h = 100$ then number of heads changes to $0$ and Zmei Gorynich is considered defeated.

Calculate the minimum number of blows to defeat Zmei Gorynich!

You have to answer $t$ independent queries.


-----Input-----

The first line contains one integer $t$ ($1 \le t \le 100$) – the number of queries.

The first line of each query contains two integers $n$ and $x$ ($1 \le n \le 100$, $1 \le x \le 10^9$) — the number of possible types of blows and the number of heads Zmei initially has, respectively.

The following $n$ lines of each query contain the descriptions of types of blows you can deal. The $i$-th line contains two integers $d_i$ and $h_i$ ($1 \le d_i, h_i \le 10^9$) — the description of the $i$-th blow.


-----Output-----

For each query print the minimum number of blows you have to deal to defeat Zmei Gorynich. 

If Zmei Gorynuch cannot be defeated print $-1$.


-----Example-----
Input
3
3 10
6 3
8 2
1 4
4 10
4 1
3 2
2 6
1 100
2 15
10 11
14 100

Output
2
3
-1



-----Note-----

In the first query you can deal the first blow (after that the number of heads changes to $10 - 6 + 3 = 7$), and then deal the second blow.

In the second query you just deal the first blow three times, and Zmei is defeated. 

In third query you can not defeat Zmei Gorynich. Maybe it's better to convince it to stop fighting?","def minimum_blows(t, queries):
    results = []
    
    for query in queries:
        n, x = query[0]
        blows = query[1:]
        max_single_blow = 0
        max_effective_blow = float('-inf')
        
        for d, h in blows:
            if d >= x:
                results.append(1)
                break
            max_single_blow = max(max_single_blow, d)
            if d > h:
                max_effective_blow = max(max_effective_blow, d - h)
        else:
            if max_effective_blow <= 0:
                results.append(-1)
            else:
                remaining_heads = x - max_single_blow
                additional_blows = (remaining_heads + max_effective_blow - 1) // max_effective_blow
                results.append(additional_blows + 1)
                
    return results

# Read input
import sys
input = sys.stdin.read
data = input().split()

t = int(data[0])
index = 1
queries = []

for _ in range(t):
    n, x = int(data[index]), int(data[index + 1])
    index += 2
    blows = []
    for _ in range(n):
        d, h = int(data[index]), int(data[index + 1])
        blows.append((d, h))
        index += 2
    queries.append(((n, x), blows))

# Get results
results = minimum_blows(t, queries)

# Print results
for result in results:
    print(result)
",1,False,False,False,True,True,True,True,False,False,False,True,True,True
13,apps,gpt-4o,qwen2.5-72b-instruct,"Vova has won $n$ trophies in different competitions. Each trophy is either golden or silver. The trophies are arranged in a row.

The beauty of the arrangement is the length of the longest subsegment consisting of golden trophies. Vova wants to swap two trophies (not necessarily adjacent ones) to make the arrangement as beautiful as possible — that means, to maximize the length of the longest such subsegment.

Help Vova! Tell him the maximum possible beauty of the arrangement if he is allowed to do at most one swap.


-----Input-----

The first line contains one integer $n$ ($2 \le n \le 10^5$) — the number of trophies.

The second line contains $n$ characters, each of them is either G or S. If the $i$-th character is G, then the $i$-th trophy is a golden one, otherwise it's a silver trophy. 


-----Output-----

Print the maximum possible length of a subsegment of golden trophies, if Vova is allowed to do at most one swap.


-----Examples-----
Input
10
GGGSGGGSGG

Output
7

Input
4
GGGG

Output
4

Input
3
SSS

Output
0



-----Note-----

In the first example Vova has to swap trophies with indices $4$ and $10$. Thus he will obtain the sequence ""GGGGGGGSGS"", the length of the longest subsegment of golden trophies is $7$. 

In the second example Vova can make no swaps at all. The length of the longest subsegment of golden trophies in the sequence is $4$. 

In the third example Vova cannot do anything to make the length of the longest subsegment of golden trophies in the sequence greater than $0$.","def max_beauty_after_swap(n, trophies):
    segments = []
    i = 0
    
    while i < n:
        if trophies[i] == 'G':
            start = i
            while i < n and trophies[i] == 'G':
                i += 1
            segments.append((start, i - 1))
        else:
            i += 1
    
    if not segments:
        return 0
    
    max_length = max(end - start + 1 for start, end in segments)
    
    if len(segments) == 1:
        return max_length
    
    for i in range(1, len(segments)):
        prev_start, prev_end = segments[i - 1]
        curr_start, curr_end = segments[i]
        if curr_start - prev_end == 2:
            max_length = max(max_length, (curr_end - curr_start + 1) + (prev_end - prev_start + 1) + 1)
    
    return min(max_length + 1, n)

# Read input
import sys
input = sys.stdin.read
data = input().split()
n = int(data[0])
trophies = data[1]

# Print output
print(max_beauty_after_swap(n, trophies))
",1,False,False,False,False,True,True,True,False,False,False,False,True,True
18,apps,gpt-4o,qwen2.5-72b-instruct,"Arpa is researching the Mexican wave.

There are n spectators in the stadium, labeled from 1 to n. They start the Mexican wave at time 0. 

  At time 1, the first spectator stands.  At time 2, the second spectator stands.  ...  At time k, the k-th spectator stands.  At time k + 1, the (k + 1)-th spectator stands and the first spectator sits.  At time k + 2, the (k + 2)-th spectator stands and the second spectator sits.  ...  At time n, the n-th spectator stands and the (n - k)-th spectator sits.  At time n + 1, the (n + 1 - k)-th spectator sits.  ...  At time n + k, the n-th spectator sits. 

Arpa wants to know how many spectators are standing at time t.


-----Input-----

The first line contains three integers n, k, t (1 ≤ n ≤ 10^9, 1 ≤ k ≤ n, 1 ≤ t < n + k).


-----Output-----

Print single integer: how many spectators are standing at time t.


-----Examples-----
Input
10 5 3

Output
3

Input
10 5 7

Output
5

Input
10 5 12

Output
3



-----Note-----

In the following a sitting spectator is represented as -, a standing spectator is represented as ^.

  At t = 0  ---------- $\Rightarrow$ number of standing spectators = 0.  At t = 1  ^--------- $\Rightarrow$ number of standing spectators = 1.  At t = 2  ^^-------- $\Rightarrow$ number of standing spectators = 2.  At t = 3  ^^^------- $\Rightarrow$ number of standing spectators = 3.  At t = 4  ^^^^------ $\Rightarrow$ number of standing spectators = 4.  At t = 5  ^^^^^----- $\Rightarrow$ number of standing spectators = 5.  At t = 6  -^^^^^---- $\Rightarrow$ number of standing spectators = 5.  At t = 7  --^^^^^--- $\Rightarrow$ number of standing spectators = 5.  At t = 8  ---^^^^^-- $\Rightarrow$ number of standing spectators = 5.  At t = 9  ----^^^^^- $\Rightarrow$ number of standing spectators = 5.  At t = 10 -----^^^^^ $\Rightarrow$ number of standing spectators = 5.  At t = 11 ------^^^^ $\Rightarrow$ number of standing spectators = 4.  At t = 12 -------^^^ $\Rightarrow$ number of standing spectators = 3.  At t = 13 --------^^ $\Rightarrow$ number of standing spectators = 2.  At t = 14 ---------^ $\Rightarrow$ number of standing spectators = 1.  At t = 15 ---------- $\Rightarrow$ number of standing spectators = 0.","n, k, t = map(int, input().split())

# Determine the number of spectators standing at time t
if t <= k:
    print(t)
elif t <= n:
    print(k)
else:
    print(n + k - t)
",1,True,False,False,True,True,True,True,False,True,True,True,True,True
26,apps,gpt-4o,qwen2.5-72b-instruct,"You are given matrix with n rows and n columns filled with zeroes. You should put k ones in it in such a way that the resulting matrix is symmetrical with respect to the main diagonal (the diagonal that goes from the top left to the bottom right corner) and is lexicographically maximal.

One matrix is lexicographically greater than the other if the first different number in the first different row from the top in the first matrix is greater than the corresponding number in the second one.

If there exists no such matrix then output -1.


-----Input-----

The first line consists of two numbers n and k (1 ≤ n ≤ 100, 0 ≤ k ≤ 10^6).


-----Output-----

If the answer exists then output resulting matrix. Otherwise output -1.


-----Examples-----
Input
2 1

Output
1 0 
0 0 

Input
3 2

Output
1 0 0 
0 1 0 
0 0 0 

Input
2 5

Output
-1","def main():
    import sys
    input = sys.stdin.read
    data = input().strip().split()
    
    n = int(data[0])
    k = int(data[1])
    
    # Calculate the maximum number of ones possible
    max_ones = n * (n + 1) // 2
    
    if k > max_ones:
        print(-1)
        return
    
    # Initialize the matrix
    matrix = [[0] * n for _ in range(n)]
    
    # Fill the matrix to make it lexicographically maximal and symmetric
    for i in range(n):
        if k <= 0:
            break
        # First, try to fill the diagonal
        matrix[i][i] = 1
        k -= 1
        
        # Then, try to fill the off-diagonal pairs
        for j in range(i + 1, n):
            if k <= 0:
                break
            if k >= 2:
                matrix[i][j] = 1
                matrix[j][i] = 1
                k -= 2
            else:
                if k == 1:
                    matrix[i][j] = 1
                    k -= 1
    
    # Print the matrix
    for row in matrix:
        print(' '.join(map(str, row)))

if __name__ == ""__main__"":
    main()
",1,False,False,True,True,True,True,True,True,True,True,True,True,True
40,apps,gpt-4o,qwen2.5-72b-instruct,"A string is a palindrome if it reads the same from the left to the right and from the right to the left. For example, the strings ""kek"", ""abacaba"", ""r"" and ""papicipap"" are palindromes, while the strings ""abb"" and ""iq"" are not.

A substring $s[l \ldots r]$ ($1 \leq l \leq r \leq |s|$) of a string $s = s_{1}s_{2} \ldots s_{|s|}$ is the string $s_{l}s_{l + 1} \ldots s_{r}$.

Anna does not like palindromes, so she makes her friends call her Ann. She also changes all the words she reads in a similar way. Namely, each word $s$ is changed into its longest substring that is not a palindrome. If all the substrings of $s$ are palindromes, she skips the word at all.

Some time ago Ann read the word $s$. What is the word she changed it into?


-----Input-----

The first line contains a non-empty string $s$ with length at most $50$ characters, containing lowercase English letters only.


-----Output-----

If there is such a substring in $s$ that is not a palindrome, print the maximum length of such a substring. Otherwise print $0$.

Note that there can be multiple longest substrings that are not palindromes, but their length is unique.


-----Examples-----
Input
mew

Output
3

Input
wuffuw

Output
5

Input
qqqqqqqq

Output
0



-----Note-----

""mew"" is not a palindrome, so the longest substring of it that is not a palindrome, is the string ""mew"" itself. Thus, the answer for the first example is $3$.

The string ""uffuw"" is one of the longest non-palindrome substrings (of length $5$) of the string ""wuffuw"", so the answer for the second example is $5$.

All substrings of the string ""qqqqqqqq"" consist of equal characters so they are palindromes. This way, there are no non-palindrome substrings. Thus, the answer for the third example is $0$.","def is_palindrome(s):
    return s == s[::-1]

s = input().strip()

if len(s) <= 1:
    print(0)
else:
    if not is_palindrome(s):
        print(len(s))
    else:
        if not is_palindrome(s[1:]):
            print(len(s) - 1)
        elif not is_palindrome(s[:-1]):
            print(len(s) - 1)
        else:
            print(0)
",1,True,False,False,True,True,True,True,False,False,False,False,False,False
43,apps,gpt-4o,qwen2.5-72b-instruct,"You are given a binary string $s$.

Find the number of distinct cyclical binary strings of length $n$ which contain $s$ as a substring.

The cyclical string $t$ contains $s$ as a substring if there is some cyclical shift of string $t$, such that $s$ is a substring of this cyclical shift of $t$.

For example, the cyclical string ""000111"" contains substrings ""001"", ""01110"" and ""10"", but doesn't contain ""0110"" and ""10110"".

Two cyclical strings are called different if they differ from each other as strings. For example, two different strings, which differ from each other by a cyclical shift, are still considered different cyclical strings.


-----Input-----

The first line contains a single integer $n$ ($1 \le n \le 40$) — the length of the target string $t$.

The next line contains the string $s$ ($1 \le |s| \le n$) — the string which must be a substring of cyclical string $t$. String $s$ contains only characters '0' and '1'.


-----Output-----

Print the only integer — the number of distinct cyclical binary strings $t$, which contain $s$ as a substring.


-----Examples-----
Input
2
0

Output
3
Input
4
1010

Output
2
Input
20
10101010101010

Output
962


-----Note-----

In the first example, there are three cyclical strings, which contain ""0"" — ""00"", ""01"" and ""10"".

In the second example, there are only two such strings — ""1010"", ""0101"".","def count_distinct_cyclical_strings(n, s):
    # Function to check if string s is a substring of t or any of its cyclic permutations
    def is_cyclic_substring(t, s):
        t_extended = t + t
        return s in t_extended[:n + len(s) - 1]

    # Generate all binary strings of length n
    from itertools import product
    all_binary_strings = [''.join(p) for p in product('01', repeat=n)]
    
    # Count the number of distinct binary strings that contain s as a substring
    count = 0
    for t in all_binary_strings:
        if is_cyclic_substring(t, s):
            count += 1
    
    return count

# Reading input
n = int(input())
s = input()

# Printing the result
print(count_distinct_cyclical_strings(n, s))
",1,False,False,True,False,True,True,True,True,True,True,False,True,True
46,apps,gpt-4o,qwen2.5-72b-instruct,"You are given positive integer number n. You should create such strictly increasing sequence of k positive numbers a_1, a_2, ..., a_{k}, that their sum is equal to n and greatest common divisor is maximal.

Greatest common divisor of sequence is maximum of such numbers that every element of sequence is divisible by them.

If there is no possible sequence then output -1.


-----Input-----

The first line consists of two numbers n and k (1 ≤ n, k ≤ 10^10).


-----Output-----

If the answer exists then output k numbers — resulting sequence. Otherwise output -1. If there are multiple answers, print any of them.


-----Examples-----
Input
6 3

Output
1 2 3

Input
8 2

Output
2 6

Input
5 3

Output
-1","def find_sequence(n, k):
    min_sum = k * (k + 1) // 2  # Sum of the first k natural numbers
    
    if min_sum > n:
        return -1
    
    d = n // min_sum  # Maximum possible GCD
    remainder = n - d * min_sum
    
    sequence = [d * (i + 1) for i in range(k)]
    
    # Distribute the remainder to the sequence to make the sum equal to n
    for i in range(k-1, -1, -1):
        if remainder == 0:
            break
        sequence[i] += 1
        remainder -= 1
    
    return sequence

# Read input
n, k = map(int, input().split())

result = find_sequence(n, k)
if result == -1:
    print(-1)
else:
    print("" "".join(map(str, result)))
",1,False,False,True,True,True,True,True,False,True,True,True,False,False
52,apps,gpt-4o,qwen2.5-72b-instruct,"В Берляндском государственном университете локальная сеть между серверами не всегда работает без ошибок. При передаче двух одинаковых сообщений подряд возможна ошибка, в результате которой эти два сообщения сливаются в одно. При таком слиянии конец первого сообщения совмещается с началом второго. Конечно, совмещение может происходить только по одинаковым символам. Длина совмещения должна быть положительным числом, меньшим длины текста сообщения. 

Например, при передаче двух сообщений «abrakadabra» подряд возможно, что оно будет передано с ошибкой описанного вида, и тогда будет получено сообщение вида «abrakadabrabrakadabra» или «abrakadabrakadabra» (в первом случае совмещение произошло по одному символу, а во втором — по четырем).

По полученному сообщению t определите, возможно ли, что это результат ошибки описанного вида работы локальной сети, и если возможно, определите возможное значение s. 

Не следует считать ошибкой ситуацию полного наложения друга на друга двух сообщений. К примеру, если получено сообщение «abcd», следует считать, что в нём ошибки нет. Аналогично, простое дописывание одного сообщения вслед за другим не является признаком ошибки. Например, если получено сообщение «abcabc», следует считать, что в нём ошибки нет.


-----Входные данные-----

В единственной строке выходных данных следует непустая строка t, состоящая из строчных букв латинского алфавита. Длина строки t не превосходит 100 символов.


-----Выходные данные-----

Если сообщение t не может содержать ошибки, выведите «NO» (без кавычек) в единственную строку выходных данных.

В противном случае в первой строке выведите «YES» (без кавычек), а в следующей строке выведите строку s — возможное сообщение, которое могло привести к ошибке. Если возможных ответов несколько, разрешается вывести любой из них.


-----Примеры-----
Входные данные
abrakadabrabrakadabra

Выходные данные
YES
abrakadabra

Входные данные
acacacaca

Выходные данные
YES
acaca

Входные данные
abcabc

Выходные данные
NO

Входные данные
abababab

Выходные данные
YES
ababab

Входные данные
tatbt

Выходные данные
NO



-----Примечание-----

Во втором примере подходящим ответом также является строка acacaca.","def find_possible_message(t):
    n = len(t)
    for i in range(1, n):
        if t[:i] == t[-i:]:
            s = t[:-i]
            if s + t[-i:] == t:
                return ""YES\n"" + s
    return ""NO""

# Read input
t = input().strip()

# Find and print the result
print(find_possible_message(t))
",1,False,False,False,False,True,True,True,True,True,True,True,False,True
58,apps,gpt-4o,qwen2.5-72b-instruct,"After making bad dives into swimming pools, Wilbur wants to build a swimming pool in the shape of a rectangle in his backyard. He has set up coordinate axes, and he wants the sides of the rectangle to be parallel to them. Of course, the area of the rectangle must be positive. Wilbur had all four vertices of the planned pool written on a paper, until his friend came along and erased some of the vertices.

Now Wilbur is wondering, if the remaining n vertices of the initial rectangle give enough information to restore the area of the planned swimming pool.


-----Input-----

The first line of the input contains a single integer n (1 ≤ n ≤ 4) — the number of vertices that were not erased by Wilbur's friend.

Each of the following n lines contains two integers x_{i} and y_{i} ( - 1000 ≤ x_{i}, y_{i} ≤ 1000) —the coordinates of the i-th vertex that remains. Vertices are given in an arbitrary order.

It's guaranteed that these points are distinct vertices of some rectangle, that has positive area and which sides are parallel to the coordinate axes.


-----Output-----

Print the area of the initial rectangle if it could be uniquely determined by the points remaining. Otherwise, print  - 1. 


-----Examples-----
Input
2
0 0
1 1

Output
1

Input
1
1 1

Output
-1



-----Note-----

In the first sample, two opposite corners of the initial rectangle are given, and that gives enough information to say that the rectangle is actually a unit square.

In the second sample there is only one vertex left and this is definitely not enough to uniquely define the area.","def determine_area(n, vertices):
    if n == 1 or n == 3:
        return -1
    elif n == 2:
        x1, y1 = vertices[0]
        x2, y2 = vertices[1]
        return abs(x2 - x1) * abs(y2 - y1)
    else:  # n == 4
        x_coords = set()
        y_coords = set()
        for x, y in vertices:
            x_coords.add(x)
            y_coords.add(y)
        if len(x_coords) == 2 and len(y_coords) == 2:
            return abs(max(x_coords) - min(x_coords)) * abs(max(y_coords) - min(y_coords))
        else:
            return -1

if __name__ == ""__main__"":
    import sys
    input = sys.stdin.read
    data = input().split()
    n = int(data[0])
    vertices = []
    index = 1
    for i in range(n):
        x = int(data[index])
        y = int(data[index + 1])
        vertices.append((x, y))
        index += 2
    print(determine_area(n, vertices))
",1,False,False,False,True,False,True,True,False,False,False,True,True,True
61,apps,gpt-4o,qwen2.5-72b-instruct,"A new airplane SuperPuperJet has an infinite number of rows, numbered with positive integers starting with 1 from cockpit to tail. There are six seats in each row, denoted with letters from 'a' to 'f'. Seats 'a', 'b' and 'c' are located to the left of an aisle (if one looks in the direction of the cockpit), while seats 'd', 'e' and 'f' are located to the right. Seats 'a' and 'f' are located near the windows, while seats 'c' and 'd' are located near the aisle.  [Image] 

 

It's lunch time and two flight attendants have just started to serve food. They move from the first rows to the tail, always maintaining a distance of two rows from each other because of the food trolley. Thus, at the beginning the first attendant serves row 1 while the second attendant serves row 3. When both rows are done they move one row forward: the first attendant serves row 2 while the second attendant serves row 4. Then they move three rows forward and the first attendant serves row 5 while the second attendant serves row 7. Then they move one row forward again and so on.

Flight attendants work with the same speed: it takes exactly 1 second to serve one passenger and 1 second to move one row forward. Each attendant first serves the passengers on the seats to the right of the aisle and then serves passengers on the seats to the left of the aisle (if one looks in the direction of the cockpit). Moreover, they always serve passengers in order from the window to the aisle. Thus, the first passenger to receive food in each row is located in seat 'f', and the last one — in seat 'c'. Assume that all seats are occupied.

Vasya has seat s in row n and wants to know how many seconds will pass before he gets his lunch.


-----Input-----

The only line of input contains a description of Vasya's seat in the format ns, where n (1 ≤ n ≤ 10^18) is the index of the row and s is the seat in this row, denoted as letter from 'a' to 'f'. The index of the row and the seat are not separated by a space.


-----Output-----

Print one integer — the number of seconds Vasya has to wait until he gets his lunch.


-----Examples-----
Input
1f

Output
1

Input
2d

Output
10

Input
4a

Output
11

Input
5e

Output
18



-----Note-----

In the first sample, the first flight attendant serves Vasya first, so Vasya gets his lunch after 1 second.

In the second sample, the flight attendants will spend 6 seconds to serve everyone in the rows 1 and 3, then they will move one row forward in 1 second. As they first serve seats located to the right of the aisle in order from window to aisle, Vasya has to wait 3 more seconds. The total is 6 + 1 + 3 = 10.","s = input().strip()
n = int(s[:-1])
seat = s[-1]

# Determine the base time for the row
group = (n - 1) // 4
base_time = group * 8 * 3  # Each group of 4 rows takes 24 seconds (8 per row)

# Determine the extra time within the group
row_position_in_group = (n - 1) % 4
if row_position_in_group == 0 or row_position_in_group == 2:
    base_time += 0  # for rows 1 and 3 in their respective 4-row groups
elif row_position_in_group == 1 or row_position_in_group == 3:
    base_time += 7  # for rows 2 and 4 in their respective 4-row groups

# Determine the time based on the seat position
seat_time = {
    'f': 0,
    'e': 1,
    'd': 2,
    'c': 3,
    'b': 4,
    'a': 5
}[seat]

# Total time is base time plus seat time plus 1 second to start serving
total_time = base_time + seat_time + 1

print(total_time)
",1,False,False,True,True,True,True,True,False,True,False,True,True,True
