Task ID,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify,unique_id,consistency,consistency_mine,consistency_old
13,apps,gpt-4o,qwen2.5-72b-instruct,"Vova has won $n$ trophies in different competitions. Each trophy is either golden or silver. The trophies are arranged in a row.

The beauty of the arrangement is the length of the longest subsegment consisting of golden trophies. Vova wants to swap two trophies (not necessarily adjacent ones) to make the arrangement as beautiful as possible — that means, to maximize the length of the longest such subsegment.

Help Vova! Tell him the maximum possible beauty of the arrangement if he is allowed to do at most one swap.


-----Input-----

The first line contains one integer $n$ ($2 \le n \le 10^5$) — the number of trophies.

The second line contains $n$ characters, each of them is either G or S. If the $i$-th character is G, then the $i$-th trophy is a golden one, otherwise it's a silver trophy. 


-----Output-----

Print the maximum possible length of a subsegment of golden trophies, if Vova is allowed to do at most one swap.


-----Examples-----
Input
10
GGGSGGGSGG

Output
7

Input
4
GGGG

Output
4

Input
3
SSS

Output
0



-----Note-----

In the first example Vova has to swap trophies with indices $4$ and $10$. Thus he will obtain the sequence ""GGGGGGGSGS"", the length of the longest subsegment of golden trophies is $7$. 

In the second example Vova can make no swaps at all. The length of the longest subsegment of golden trophies in the sequence is $4$. 

In the third example Vova cannot do anything to make the length of the longest subsegment of golden trophies in the sequence greater than $0$.","def max_beauty_after_swap(n, trophies):
    segments = []
    i = 0
    
    while i < n:
        if trophies[i] == 'G':
            start = i
            while i < n and trophies[i] == 'G':
                i += 1
            segments.append((start, i - 1))
        else:
            i += 1
    
    if not segments:
        return 0
    
    max_length = max(end - start + 1 for start, end in segments)
    
    if len(segments) == 1:
        return max_length
    
    for i in range(1, len(segments)):
        prev_start, prev_end = segments[i - 1]
        curr_start, curr_end = segments[i]
        if curr_start - prev_end == 2:
            max_length = max(max_length, (curr_end - curr_start + 1) + (prev_end - prev_start + 1) + 1)
    
    return min(max_length + 1, n)

# Read input
import sys
input = sys.stdin.read
data = input().split()
n = int(data[0])
trophies = data[1]

# Print output
print(max_beauty_after_swap(n, trophies))
",1,False,False,False,False,True,True,True,False,False,False,False,True,True,13_gpt-4o,0.7832320984186675,0.3244366329268524,0.6666666666666666
26,apps,gpt-4o,qwen2.5-72b-instruct,"You are given matrix with n rows and n columns filled with zeroes. You should put k ones in it in such a way that the resulting matrix is symmetrical with respect to the main diagonal (the diagonal that goes from the top left to the bottom right corner) and is lexicographically maximal.

One matrix is lexicographically greater than the other if the first different number in the first different row from the top in the first matrix is greater than the corresponding number in the second one.

If there exists no such matrix then output -1.


-----Input-----

The first line consists of two numbers n and k (1 ≤ n ≤ 100, 0 ≤ k ≤ 10^6).


-----Output-----

If the answer exists then output resulting matrix. Otherwise output -1.


-----Examples-----
Input
2 1

Output
1 0 
0 0 

Input
3 2

Output
1 0 0 
0 1 0 
0 0 0 

Input
2 5

Output
-1","def main():
    import sys
    input = sys.stdin.read
    data = input().strip().split()
    
    n = int(data[0])
    k = int(data[1])
    
    # Calculate the maximum number of ones possible
    max_ones = n * (n + 1) // 2
    
    if k > max_ones:
        print(-1)
        return
    
    # Initialize the matrix
    matrix = [[0] * n for _ in range(n)]
    
    # Fill the matrix to make it lexicographically maximal and symmetric
    for i in range(n):
        if k <= 0:
            break
        # First, try to fill the diagonal
        matrix[i][i] = 1
        k -= 1
        
        # Then, try to fill the off-diagonal pairs
        for j in range(i + 1, n):
            if k <= 0:
                break
            if k >= 2:
                matrix[i][j] = 1
                matrix[j][i] = 1
                k -= 2
            else:
                if k == 1:
                    matrix[i][j] = 1
                    k -= 1
    
    # Print the matrix
    for row in matrix:
        print(' '.join(map(str, row)))

if __name__ == ""__main__"":
    main()
",1,False,False,True,True,True,True,True,True,True,True,True,True,True,26_gpt-4o,0.5469641573522294,0.04682581911113701,0.5833333333333334
46,apps,gpt-4o,qwen2.5-72b-instruct,"You are given positive integer number n. You should create such strictly increasing sequence of k positive numbers a_1, a_2, ..., a_{k}, that their sum is equal to n and greatest common divisor is maximal.

Greatest common divisor of sequence is maximum of such numbers that every element of sequence is divisible by them.

If there is no possible sequence then output -1.


-----Input-----

The first line consists of two numbers n and k (1 ≤ n, k ≤ 10^10).


-----Output-----

If the answer exists then output k numbers — resulting sequence. Otherwise output -1. If there are multiple answers, print any of them.


-----Examples-----
Input
6 3

Output
1 2 3

Input
8 2

Output
2 6

Input
5 3

Output
-1","def find_sequence(n, k):
    min_sum = k * (k + 1) // 2  # Sum of the first k natural numbers
    
    if min_sum > n:
        return -1
    
    d = n // min_sum  # Maximum possible GCD
    remainder = n - d * min_sum
    
    sequence = [d * (i + 1) for i in range(k)]
    
    # Distribute the remainder to the sequence to make the sum equal to n
    for i in range(k-1, -1, -1):
        if remainder == 0:
            break
        sequence[i] += 1
        remainder -= 1
    
    return sequence

# Read input
n, k = map(int, input().split())

result = find_sequence(n, k)
if result == -1:
    print(-1)
else:
    print("" "".join(map(str, result)))
",1,False,False,True,True,True,True,True,False,True,True,True,False,False,46_gpt-4o,0.6111901214950333,0.11390812961746959,0.625
52,apps,gpt-4o,qwen2.5-72b-instruct,"В Берляндском государственном университете локальная сеть между серверами не всегда работает без ошибок. При передаче двух одинаковых сообщений подряд возможна ошибка, в результате которой эти два сообщения сливаются в одно. При таком слиянии конец первого сообщения совмещается с началом второго. Конечно, совмещение может происходить только по одинаковым символам. Длина совмещения должна быть положительным числом, меньшим длины текста сообщения. 

Например, при передаче двух сообщений «abrakadabra» подряд возможно, что оно будет передано с ошибкой описанного вида, и тогда будет получено сообщение вида «abrakadabrabrakadabra» или «abrakadabrakadabra» (в первом случае совмещение произошло по одному символу, а во втором — по четырем).

По полученному сообщению t определите, возможно ли, что это результат ошибки описанного вида работы локальной сети, и если возможно, определите возможное значение s. 

Не следует считать ошибкой ситуацию полного наложения друга на друга двух сообщений. К примеру, если получено сообщение «abcd», следует считать, что в нём ошибки нет. Аналогично, простое дописывание одного сообщения вслед за другим не является признаком ошибки. Например, если получено сообщение «abcabc», следует считать, что в нём ошибки нет.


-----Входные данные-----

В единственной строке выходных данных следует непустая строка t, состоящая из строчных букв латинского алфавита. Длина строки t не превосходит 100 символов.


-----Выходные данные-----

Если сообщение t не может содержать ошибки, выведите «NO» (без кавычек) в единственную строку выходных данных.

В противном случае в первой строке выведите «YES» (без кавычек), а в следующей строке выведите строку s — возможное сообщение, которое могло привести к ошибке. Если возможных ответов несколько, разрешается вывести любой из них.


-----Примеры-----
Входные данные
abrakadabrabrakadabra

Выходные данные
YES
abrakadabra

Входные данные
acacacaca

Выходные данные
YES
acaca

Входные данные
abcabc

Выходные данные
NO

Входные данные
abababab

Выходные данные
YES
ababab

Входные данные
tatbt

Выходные данные
NO



-----Примечание-----

Во втором примере подходящим ответом также является строка acacaca.","def find_possible_message(t):
    n = len(t)
    for i in range(1, n):
        if t[:i] == t[-i:]:
            s = t[:-i]
            if s + t[-i:] == t:
                return ""YES\n"" + s
    return ""NO""

# Read input
t = input().strip()

# Find and print the result
print(find_possible_message(t))
",1,False,False,False,False,True,True,True,True,True,True,True,False,True,52_gpt-4o,0.5006935756644613,0.0007177314243645242,0.5416666666666666
58,apps,gpt-4o,qwen2.5-72b-instruct,"After making bad dives into swimming pools, Wilbur wants to build a swimming pool in the shape of a rectangle in his backyard. He has set up coordinate axes, and he wants the sides of the rectangle to be parallel to them. Of course, the area of the rectangle must be positive. Wilbur had all four vertices of the planned pool written on a paper, until his friend came along and erased some of the vertices.

Now Wilbur is wondering, if the remaining n vertices of the initial rectangle give enough information to restore the area of the planned swimming pool.


-----Input-----

The first line of the input contains a single integer n (1 ≤ n ≤ 4) — the number of vertices that were not erased by Wilbur's friend.

Each of the following n lines contains two integers x_{i} and y_{i} ( - 1000 ≤ x_{i}, y_{i} ≤ 1000) —the coordinates of the i-th vertex that remains. Vertices are given in an arbitrary order.

It's guaranteed that these points are distinct vertices of some rectangle, that has positive area and which sides are parallel to the coordinate axes.


-----Output-----

Print the area of the initial rectangle if it could be uniquely determined by the points remaining. Otherwise, print  - 1. 


-----Examples-----
Input
2
0 0
1 1

Output
1

Input
1
1 1

Output
-1



-----Note-----

In the first sample, two opposite corners of the initial rectangle are given, and that gives enough information to say that the rectangle is actually a unit square.

In the second sample there is only one vertex left and this is definitely not enough to uniquely define the area.","def determine_area(n, vertices):
    if n == 1 or n == 3:
        return -1
    elif n == 2:
        x1, y1 = vertices[0]
        x2, y2 = vertices[1]
        return abs(x2 - x1) * abs(y2 - y1)
    else:  # n == 4
        x_coords = set()
        y_coords = set()
        for x, y in vertices:
            x_coords.add(x)
            y_coords.add(y)
        if len(x_coords) == 2 and len(y_coords) == 2:
            return abs(max(x_coords) - min(x_coords)) * abs(max(y_coords) - min(y_coords))
        else:
            return -1

if __name__ == ""__main__"":
    import sys
    input = sys.stdin.read
    data = input().split()
    n = int(data[0])
    vertices = []
    index = 1
    for i in range(n):
        x = int(data[index])
        y = int(data[index + 1])
        vertices.append((x, y))
        index += 2
    print(determine_area(n, vertices))
",1,False,False,False,True,False,True,True,False,False,False,True,True,True,58_gpt-4o,0.7410789028069037,0.27342515924667105,0.625
61,apps,gpt-4o,qwen2.5-72b-instruct,"A new airplane SuperPuperJet has an infinite number of rows, numbered with positive integers starting with 1 from cockpit to tail. There are six seats in each row, denoted with letters from 'a' to 'f'. Seats 'a', 'b' and 'c' are located to the left of an aisle (if one looks in the direction of the cockpit), while seats 'd', 'e' and 'f' are located to the right. Seats 'a' and 'f' are located near the windows, while seats 'c' and 'd' are located near the aisle.  [Image] 

 

It's lunch time and two flight attendants have just started to serve food. They move from the first rows to the tail, always maintaining a distance of two rows from each other because of the food trolley. Thus, at the beginning the first attendant serves row 1 while the second attendant serves row 3. When both rows are done they move one row forward: the first attendant serves row 2 while the second attendant serves row 4. Then they move three rows forward and the first attendant serves row 5 while the second attendant serves row 7. Then they move one row forward again and so on.

Flight attendants work with the same speed: it takes exactly 1 second to serve one passenger and 1 second to move one row forward. Each attendant first serves the passengers on the seats to the right of the aisle and then serves passengers on the seats to the left of the aisle (if one looks in the direction of the cockpit). Moreover, they always serve passengers in order from the window to the aisle. Thus, the first passenger to receive food in each row is located in seat 'f', and the last one — in seat 'c'. Assume that all seats are occupied.

Vasya has seat s in row n and wants to know how many seconds will pass before he gets his lunch.


-----Input-----

The only line of input contains a description of Vasya's seat in the format ns, where n (1 ≤ n ≤ 10^18) is the index of the row and s is the seat in this row, denoted as letter from 'a' to 'f'. The index of the row and the seat are not separated by a space.


-----Output-----

Print one integer — the number of seconds Vasya has to wait until he gets his lunch.


-----Examples-----
Input
1f

Output
1

Input
2d

Output
10

Input
4a

Output
11

Input
5e

Output
18



-----Note-----

In the first sample, the first flight attendant serves Vasya first, so Vasya gets his lunch after 1 second.

In the second sample, the flight attendants will spend 6 seconds to serve everyone in the rows 1 and 3, then they will move one row forward in 1 second. As they first serve seats located to the right of the aisle in order from window to aisle, Vasya has to wait 3 more seconds. The total is 6 + 1 + 3 = 10.","s = input().strip()
n = int(s[:-1])
seat = s[-1]

# Determine the base time for the row
group = (n - 1) // 4
base_time = group * 8 * 3  # Each group of 4 rows takes 24 seconds (8 per row)

# Determine the extra time within the group
row_position_in_group = (n - 1) % 4
if row_position_in_group == 0 or row_position_in_group == 2:
    base_time += 0  # for rows 1 and 3 in their respective 4-row groups
elif row_position_in_group == 1 or row_position_in_group == 3:
    base_time += 7  # for rows 2 and 4 in their respective 4-row groups

# Determine the time based on the seat position
seat_time = {
    'f': 0,
    'e': 1,
    'd': 2,
    'c': 3,
    'b': 4,
    'a': 5
}[seat]

# Total time is base time plus seat time plus 1 second to start serving
total_time = base_time + seat_time + 1

print(total_time)
",1,False,False,True,True,True,True,True,False,True,False,True,True,True,61_gpt-4o,0.7831507195480284,0.337262662994461,0.7083333333333334
74,apps,gpt-4o,qwen2.5-72b-instruct,"Mister B once received a gift: it was a book about aliens, which he started read immediately. This book had c pages.

At first day Mister B read v_0 pages, but after that he started to speed up. Every day, starting from the second, he read a pages more than on the previous day (at first day he read v_0 pages, at second — v_0 + a pages, at third — v_0 + 2a pages, and so on). But Mister B is just a human, so he physically wasn't able to read more than v_1 pages per day.

Also, to refresh his memory, every day, starting from the second, Mister B had to reread last l pages he read on the previous day. Mister B finished the book when he read the last page for the first time.

Help Mister B to calculate how many days he needed to finish the book.


-----Input-----

First and only line contains five space-separated integers: c, v_0, v_1, a and l (1 ≤ c ≤ 1000, 0 ≤ l < v_0 ≤ v_1 ≤ 1000, 0 ≤ a ≤ 1000) — the length of the book in pages, the initial reading speed, the maximum reading speed, the acceleration in reading speed and the number of pages for rereading.


-----Output-----

Print one integer — the number of days Mister B needed to finish the book.


-----Examples-----
Input
5 5 10 5 4

Output
1

Input
12 4 12 4 1

Output
3

Input
15 1 100 0 0

Output
15



-----Note-----

In the first sample test the book contains 5 pages, so Mister B read it right at the first day.

In the second sample test at first day Mister B read pages number 1 - 4, at second day — 4 - 11, at third day — 11 - 12 and finished the book.

In third sample test every day Mister B read 1 page of the book, so he finished in 15 days.","def main():
    # Reading input values
    c, v_0, v_1, a, l = map(int, input().split())
    
    days = 0
    pages_read = 0
    current_speed = v_0
    
    while pages_read < c:
        days += 1
        if days == 1:
            # First day reading
            pages_read += v_0
        else:
            # Subsequent days reading: considering reread pages
            pages_read += min(current_speed, v_1) - l
            current_speed += a
        
        # Ensure the reading speed does not exceed v_1
        current_speed = min(current_speed, v_1)
        
        # If the reread pages are more than the pages read, reset the pages_read to zero
        if pages_read < 0:
            pages_read = 0
    
    print(days)

if __name__ == ""__main__"":
    main()
",1,False,False,False,True,True,True,True,False,False,False,True,True,True,74_gpt-4o,0.6086460619091338,0.10966969129897748,0.6666666666666666
87,apps,gpt-4o,qwen2.5-72b-instruct,"Polycarp and Vasiliy love simple logical games. Today they play a game with infinite chessboard and one pawn for each player. Polycarp and Vasiliy move in turns, Polycarp starts. In each turn Polycarp can move his pawn from cell (x, y) to (x - 1, y) or (x, y - 1). Vasiliy can move his pawn from (x, y) to one of cells: (x - 1, y), (x - 1, y - 1) and (x, y - 1). Both players are also allowed to skip move. 

There are some additional restrictions — a player is forbidden to move his pawn to a cell with negative x-coordinate or y-coordinate or to the cell containing opponent's pawn The winner is the first person to reach cell (0, 0). 

You are given the starting coordinates of both pawns. Determine who will win if both of them play optimally well.


-----Input-----

The first line contains four integers: x_{p}, y_{p}, x_{v}, y_{v} (0 ≤ x_{p}, y_{p}, x_{v}, y_{v} ≤ 10^5) — Polycarp's and Vasiliy's starting coordinates.

It is guaranteed that in the beginning the pawns are in different cells and none of them is in the cell (0, 0).


-----Output-----

Output the name of the winner: ""Polycarp"" or ""Vasiliy"".


-----Examples-----
Input
2 1 2 2

Output
Polycarp

Input
4 7 7 4

Output
Vasiliy



-----Note-----

In the first sample test Polycarp starts in (2, 1) and will move to (1, 1) in the first turn. No matter what his opponent is doing, in the second turn Polycarp can move to (1, 0) and finally to (0, 0) in the third turn.","# Read input from standard input
x_p, y_p, x_v, y_v = map(int, input().split())

# Calculate the maximum distances to (0, 0) for both players
polycarp_distance = max(x_p, y_p)
vasiliy_distance = max(x_v, y_v)

# Determine the winner based on the distances
if polycarp_distance <= vasiliy_distance:
    print(""Polycarp"")
else:
    print(""Vasiliy"")
",1,False,False,False,True,True,True,False,False,False,False,True,True,True,87_gpt-4o,0.7459503183577106,0.29691690855181074,0.7083333333333334
104,apps,gpt-4o,qwen2.5-72b-instruct,"JATC and his friend Giraffe are currently in their room, solving some problems. Giraffe has written on the board an array $a_1$, $a_2$, ..., $a_n$ of integers, such that $1 \le a_1 < a_2 < \ldots < a_n \le 10^3$, and then went to the bathroom.

JATC decided to prank his friend by erasing some consecutive elements in the array. Since he doesn't want for the prank to go too far, he will only erase in a way, such that Giraffe can still restore the array using the information from the remaining elements. Because Giraffe has created the array, he's also aware that it's an increasing array and all the elements are integers in the range $[1, 10^3]$.

JATC wonders what is the greatest number of elements he can erase?


-----Input-----

The first line of the input contains a single integer $n$ ($1 \le n \le 100$) — the number of elements in the array.

The second line of the input contains $n$ integers $a_i$ ($1 \le a_1<a_2<\dots<a_n \le 10^3$) — the array written by Giraffe.


-----Output-----

Print a single integer — the maximum number of consecutive elements in the array that JATC can erase.

If it is impossible to erase even a single element, print $0$.


-----Examples-----
Input
6
1 3 4 5 6 9

Output
2
Input
3
998 999 1000

Output
2
Input
5
1 2 3 4 5

Output
4


-----Note-----

In the first example, JATC can erase the third and fourth elements, leaving the array $[1, 3, \_, \_, 6, 9]$. As you can see, there is only one way to fill in the blanks.

In the second example, JATC can erase the second and the third elements. The array will become $[998, \_, \_]$. Because all the elements are less than or equal to $1000$, the array is still can be restored. Note, that he can't erase the first $2$ elements.

In the third example, JATC can erase the first $4$ elements. Since all the elements are greater than or equal to $1$, Giraffe can still restore the array. Note, that he can't erase the last $4$ elements.","n = int(input())
a = list(map(int, input().split()))

max_erase = 0

for i in range(1, n):
    max_erase = max(max_erase, a[i] - a[i-1] - 1)

print(max_erase)
",1,False,False,False,False,False,True,True,False,False,False,False,False,False,104_gpt-4o,0.510436793930964,0.010849090235450031,0.5416666666666666
107,apps,gpt-4o,qwen2.5-72b-instruct,"Есть n-подъездный дом, в каждом подъезде по m этажей, и на каждом этаже каждого подъезда ровно k квартир. Таким образом, в доме всего n·m·k квартир. Они пронумерованы естественным образом от 1 до n·m·k, то есть первая квартира на первом этаже в первом подъезде имеет номер 1, первая квартира на втором этаже первого подъезда имеет номер k + 1 и так далее. Особенность этого дома состоит в том, что он круглый. То есть если обходить его по часовой стрелке, то после подъезда номер 1 следует подъезд номер 2, затем подъезд номер 3 и так далее до подъезда номер n. После подъезда номер n снова идёт подъезд номер 1.

Эдвард живёт в квартире номер a, а Наташа — в квартире номер b. Переход на 1 этаж вверх или вниз по лестнице занимает 5 секунд, переход от двери подъезда к двери соседнего подъезда — 15 секунд, а переход в пределах одного этажа одного подъезда происходит мгновенно. Также в каждом подъезде дома есть лифт. Он устроен следующим образом: он всегда приезжает ровно через 10 секунд после вызова, а чтобы переместить пассажира на один этаж вверх или вниз, лифт тратит ровно 1 секунду. Посадка и высадка происходят мгновенно.

Помогите Эдварду найти минимальное время, за которое он сможет добраться до квартиры Наташи. Считайте, что Эдвард может выйти из подъезда только с первого этажа соответствующего подъезда (это происходит мгновенно). Если Эдвард стоит перед дверью какого-то подъезда, он может зайти в него и сразу окажется на первом этаже этого подъезда (это также происходит мгновенно). Эдвард может выбирать, в каком направлении идти вокруг дома.


-----Входные данные-----

В первой строке входных данных следуют три числа n, m, k (1 ≤ n, m, k ≤ 1000) — количество подъездов в доме, количество этажей в каждом подъезде и количество квартир на каждом этаже каждого подъезда соответственно.

Во второй строке входных данных записаны два числа a и b (1 ≤ a, b ≤ n·m·k) — номера квартир, в которых живут Эдвард и Наташа, соответственно. Гарантируется, что эти номера различны. 


-----Выходные данные-----

Выведите единственное целое число — минимальное время (в секундах), за которое Эдвард сможет добраться от своей квартиры до квартиры Наташи.


-----Примеры-----
Входные данные
4 10 5
200 6

Выходные данные
39

Входные данные
3 1 5
7 2

Выходные данные
15



-----Примечание-----

В первом тестовом примере Эдвард находится в 4 подъезде на 10 этаже, а Наташа находится в 1 подъезде на 2 этаже. Поэтому Эдварду выгодно сначала спуститься на лифте на первый этаж (на это он потратит 19 секунд, из которых 10 — на ожидание и 9 — на поездку на лифте), затем обойти дом против часовой стрелки до подъезда номер 1 (на это он потратит 15 секунд), и наконец подняться по лестнице на этаж номер 2 (на это он потратит 5 секунд). Таким образом, ответ равен 19 + 15 + 5 = 39.

Во втором тестовом примере Эдвард живёт в подъезде 2 на этаже 1, а Наташа находится в подъезде 1 на этаже 1. Поэтому Эдварду выгодно просто обойти дом по часовой стрелке до подъезда 1, на это он потратит 15 секунд.","# Function to calculate minimum time for Edward to reach Natasha's apartment
def min_time_to_reach(n, m, k, a, b):
    # Calculating block, floor, and apartment within floor for both apartments
    def get_location(apartment):
        block = (apartment - 1) // (m * k) + 1
        floor_within_block = (apartment - 1) % (m * k)
        floor = floor_within_block // k + 1
        return block, floor

    block_a, floor_a = get_location(a)
    block_b, floor_b = get_location(b)
    
    # Time to get from floor_a to floor 1 using the elevator
    if floor_a == 1:
        time_to_exit = 0
    else:
        time_to_exit = 10 + (floor_a - 1)
    
    # Time to walk between the blocks
    direct_walk_time = (abs(block_a - block_b) % n) * 15
    reverse_walk_time = (n - abs(block_a - block_b)) % n * 15
    min_walk_time = min(direct_walk_time, reverse_walk_time)

    # Time to go from floor 1 in block_b to floor_b
    time_to_target_floor = (floor_b - 1) * 5
    
    # Total time
    total_time = time_to_exit + min_walk_time + time_to_target_floor
    return total_time

# Reading input
n, m, k = map(int, input().split())
a, b = map(int, input().split())

# Computing the result
result = min_time_to_reach(n, m, k, a, b)

# Printing the result
print(result)
",1,False,False,False,True,True,True,True,False,False,True,True,True,True,107_gpt-4o,0.6832721319784281,0.23351430119203453,0.6666666666666666
