Task ID,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify
325,codeforces2024,human,qwen2.5-7b-instruct,"This is the easy version of the problem. The only difference between the two
versions is the constraint on t and n . You can make hacks only if both
versions of the problem are solved.

For a binary^\dagger pattern p and a binary string q , both of length m , q is
called p -good if for every i (1 \leq i \leq m ), there exist indices l and r
such that:

  * 1 \leq l \leq i \leq r \leq m , and 
  * p_i is a mode^\ddagger of the string q_l q_{l+1} \ldots q_{r} . 

For a pattern p , let f(p) be the minimum possible number of \mathtt{1} s in a
p -good binary string (of the same length as the pattern).

You are given a binary string s of size n . Find

In other words, you need to sum the values of f over all \frac{n(n+1)}{2}
substrings of s .

^\dagger A binary pattern is a string that only consists of characters
\mathtt{0} and \mathtt{1} .

^\ddagger Character c is a mode of string t of length m if the number of
occurrences of c in t is at least \lceil \frac{m}{2} \rceil . For example,
\mathtt{0} is a mode of \mathtt{010} , \mathtt{1} is not a mode of
\mathtt{010} , and both \mathtt{0} and \mathtt{1} are modes of \mathtt{011010}
.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 500 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (1 \le n \le 100
) — the length of the binary string s .

The second line of each test case contains a binary string s of length n
consisting of only characters \mathtt{0} and \mathtt{1} .

It is guaranteed that the sum of n^2 over all test cases does not exceed 10^4
.

Output

For each test case, output the sum of values of f over all substrings of s .

Example

Input

    4
    
    1
    
    1
    
    2
    
    10
    
    5
    
    00000
    
    20
    
    11110110000000111111

Output

    1
    2
    0
    346
    
Note

In the first test case, the only \mathtt{1} -good string is \mathtt{1} . Thus,
f(\mathtt{1})=1 .

In the second test case, f(\mathtt{10})=1 because \mathtt{01} is \mathtt{10}
-good, and \mathtt{00} is not \mathtt{10} -good. Thus, the answer is
f(\mathtt{1})+f(\mathtt{10})+f(\mathtt{0}) = 1 + 1 + 0 = 2 .

In the third test case, f equals to 0 for all 1 \leq i \leq j \leq 5 . Thus,
the answer is 0 .","import sys
from decimal import Decimal, getcontext

# Set the precision for Decimal operations
getcontext().prec = 15

def solve():
    # Read the number of test cases
    num_cases = int(input().strip())
    
    # Process each test case
    for _ in range(num_cases):
        # Read the length of the binary string
        length = int(input().strip())
        # Read the binary string
        input_string = input().strip()
        
        # Initialize a DP array with extra space to avoid index errors
        dp = [0] * (length + 10)
        # Initialize the result for the current test case
        result = 0
        
        # Iterate over the string from the end to the beginning
        for i in range(length - 1, -1, -1):
            if input_string[i] == '1':
                # If the character is '1', calculate its contribution
                dp[i] = length - i + dp[i + 3]
            elif input_string[i] == '0':
                # If the character is '0', carry forward the previous DP value
                dp[i] = dp[i + 1]
        
        # Sum up all values in the DP array to get the result
        for i in dp:
            result += i
        
        # Print the result for the current test case
        print(Decimal(result))

if __name__ == ""__main__"":
    solve()",2,True,False,False,False,False,True,True,False,False,False,False,True,False
326,codeforces2024,human,qwen2.5-7b-instruct,"There are 2n positive integers written on a whiteboard. Being bored, you
decided to play a one-player game with the numbers on the whiteboard.

You start with a score of 0 . You will increase your score by performing the
following move exactly n times:

  * Choose two integers x and y that are written on the whiteboard. 
  * Add \min(x,y) to your score. 
  * Erase x and y from the whiteboard. 

Note that after performing the move n times, there will be no more integers
written on the whiteboard.

Find the maximum final score you can achieve if you optimally perform the n
moves.

Input

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 5000 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (1 \leq n \leq 50
) — the number of integers written on the whiteboard is 2n .

The second line of each test case contains 2n integers a_1,a_2,\ldots,a_{2n}
(1 \leq a_i \leq 10^7 ) — the numbers written on the whiteboard.

Output

For each test case, output the maximum final score that you can achieve.

Example

Input

    3
    
    1
    
    2 3
    
    2
    
    1 1 2 1
    
    3
    
    1 1 1 1 1 1

Output

    2
    2
    3
    
Note

In the first test case, you can only make one move. You select x=2 and y=3 ,
and your score will be \min(x,y)=2 .

In the second test case, the following is a sequence of moves that achieves a
final score of 2 :

  * In the first move, select x=1 and y=1 . Then, add \min(x,y)=1 to the score. After erasing x and y , the integers left on the whiteboard are 1 and 2 . 
  * In the second move, select x=1 and y=2 . Then, add \min(x,y)=1 to the score. After removing x and y , no more integers will be left on the whiteboard. 

It can be proved that it is not possible to get a score greater than 2 .

In the third test case, you will perform the move thrice, adding 1 to the
score each time.","for _ in range(int(input())):
	n = int(input())
	l = sorted(list(map(int, input().split())))
	score = 0
	for i in range(0,2*n,2):
		score+=l[i]

	print(score)",2,True,False,True,True,True,True,True,False,True,True,False,True,True
155,codeforces2024,human,qwen2.5-7b-instruct,"[Rammstein - Ausländer](https://youtu.be/3eEA6H_y1VI)

ඞ

There are m baskets placed along a circle, numbered from 1 to m in clockwise
order (basket m is next to basket 1 ). Furthermore, there are n balls, where
ball i is initially placed in basket a_i , and no basket contains more than
one ball.

Alice is allowed to perform the following operation, which always takes
exactly one second whether you move/throw a ball or not:

  * Alice chooses an integer i between 1 and n uniformly at random. 
  * If ball i was thrown away before, do nothing. 
  * Otherwise, ball i is moved from the basket currently containing it to the next basket (in clockwise order). If the target basket currently contains another ball j , throw ball j away. 

She repeats this operation until there is exactly one ball left. Calculate the
expected time needed (in seconds) for Alice to end the process.

It can be proven that the answer can be represented as a rational number
\frac{p}{q} with coprime p and q . You need to output p \cdot q^{-1} \bmod
10^9 + 7 . It can be proven that 10^9 + 7 \nmid q .

Input

Each test contains multiple test cases. The first line contains an integer t
(1 \le t \le 10^4 ) — the number of test cases. The description of the test
cases follows.

The first line of each test case contains two integers n and m (1 \le n \le 3
\cdot 10^5, n \le m \le 10^9 ) — the number of balls and the number of
baskets.

The second line of each test case contains n integers a_1, a_2, \ldots, a_n (1
\le a_i \le m , a_i 's are pairwise distinct) — the initial position of each
ball.

It is guaranteed that the sum of n over all test cases does not exceed 3 \cdot
10^5 .

Output

For each test case, print one integer: the expected amount of time (in
seconds) Alice needs to end the process, modulo 10^9 + 7 .

Example

Input

    5
    
    3 10
    
    5 1 4
    
    2 15
    
    15 1
    
    6 6
    
    1 2 3 4 5 6
    
    6 9
    
    6 5 4 3 2 1
    
    1 100
    
    69

Output

    600000042
    14
    35
    333333409
    0
    
Note

In the first test case, Alice could have proceeded as follows (we define a_i =
-1 if ball i has been thrown out):

  * Initially, a = [5, 1, 4] . 
  * Alice chooses i = 2 with probability \frac{1}{3} , and ball 2 is moved to basket 2 . After this, a = [5, 2, 4] . 
  * Alice chooses i = 2 with probability \frac{1}{3} , and ball 2 is moved to basket 3 . After this, a = [5, 3, 4] . 
  * Alice chooses i = 2 with probability \frac{1}{3} , and ball 2 is moved to basket 4 . As basket 4 previously contains ball 3 , this ball is thrown out. After this, a = [5, 4, -1] . 
  * Alice chooses i = 3 with probability \frac{1}{3} . Ball 3 has already been thrown out, so nothing happens. After this, a = [5, 4, -1] . 
  * Alice chooses i = 2 with probability \frac{1}{3} , and ball 2 is moved to basket 5 , which throws out ball 1 . After this, a = [-1, 5, -1] , and the process ends. 

The answer for this test case is \frac{189}{5} .

The answer for the second test case is 14 (note that these two balls are next
to each other).

The answer for the third test case is 35 .

The answer for the fourth test case is \frac{220}{3} .

In the fifth test case, as there is only one ball initially, the answer is 0 .","from bisect import bisect_left

# Function to read input values
def read_input():
    return map(int, input().split())

# Function to calculate the modular inverse using Fermat's Little Theorem
def mod_inverse(x, mod):
    return pow(x, mod - 2, mod)

# Read the number of test cases
t, = read_input()

# Iterate over each test case
for _ in range(t):
    # Read the number of balls and baskets
    n, m = read_input()
    
    # Read the initial positions of the balls
    a = list(read_input())
    
    # Sort the positions of the balls
    a.sort()
    
    # Calculate the distances between consecutive balls
    distances = [a[i + 1] - a[i] for i in range(n - 1)]
    
    # Append the distance from the last ball to the first ball in the circle
    distances.append(m - a[-1] + a[0])
    
    # Sort the distances
    distances.sort()
    
    # Initialize the expected time
    expected_time = 0
    
    # Calculate the expected time using the given formula
    for i in range(n):
        expected_time += (distances[i] * (i + 1) * (n - i)) % 1000000007
    
    # Multiply by 2 and adjust for modular arithmetic
    expected_time = (expected_time * 2) % 1000000007
    
    # Calculate the modular inverse of the total number of combinations
    inverse_combinations = mod_inverse(n * (n + 1) // 2, 1000000007)
    
    # Final result is the expected time multiplied by the inverse of combinations
    result = (expected_time * inverse_combinations) % 1000000007
    
    # Output the result for the current test case
    print(result)",2,False,False,False,False,False,True,True,True,False,False,False,False,True
117,codeforces2024,human,qwen2.5-7b-instruct,"You have a horizontal strip of n cells. Each cell is either white or black.

You can choose a continuous segment of cells once and paint them all white.
After this action, all the black cells in this segment will become white, and
the white ones will remain white.

What is the minimum length of the segment that needs to be painted white in
order for all n cells to become white?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. The descriptions of the test cases follow.

The first line of each test case contains a single integer n (1 \le n \le 10 )
— the length of the strip.

The second line of each test case contains a string s , consisting of n
characters, each of which is either 'W' or 'B'. The symbol 'W' denotes a white
cell, and 'B' — a black one. It is guaranteed that at least one cell of the
given strip is black.

Output

For each test case, output a single number — the minimum length of a
continuous segment of cells that needs to be painted white in order for the
entire strip to become white.

Example

Input

    8
    
    6
    
    WBBWBW
    
    1
    
    B
    
    2
    
    WB
    
    3
    
    BBW
    
    4
    
    BWWB
    
    6
    
    BWBWWB
    
    6
    
    WWBBWB
    
    9
    
    WBWBWWWBW

Output

    4
    1
    1
    2
    4
    6
    4
    7
    
Note

In the first test case of the example for the strip ""WBBWBW"", the minimum
length of the segment to be repainted white is 4 . It is necessary to repaint
to white the segment from the 2 -nd to the 5 -th cell (the cells are numbered
from 1 from left to right).","def min_segment_length(n, s):
    first_black = -1
    last_black = -1
    for i in range(n):
        if s[i] == 'B':
            if first_black == -1:
                first_black = i
            last_black = i
    return last_black - first_black + 1
 
def main():
    t = int(input())
    results = []
    for _ in range(t):
        n = int(input())
        s = input().strip()
        results.append(min_segment_length(n, s))
    for result in results:
        print(result)
 
if __name__ == ""__main__"":
    main()",2,True,True,True,True,True,True,True,True,False,True,False,True,False
227,codeforces2024,human,qwen2.5-7b-instruct,"You are given two integers x and y .

Output two integers: the minimum of x and y , followed by the maximum of x and
y .

Input

The first line contains a single integer t (1 \leq t \leq 100 ) — the number
of test cases.

The only line of each test case contains two space-separated integers x and y
(0 \leq x, y \leq 9 ).

Output

For each test case, output two integers: the minimum of x and y , followed by
the maximum of x and y .

Example

Input

    10
    
    1 9
    
    8 4
    
    1 4
    
    3 4
    
    2 0
    
    2 4
    
    6 9
    
    3 3
    
    0 0
    
    9 9

Output

    1 9
    4 8
    1 4
    3 4
    0 2
    2 4
    6 9
    3 3
    0 0
    9 9","def min(a,b):
    if a<b:
        return (a,b)
    elif a>b:
        return (b,a)
    

t = int(input())

for i in range (t):
    a,b = map(int,input().split())
    print(min(a,b))",2,False,True,False,True,True,True,True,False,True,True,True,True,False
234,codeforces2024,human,qwen2.5-7b-instruct,"Initially, we had one array, which was a permutation of size n (an array of
size n where each integer from 1 to n appears exactly once).

We performed q operations. During the i -th operation, we did the following:

  * choose any array we have with at least 2 elements; 
  * split it into two non-empty arrays (prefix and suffix); 
  * write two integers l_i and r_i , where l_i is the maximum element in the left part which we get after the split, and r_i is the maximum element in the right part; 
  * remove the array we've chosen from the pool of arrays we can use, and add the two resulting parts into the pool. 

For example, suppose the initial array was [6, 3, 4, 1, 2, 5] , and we
performed the following operations:

  1. choose the array [6, 3, 4, 1, 2, 5] and split it into [6, 3] and [4, 1, 2, 5] . Then we write l_1 = 6 and r_1 = 5 , and the arrays we have are [6, 3] and [4, 1, 2, 5] ; 
  2. choose the array [4, 1, 2, 5] and split it into [4, 1, 2] and [5] . Then we write l_2 = 4 and r_2 = 5 , and the arrays we have are [6, 3] , [4, 1, 2] and [5] ; 
  3. choose the array [4, 1, 2] and split it into [4] and [1, 2] . Then we write l_3 = 4 and r_3 = 2 , and the arrays we have are [6, 3] , [4] , [1, 2] and [5] . 

You are given two integers n and q , and two sequences [l_1, l_2, \dots, l_q]
and [r_1, r_2, \dots, r_q] . A permutation of size n is called valid if we can
perform q operations and produce the given sequences [l_1, l_2, \dots, l_q]
and [r_1, r_2, \dots, r_q] .

Calculate the number of valid permutations.

Input

The first line contains two integers n and q (1 \le q < n \le 3 \cdot 10^5 ).

The second line contains q integers l_1, l_2, \dots, l_q (1 \le l_i \le n ).

The third line contains q integers r_1, r_2, \dots, r_q (1 \le r_i \le n ).

Additional constraint on the input: there exists at least one permutation
which can produce the given sequences [l_1, l_2, \dots, l_q] and [r_1, r_2,
\dots, r_q] .

Output

Print one integer — the number of valid permutations, taken modulo 998244353 .

Examples

Input

    6 3
    
    6 4 4
    
    5 5 2

Output

    30
    
Input

    10 1
    
    10
    
    9

Output

    1814400
    
Input

    4 1
    
    2
    
    4

Output

    8","from typing import List

MOD = int(1e9) + 7

def solve(n: int, q: int, l: List[int], r: List[int]) -> int:
    dp = [[0]*(n+1) for _ in range(q+1)]
    dp[0][0] = 1
    cnt = [0]*(n+1)
    
    for i in range(1, q+1):
        for j in range(1, n+1):
            dp[i][j] = dp[i-1][j]
            if j > l[i-1]:
                dp[i][j] -= cnt[j-l[i-1]]
            dp[i][j] += dp[i][j-1]
            dp[i][j] %= MOD
            cnt[j] = (cnt[j-1]+dp[i][j])%MOD
            
    ans = 0
    for j in range(1, n+1):
        if j <= r[-1]:
            ans = (ans+dp[q][j])%MOD
    return ans

# Test cases
print(solve(6, 3, [6, 4, 4], [5, 5, 2])) # Expected output: 30
print(solve(10, 1, [10], [9])) # Expected output: 1814400
print(solve(4, 1, [2], [4])) # Expected output: 8",2,False,False,False,True,False,True,True,False,False,True,True,True,True
27,codeforces2024,human,qwen2.5-7b-instruct,"You have some cards. An integer between 1 and n is written on each card:
specifically, for each i from 1 to n , you have a_i cards which have the
number i written on them.

There is also a shop which contains unlimited cards of each type. You have k
coins, so you can buy k new cards in total, and the cards you buy can contain
any integer between 1 and n .

After buying the new cards, you rearrange all your cards in a line. The score
of a rearrangement is the number of (contiguous) subarrays of length n which
are a permutation of [1, 2, \ldots, n] . What's the maximum score you can get?

Input

Each test contains multiple test cases. The first line contains the number of
test cases t\ (1\le t\le 100) . The description of the test cases follows.

The first line of each test case contains two integers n , k (1\le n \le 2
\cdot 10^5 , 0\le k \le 10^{12} ) — the number of distinct types of cards and
the number of coins.

The second line of each test case contains n integers a_1, a_2, \ldots, a_n (1
\le a_i \le 10^{12} ) — the number of cards of type i you have at the
beginning.

It is guaranteed that the sum of n over all test cases does not exceed 5 \cdot
10^5 .

Output

For each test case, output a single line containing an integer: the maximum
score you can get.

Example

Input

    8
    
    1 10
    
    1
    
    2 4
    
    8 4
    
    3 4
    
    6 1 8
    
    3 9
    
    7 6 2
    
    5 3
    
    6 6 7 4 6
    
    9 7
    
    7 6 1 7 6 2 4 3 3
    
    10 10
    
    1 3 1 2 1 9 3 5 7 5
    
    9 8
    
    5 8 7 5 1 3 2 9 8

Output

    11
    15
    15
    22
    28
    32
    28
    36
    
Note

In the first test case, the final (and only) array we can get is [1, 1, 1, 1,
1, 1, 1, 1, 1, 1, 1] (including 11 single 1 s), which contains 11 subarrays
consisting of a permutation of [1] .

In the second test case, we can buy 0 cards of type 1 and 4 cards of type 2 ,
and then we rearrange the cards as following: [1, 2, 1, 2, 1, 2, 1, 2, 1, 2,
1, 2, 1, 2, 1, 2] . There are 8 subarrays equal to [1, 2] and 7 subarrays
equal to [2, 1] , which make a total of 15 subarrays which are a permutation
of [1, 2] . It can also be proved that this is the maximum score we can get.

In the third test case, one of the possible optimal rearrangements is [3, 3,
1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 2, 3, 1, 3] .","t = int(input())
outs = []


for tt in range(t):
    n, k = map(int, input().split())
    a = list(map(int, input().split()))
    
    a.sort()
    min_, min_idx = a[0], 0
    
    for i in range(1, n):
        trg = i*(a[i]-min_)
        if k>=trg:
            k-=trg
            min_ = a[i]
            min_idx = i
        else:
            min_ += k//i
            min_idx = i-1
            k = k%i
            break
        
    if min_idx==n-1 and k>0:
        min_ += k//n
        k = k%n
        
    tot = min_ + (min_-1)*(n-1) + (n-1-min_idx) + k
        
    outs.append(tot)


for out in outs:
    print(out)",2,True,False,False,True,False,True,True,False,False,True,False,True,True
313,codeforces2024,human,qwen2.5-7b-instruct,"n ships set out to explore the depths of the ocean. The ships are numbered
from 1 to n and follow each other in ascending order; the i -th ship has a
durability of a_i .

The Kraken attacked the ships k times in a specific order. First, it attacks
the first of the ships, then the last, then the first again, and so on.

Each attack by the Kraken reduces the durability of the ship by 1 . When the
durability of the ship drops to 0 , it sinks and is no longer subjected to
attacks (thus the ship ceases to be the first or last, and the Kraken only
attacks the ships that have not yet sunk). If all the ships have sunk, the
Kraken has nothing to attack and it swims away.

For example, if n=4 , k=5 , and a=[1, 2, 4, 3] , the following will happen:

  1. The Kraken attacks the first ship, its durability becomes zero and now a = [2, 4, 3] ; 
  2. The Kraken attacks the last ship, now a = [2, 4, 2] ; 
  3. The Kraken attacks the first ship, now a = [1, 4, 2] ; 
  4. The Kraken attacks the last ship, now a = [1, 4, 1] ; 
  5. The Kraken attacks the first ship, its durability becomes zero and now a = [4, 1] . 

How many ships were sunk after the Kraken's attack?

Input

The first line contains an integer t (1 \le t \le 10^4 ) — the number of test
cases.

The first line of each test case contains two integers n and k (1 \le n \le 2
\cdot 10^5 , 1 \le k \le 10^{15} ) — the number of ships and how many times
the Kraken will attack the ships.

The second line of each test case contains n integers a_1, a_2, \dots, a_n (1
\le a_i \le 10^9 ) — the durability of the ships.

It is guaranteed that the sum of n for all test cases does not exceed 2 \cdot
10^5 .

Output

For each test case, output the number of ships sunk by the Kraken on a
separate line.

Example

Input

    6
    
    4 5
    
    1 2 4 3
    
    4 6
    
    1 2 4 3
    
    5 20
    
    2 7 1 8 2
    
    2 2
    
    3 2
    
    2 15
    
    1 5
    
    2 7
    
    5 2

Output

    2
    3
    5
    0
    2
    2","t = int(input()); from collections import deque;
for _ in range (t):
    n, k = map(int, input().split())
    lit = deque(list((map(int, input().split()))));
    lastState = -1; sunk = 0;
    while True:
        if len(lit) == 0 or k <= 0:
            break;
        if lastState == -1:
            lastState = 0;
        else:
            lastState = -1;
        u = lit[lastState];
        if u <= k:
            sunk += 1;
            if lastState == -1:
                lit.pop();
            else:
                lit.popleft();
        k -= u;
    print (sunk);",2,False,False,False,True,True,True,True,True,False,False,False,False,False
202,codeforces2024,human,qwen2.5-7b-instruct,"You have a strip of paper with a binary string s of length n . You can fold
the paper in between any pair of adjacent digits.

A set of folds is considered valid if after the folds, all characters that are
on top of or below each other match. Note that all folds are made at the same
time, so the characters don't have to match in between folds.

For example, these are valid foldings of s = \mathtt{110110110011} and s =
\mathtt{01110} :

![](https://espresso.codeforces.com/a961dc7cc221603a7d5a488247ba5439ce7444da.png)

The length of the folded strip is the length seen from above after all folds
are made. So for the two above examples, after the folds shown above, the
lengths would be 7 and 3 , respectively.

Notice that for the above folding of s = \mathtt{01110} , if we made either of
the two folds on their own, that would not be a valid folding. However,
because we don't check for validity until all folds are made, this folding is
valid.

After performing a set of valid folds, what is the minimum length strip you
can form?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. The description of the test cases follows.

The first line of each test case contains a single integer n (1 \le n \le
2\cdot 10^5 ) — the size of the strip.

The second line of each test case contains a string s of n characters '0' and
'1' — a description of the digits on the strip.

It is guaranteed that the sum of n over all test cases does not exceed 2\cdot
10^5 .

Output

For each test case, output a single integer — the minimum possible length of
the strip after a valid folding.

Example

Input

    6
    
    6
    
    101101
    
    1
    
    0
    
    12
    
    110110110011
    
    5
    
    01110
    
    4
    
    1111
    
    2
    
    01

Output

    3
    1
    3
    3
    1
    2
    
Note

For the first example case, one optimal folding is to fold the strip in the
middle, which produces a strip of length 3.

The third and fourth example cases correspond to the images above. Note that
the folding shown above for s = \mathtt{110110110011} is not of minimal
length.","def compute_prefix_function(s):
    n = len(s)
    pi = [0] * n
    for i in range(1, n):
        j = pi[i - 1]
        while j > 0 and s[i] != s[j]:
            j = pi[j - 1]
        if s[i] == s[j]:
            j += 1
        pi[i] = j
    return pi

def minimal_fold_length(s):
    n = len(s)
    pi = compute_prefix_function(s)
    k = n - pi[-1]
    return k

import sys

def main():
    import sys
    import sys
    input = sys.stdin.read
    data = input().split()
    t = int(data[0])
    idx = 1
    results = []
    for _ in range(t):
        if idx >= len(data):
            n = 0
            s = ''
        else:
            n = int(data[idx])
            idx += 1
            if idx >= len(data):
                s = ''
            else:
                s = data[idx]
                idx += 1
        if n == 0:
            results.append(0)
            continue
        k = minimal_fold_length(s)
        results.append(k)
    for res in results:
        print(res)

if __name__ == ""__main__"":
    main()",2,False,False,False,True,False,True,True,True,False,False,True,True,False
117,codeforces2024,human,qwen2.5-7b-instruct,"You have a horizontal strip of n cells. Each cell is either white or black.

You can choose a continuous segment of cells once and paint them all white.
After this action, all the black cells in this segment will become white, and
the white ones will remain white.

What is the minimum length of the segment that needs to be painted white in
order for all n cells to become white?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. The descriptions of the test cases follow.

The first line of each test case contains a single integer n (1 \le n \le 10 )
— the length of the strip.

The second line of each test case contains a string s , consisting of n
characters, each of which is either 'W' or 'B'. The symbol 'W' denotes a white
cell, and 'B' — a black one. It is guaranteed that at least one cell of the
given strip is black.

Output

For each test case, output a single number — the minimum length of a
continuous segment of cells that needs to be painted white in order for the
entire strip to become white.

Example

Input

    8
    
    6
    
    WBBWBW
    
    1
    
    B
    
    2
    
    WB
    
    3
    
    BBW
    
    4
    
    BWWB
    
    6
    
    BWBWWB
    
    6
    
    WWBBWB
    
    9
    
    WBWBWWWBW

Output

    4
    1
    1
    2
    4
    6
    4
    7
    
Note

In the first test case of the example for the strip ""WBBWBW"", the minimum
length of the segment to be repainted white is 4 . It is necessary to repaint
to white the segment from the 2 -nd to the 5 -th cell (the cells are numbered
from 1 from left to right).","for _ in range(int(input())):
    a=int(input())
    b=input()
    c=str(b[-1::-1])
    if c.count(""B"")>1:
        print(a-c.index(""B"")-b.index(""B""))
    else:
        print(a)",2,False,False,False,False,False,False,False,False,False,False,False,False,False
