comparison,correlation_with_consistency
naive_vs_Function summary,0.34252519604343507
naive_vs_Naive,
naive_vs_Complex tree,0.27399522369996193
naive_vs_Simple tree,0.24110727375322608
naive_vs_Function summary no FSL,0.3769063446728364
naive_vs_Simple verify,0.2886214646178094
naive_vs_Complex verify,0.2468016920452607
naive_vs_Default verify,0.24289604825631503
naive_vs_Simple verify no FSL,0.2443990440653921
naive_vs_Complex verify no FSL,0.31561700245646723
naive_vs_Default verify no FSL,0.27872285022533355
