Task ID,Dataset,model_created,model_run,description,Code,Test Result,Correctness,Post,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness,Correctness no fsl,simple verify,complex verify,default verify,simple verify no fsl,complex verify no fsl,default verify no fsl,data file,unique_id,consistency
179,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,True,post,True,False,False,True,False,True,False,True,True,False,True,True,selected_pilot_75_mbpp.json,179_llama3point1-70b,0.8333333333333334
179,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,True,post,True,True,False,True,False,False,True,True,True,False,True,True,selected_pilot_75_mbpp.json,179_gpt-4o,0.5
134,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a python function that takes in a positive integer n and finds the sum of even index binomial coefficients.,"import math

def even_binomial_Coeff_Sum(n):
    sum = 0
    for i in range(n + 1):
        if i % 2 == 0:
            sum += math.comb(n, i)
    return sum
",,True,post,True,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,134_llama3point1-70b,0.8333333333333334
134,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function that takes in a positive integer n and finds the sum of even index binomial coefficients.,"import math

def even_binomial_Coeff_Sum(n):
    # Sum of binomial coefficients at even indices is given by 2^(n-1)
    return 2**(n-1)

# Test cases
assert even_binomial_Coeff_Sum(4) == 8
assert even_binomial_Coeff_Sum(6) == 32
assert even_binomial_Coeff_Sum(2) == 2
",,False,post,True,False,False,False,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,134_gpt-4o,0.8333333333333334
85,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a python function to find the maximum difference between any two elements in a given array.,"def max_Abs_Diff(arr):
    return max(arr) - min(arr)
",,True,post,True,True,True,True,False,False,True,False,False,False,False,False,selected_pilot_75_mbpp.json,85_llama3point1-70b,0.8333333333333334
85,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function to find the maximum difference between any two elements in a given array.,"def max_Abs_Diff(arr):
    # Find the minimum and maximum values in the array
    min_val = min(arr)
    max_val = max(arr)
    
    # Calculate the maximum absolute difference
    max_diff = max_val - min_val
    
    return max_diff

# Test cases
assert max_Abs_Diff((2, 1, 5, 3)) == 4
assert max_Abs_Diff((9, 3, 2, 5, 1)) == 8
assert max_Abs_Diff((3, 2, 1)) == 2
",,True,post,True,False,True,True,True,False,False,True,False,True,True,True,selected_pilot_75_mbpp.json,85_gpt-4o,0.8333333333333334
146,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to find the list of maximum length in a list of lists.,"def max_length(list_of_lists):
    max_len = 0
    max_list = []
    
    for lst in list_of_lists:
        if len(lst) > max_len:
            max_len = len(lst)
            max_list = lst
            
    return (max_len, max_list)

# Test cases
assert max_length([[0], [1, 3], [5, 7], [9, 11], [13, 15, 17]]) == (3, [13, 15, 17])
assert max_length([[1], [5, 7], [10, 12, 14, 15]]) == (4, [10, 12, 14, 15])
assert max_length([[5], [15, 20, 25]]) == (3, [15, 20, 25])
",,False,post,True,False,False,False,False,False,True,True,False,True,False,False,selected_pilot_75_mbpp.json,146_gpt-4o,0.5
151,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to flatten a given nested list structure.,"def flatten_list(nested_list):
    flat_list = []
    
    for item in nested_list:
        if isinstance(item, list):
            flat_list.extend(flatten_list(item))
        else:
            flat_list.append(item)
    
    return flat_list

# Testing the function with the provided test cases
assert flatten_list([0, 10, [20, 30], 40, 50, [60, 70, 80], [90, 100, 110, 120]]) == [0, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120]
assert flatten_list([[10, 20], [40], [30, 56, 25], [10, 20], [33], [40]]) == [10, 20, 40, 30, 56, 25, 10, 20, 33, 40]
assert flatten_list([[1,2,3], [4,5,6], [10,11,12], [7,8,9]]) == [1, 2, 3, 4, 5, 6, 10, 11, 12, 7, 8, 9]
",,True,post,True,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,151_gpt-4o,0.8333333333333334
57,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to sort each sublist of strings in a given list of lists.,"def sort_sublists(list_of_lists):
    return [sorted(sublist) for sublist in list_of_lists]

# Tests
assert sort_sublists(([""green"", ""orange""], [""black"", ""white""], [""white"", ""black"", ""orange""])) == [['green', 'orange'], ['black', 'white'], ['black', 'orange', 'white']]
assert sort_sublists((["" red "",""green"" ],[""blue "","" black""],["" orange"",""brown""])) == [[' red ', 'green'], [' black', 'blue '], [' orange', 'brown']]
assert sort_sublists(([""zilver"",""gold""], [""magnesium"",""aluminium""], [""steel"", ""bronze""])) == [['gold', 'zilver'], ['aluminium', 'magnesium'], ['bronze', 'steel']]
",,False,post,True,False,True,False,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,57_gpt-4o,0.8333333333333334
1,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a function to find the shared elements from the given two lists.,"def similar_elements(test_tup1, test_tup2):
  return tuple(set(test_tup1) & set(test_tup2))
",,False,post,True,True,True,False,True,False,True,True,False,True,True,False,selected_pilot_75_mbpp.json,1_llama3point1-70b,0.8333333333333334
222,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to remove lowercase substrings from a given string.,"def remove_lowercase(s: str) -> str:
    return ''.join([char for char in s if char.isupper()])

# Testing the function
assert remove_lowercase(""PYTHon"") == 'PYTH'
assert remove_lowercase(""FInD"") == 'FID'
assert remove_lowercase(""STRinG"") == 'STRG'
",,True,post,True,True,False,False,False,True,True,True,True,False,False,False,selected_pilot_75_mbpp.json,222_gpt-4o,0.6666666666666666
161,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a function to find the n'th lucas number.,"def find_lucas(n):
    if n == 0:
        return 2
    elif n == 1:
        return 1
    else:
        a, b = 2, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b
",,False,post,True,True,False,True,False,False,True,False,False,True,False,False,selected_pilot_75_mbpp.json,161_llama3point1-70b,0.8333333333333334
161,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to find the n'th lucas number.,"def find_lucas(n):
    if n == 0:
        return 2
    elif n == 1:
        return 1
    else:
        a, b = 2, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b

# Test cases
assert find_lucas(9) == 76
assert find_lucas(4) == 7
assert find_lucas(3) == 4
",,False,post,True,False,True,False,True,False,True,True,True,True,False,False,selected_pilot_75_mbpp.json,161_gpt-4o,0.6666666666666666
290,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,"Write a function that checks if a strings contains 'z', except at the start and end of the word.","def text_match_wordz_middle(s):
    words = s.split()
    for word in words:
        if len(word) > 1 and 'z' in word[1:-1]:
            return True
    return False
",,False,post,True,True,True,True,False,False,True,True,True,False,False,False,selected_pilot_75_mbpp.json,290_llama3point1-70b,0.8333333333333334
290,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,"Write a function that checks if a strings contains 'z', except at the start and end of the word.","def text_match_wordz_middle(s):
    # Check if 'z' is in the string and not at the start or end
    if 'z' in s[1:-1]:
        return True
    return False

# Test cases
assert text_match_wordz_middle(""pythonzabc."") == True
assert text_match_wordz_middle(""zxyabc."") == False
assert text_match_wordz_middle(""  lang  ."") == False
",,False,post,True,False,False,True,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,290_gpt-4o,0.6666666666666666
182,mbppplus,llama3point1-70b,gpt-4o-mini-2024-07-18,Write a function to extract only the rear index element of each string in the given tuple.,"def extract_rear(strings):
    return [s[-1] for s in strings]
",,False,post,True,False,False,True,True,False,False,False,False,True,False,False,selected_pilot_75_mbpp.json,182_llama3point1-70b,0.6666666666666666
182,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to extract only the rear index element of each string in the given tuple.,"def extract_rear(tup):
    return [s[-1] for s in tup]

# Test cases
assert extract_rear(('Mers', 'for', 'Vers')) == ['s', 'r', 's']
assert extract_rear(('Avenge', 'for', 'People')) == ['e', 'r', 'e']
assert extract_rear(('Gotta', 'get', 'go')) == ['a', 't', 'o']
",,False,post,True,True,True,True,True,False,True,True,True,True,True,True,selected_pilot_75_mbpp.json,182_gpt-4o,0.8333333333333334
309,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a python function to check whether all the characters are same or not.,"def all_Characters_Same(s):
    if not s:  # If the string is empty, return True (edge case)
        return True
    first_char = s[0]
    for char in s:
        if char != first_char:
            return False
    return True

# Tests
assert all_Characters_Same(""python"") == False
assert all_Characters_Same(""aaa"") == True
assert all_Characters_Same(""data"") == False
",,False,post,True,False,False,False,False,False,False,False,False,False,False,False,selected_pilot_75_mbpp.json,309_gpt-4o,0.8333333333333334
333,mbppplus,gpt-4o,gpt-4o-mini-2024-07-18,Write a function to check if the given expression is balanced or not.,"def check_expression(expr):
    stack = []
    matching_pairs = {')': '(', ']': '[', '}': '{'}
    
    for char in expr:
        if char in matching_pairs.values():
            stack.append(char)
        elif char in matching_pairs:
            if stack == [] or stack.pop() != matching_pairs[char]:
                return False
    return stack == []

# Testing the function with the provided test cases
assert check_expression(""{()}[{}]"") == True
assert check_expression(""{()}[{]"") == False
assert check_expression(""{()}[{}][]({})"") == True
",,False,post,False,False,True,True,True,False,False,False,False,True,True,True,selected_pilot_75_mbpp.json,333_gpt-4o,0.8333333333333334
