Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,vanilla_no_cot,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify
1970_A1,1970_A1_sujalkumar_sharma_100%,codeforces2024,human,qwen2p5-72b-instruct,"A parentheses sequence is a string consisting of characters ""("" and "")"", for
example ""(()(("".

A balanced parentheses sequence is a parentheses sequence which can become a
valid mathematical expression after inserting numbers and operations into it,
for example ""(()(()))"".

The balance of a parentheses sequence is defined as the number of opening
parentheses ""("" minus the number of closing parentheses "")"". For example, the
balance of the sequence ""(()(("" is 3.

A balanced parentheses sequence can also be defined as a parentheses sequence
with balance 0 such that each of its prefixes has a non-negative balance.

We define the balanced shuffle operation that takes a parentheses sequence and
returns a parentheses sequence as follows: first, for every character of the
input sequence, we compute the balance of the prefix of the sequence before
that character and write those down in a table together with the positions of
the characters in the input sequence, for example:

Prefix balance| 0| 1| 2| 1| 2| 3| 2| 1  
---|---|---|---|---|---|---|---|---  
Position| 1| 2| 3| 4| 5| 6| 7| 8  
Character| (| (| )| (| (| )| )| )  
  
Then, we sort the columns of this table in increasing order of prefix balance,
breaking ties in decreasing order of position. In the above example, we get:

Prefix balance| 0| 1| 1| 1| 2| 2| 2| 3  
---|---|---|---|---|---|---|---|---  
Position| 1| 8| 4| 2| 7| 5| 3| 6  
Character| (| )| (| (| )| (| )| )  
  
The last row of this table forms another parentheses sequence, in this case
""()(()())"". This sequence is called the result of applying the balanced
shuffle operation to the input sequence, or in short just the balanced shuffle
of the input sequence.

You are given a balanced parentheses sequence. Print its balanced shuffle.

Input

The only line of input contains a string s consisting only of characters ""(""
and "")"". This string is guaranteed to be a non-empty balanced parentheses
sequence with its length not exceeding 500\,000 .

Output

Print the parentheses sequence t — the balanced shuffle of s .

Example

Input

    (()(()))
    
Output

    ()(()())","def balanced_shuffle(s):
    n = len(s)
    prefix_balance = []
    balance = 0
    
    for i in range(n):
        prefix_balance.append((balance, i, s[i]))
        if s[i] == '(':
            balance += 1
        else:
            balance -= 1
    
    prefix_balance.sort(key=lambda x: (x[0], -x[1]))
    
    result = ''.join([x[2] for x in prefix_balance])
    
    return result
 
s = input().strip()
print(balanced_shuffle(s))",1,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1929_B,1929_B_muhammadhamid_100%,codeforces2024,human,qwen2p5-72b-instruct,"Even in kindergarten, Sasha liked a girl. Therefore, he wanted to give her a
drawing and attract her attention.

As a drawing, he decided to draw a square grid of size n \times n , in which
some cells are colored. But coloring the cells is difficult, so he wants to
color as few cells as possible. But at the same time, he wants at least k
diagonals to have at least one colored cell. Note that the square grid of size
n \times n has a total of 4n - 2 diagonals.

Help little Sasha to make the girl fall in love with him and tell him the
minimum number of cells he needs to color.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 1000 ) — the number of test cases. The description of
the test cases follows.

The only line of each test case contains two integers n and k (2 \leq n \leq
10^8 , 1 \leq k \leq 4n - 2 ) — the size of the square grid and the minimum
number of diagonals in which there should be at least one colored cell.

Output

For each test case, output a single integer — the minimum number of cells that
need to be colored.

Example

Input

    7
    
    3 4
    
    3 3
    
    3 10
    
    3 9
    
    4 7
    
    7 11
    
    2 3

Output

    2
    2
    6
    5
    4
    6
    2
    
Note

In the pictures below, the colored cells are marked in black, and all
diagonals are marked in purple.

In the first test case, you can color 2 cells so that 4 diagonals contain at
least one colored cell:

![](https://espresso.codeforces.com/c88e80de5be4f91764dbe5bdc534c50fec115db3.png)

In the third test case, you can color 6 cells so that all 10 diagonals contain
at least one colored cell:

![](https://espresso.codeforces.com/624a36083689f6fb20bf243e5d1707fdcd71ef60.png)","import math
 
for _ in range(int(input())):
    #n=int(input())
    n,k=(map(int,input().split()))
    if k ==1:
        print(1)
        continue
 
    if k<=2*(n+(n-2)):
        print(math.ceil(k/2))
    else:
        print(k//2 +1)",1,True,False,False,True,False,True,True,False,True,False,False,True,True,True
1971_B,1971_B_omg_0014_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"You are given a string s consisting of lowercase English letters.

Rearrange the characters of s to form a new string r that is not equal to s ,
or report that it's impossible.

Input

The first line contains a single integer t (1 \leq t \leq 1000 ) — the number
of test cases.

The only line of each test case contains a string s of length at most 10
consisting of lowercase English letters.

Output

For each test case, if no such string r exists as described in the statement,
output ""NO"" (without quotes).

Otherwise, output ""YES"" (without quotes). Then, output one line — the string r
, consisting of letters of string s .

You can output ""YES"" and ""NO"" in any case (for example, strings ""yEs"", ""yes"",
and ""Yes"" will be recognized as a positive response).

If multiple answers are possible, you can output any of them.

Example

Input

    8
    
    codeforces
    
    aaaaa
    
    xxxxy
    
    co
    
    d
    
    nutdealer
    
    mwistht
    
    hhhhhhhhhh

Output

    YES
    forcodesec
    NO
    YES
    xxyxx
    YES
    oc
    NO
    YES
    undertale
    YES
    thtsiwm
    NO
    
Note

In the first test case, another possible answer is \texttt{forcescode} .

In the second test case, all rearrangements of \texttt{aaaaa} are equal to
\texttt{aaaaa} .","n = int(input()) 
for i in range(n):
    s = input()
    a = set(s)  
    if len(a) == 2: 
        print(""NO"")
    else:
        print(""YES"")
        b=("""".join(sorted(s)))
        c=("""".join(sorted(s,reverse=True)))
        if b==s:
            print(c)
        else:
            print(b)",1,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1977_A,1977_A_vjudge.3_40.00%,codeforces2024,human,qwen2p5-72b-instruct,"The little boy Nikita was given some cubes as a present. He decided to build a
tower out of them.

Initially, the tower doesn't have any cubes. In one move, Nikita either puts
exactly 1 cube on top of the tower or removes exactly 1 cube from the top of
the tower. Is it possible that after n moves, the resulting tower has exactly
m cubes?

Input

Each test contains multiple test cases. The first line of input contains a
single integer t (1 \le t \le 100 ) — the number of test cases. The
description of the test cases follows.

The only line of each test case contains two integers n and m (1 \le n, m \le
100 ).

Output

For each test case, output ""Yes"" (without quotes) if Nikita can obtain a tower
with m cubes, and ""No"" (without quotes) otherwise.

You can output each letter in any case (lowercase or uppercase). For example,
the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be accepted as a positive
answer.

Example

Input

    3
    
    3 3
    
    2 4
    
    5 3

Output

    Yes
    No
    Yes
    
Note

In the first test case, Nikita can put 1 cube on top of the tower 3 times in a
row, so the answer is ""Yes"".

In the second test case, Nikita can only end up with either a tower with no
blocks or a tower with 2 blocks, so the answer is ""No"".","t = int(input())
for i in range(t):
    n, m = [int(i) for i in input().split()]
    if n==m:
        print('Yes')
    elif m>n:
        print('No')
    else:
        if m==n-1:
            print('Yes')
        else:
            if m%2==0 and n%2==0:
                print('Yes')
            elif m%2!=0 and n%2!=0:
                print('Yes')
            else:
                print('No')",1,False,False,False,True,True,True,True,True,False,False,False,True,True,True
1965_B,1965_B_Shivank_0912_0.00%,codeforces2024,human,qwen2p5-72b-instruct,"You are given two integers n and k . Find a sequence a of non-negative
integers of size at most 25 such that the following conditions hold.

  * There is no subsequence of a with a sum of k . 
  * For all 1 \le v \le n where v \ne k , there is a subsequence of a with a sum of v . 

A sequence b is a subsequence of a if b can be obtained from a by the deletion
of several (possibly, zero or all) elements, without changing the order of the
remaining elements. For example, [5, 2, 3] is a subsequence of [1, 5, 7, 8, 2,
4, 3] .

It can be shown that under the given constraints, a solution always exists.

Input

The first line of the input contains a single integer t (1 \le t \le 1000 ) —
the number of test cases. The description of the test cases follows.

Each test case consists of a single line containing two integers n and k (2
\le n \le 10^6 , 1 \le k \le n ) — the parameters described above.

It is guaranteed that the sum of n over all test cases does not exceed 10^7 .

Output

The first line of output for each test case should contain a single integer m
(1 \le m \le 25 ) — the size of your chosen sequence.

The second line of output for each test case should contain m integers a_i (0
\le a_i \le 10^9 ) — the elements of your chosen sequence.

If there are multiple solutions, print any.

Example

Input

    5
    
    2 2
    
    6 1
    
    8 8
    
    9 3
    
    10 7

Output

    1
    1
    5
    2 3 4 5 6
    7
    1 1 1 1 1 1 1
    4
    7 1 4 1
    4
    1 2 8 3
    
Note

In the first example, we just need a subsequence that adds up to 1 , but not
one that adds up to 2 . So the array a=[1] suffices.

In the second example, all elements are greater than k=1 , so no subsequence
adds up to 1 . Every other integer between 1 and n is present in the array, so
there is a subsequence of size 1 adding up to each of those numbers.","def solve(t, cases):
    results = []
    sequence = [2 ** i for i in range(25)]
    for n, k in cases:
        results.append((25, sequence))
    return results
 
# Read input
import sys
input = sys.stdin.read
data = input().split()
 
t = int(data[0])
cases = []
index = 1
for _ in range(t):
    n = int(data[index])
    k = int(data[index + 1])
    cases.append((n, k))
    index += 2
 
# Solve the cases
results = solve(t, cases)
 
# Print the results
for result in results:
    print(result[0])
    print(' '.join(map(str, result[1])))",1,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1923_A,1923_A_RGS45_100%,codeforces2024,human,qwen2p5-72b-instruct,"There is a ribbon divided into n cells, numbered from 1 to n from left to
right. Each cell either contains a chip or is free.

You can perform the following operation any number of times (possibly zero):
choose a chip and move it to the closest free cell to the left. You can choose
any chip that you want, provided that there is at least one free cell to the
left of it. When you move the chip, the cell where it was before the operation
becomes free.

Your goal is to move the chips in such a way that they form a single block,
without any free cells between them. What is the minimum number of operations
you have to perform?

Input

The first line contains one integer t (1 \le t \le 1000 ) — the number of test
cases.

Each test case consists of two lines:

  * the first line contains one integer n (2 \le n \le 50 ) — the number of cells; 
  * the second line contains n integers a_1, a_2, \dots, a_n (0 \le a_i \le 1 ); a_i = 0 means that the i -th cell is free; a_i = 1 means that the i -th cell contains a chip. 

Additional constraint on the input: in each test case, at least one cell
contains a chip.

Output

For each test case, print one integer — the minimum number of operations you
have to perform so that all chips form a single block without any free cells
between them.

Example

Input

    5
    
    8
    
    0 1 1 1 0 1 1 0
    
    6
    
    0 1 0 0 0 0
    
    6
    
    1 1 1 1 1 1
    
    5
    
    1 0 1 0 1
    
    9
    
    0 1 1 0 0 0 1 1 0

Output

    1
    0
    0
    2
    3
    
Note

In the first example, you can perform the operation on the chip in the 7 -th
cell. The closest free cell to the left is the 5 -th cell, so it moves there.
After that, all chips form a single block.

In the second example, all chips are already in a single block. Same for the
third example.","t=int(input(""""))
for _ in range(t):
    n=int(input(""""))
    arr="""".join(input("""").split())
    x=arr.find(""1"")
    y=(arr[::-1]).find(""1"")
    z=arr[x:n-y]
    print(z.count(""0""))",1,True,False,False,True,True,False,True,True,False,False,False,False,False,False
1978_C,1978_C_Listar_4.35%,codeforces2024,human,qwen2p5-72b-instruct,"Let's call the Manhattan value of a permutation^{\dagger} p the value of the
expression |p_1 - 1| + |p_2 - 2| + \ldots + |p_n - n| .

For example, for the permutation [1, 2, 3] , the Manhattan value is |1 - 1| +
|2 - 2| + |3 - 3| = 0 , and for the permutation [3, 1, 2] , the Manhattan
value is |3 - 1| + |1 - 2| + |2 - 3| = 2 + 1 + 1 = 4 .

You are given integers n and k . Find a permutation p of length n such that
its Manhattan value is equal to k , or determine that no such permutation
exists.

^{\dagger} A permutation of length n is an array consisting of n distinct
integers from 1 to n in arbitrary order. For example, [2,3,1,5,4] is a
permutation, but [1,2,2] is not a permutation (2 appears twice in the array),
and [1,3,4] is also not a permutation (n=3 but there is 4 in the array).

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^{4} ) — the number of test cases. The description
of the test cases follows.

The only line of each test case contains two integers n and k (1 \le n \le 2
\cdot 10^{5}, 0 \le k \le 10^{12} ) — the length of the permutation and the
required Manhattan value.

It is guaranteed that the sum of n over all test cases does not exceed 2 \cdot
10^{5} .

Output

For each test case, if there is no suitable permutation, output ""No"".
Otherwise, in the first line, output ""Yes"", and in the second line, output n
distinct integers p_1, p_2, \ldots, p_n (1 \le p_i \le n ) — a suitable
permutation.

If there are multiple solutions, output any of them.

You can output the answer in any case (for example, the strings ""yEs"", ""yes"",
""Yes"", and ""YES"" will be recognized as a positive answer).

Example

Input

    8
    
    3 4
    
    4 5
    
    7 0
    
    1 1000000000000
    
    8 14
    
    112 777
    
    5 12
    
    5 2

Output

    Yes
    3 1 2
    No
    Yes
    1 2 3 4 5 6 7
    No
    Yes
    8 2 3 4 5 6 1 7
    No
    Yes
    5 4 3 1 2
    Yes
    2 1 3 4 5
    
Note

In the first test case, the permutation [3, 1, 2] is suitable, its Manhattan
value is |3 - 1| + |1 - 2| + |2 - 3| = 2 + 1 + 1 = 4 .

In the second test case, it can be proven that there is no permutation of
length 4 with a Manhattan value of 5 .

In the third test case, the permutation [1,2,3,4,5,6,7] is suitable, its
Manhattan value is |1-1|+|2-2|+|3-3|+|4-4|+|5-5|+|6-6|+|7-7|=0 .","def list_p(n,k):
    k=k//2
    l=list(range(1,n+1))
    for i in range(n-1,-1,-1):
        if k==0:
            return l
        if 1+i>k:
            x=l[-1]
            l.pop(-1)
            l.insert(-k,x)
            return l
        k=k-i+1
        x=l[-1]
        l.pop(-1)
        l.insert(0,x)
 
def tf():
    n,k=map(int,input().split())
    if k%2:
        return 0,0
    if n%2:
        max_k=(n**2-1)//2
    else:
        max_k=(n**2)//2
    if max_k<k:
        return 0,0
    return n,k
 
def p(l):
    print('YES')
    for i in l:
        print(i,end=' ')
    print()
    return
 
def solve():
    n,k=tf()
    if n==0:
        print('NO')
        return
    l=list_p(n,k)
    # print(l)
    p(l)
    return
 
T=int(input())
for i in range(T):solve()",1,False,False,False,False,False,True,True,True,True,False,False,True,False,False
1928_A,1928_A_danileo.lopez.v_100%,codeforces2024,human,qwen2p5-72b-instruct,"Bob has a rectangle of size a \times b . He tries to cut this rectangle into
two rectangles with integer sides by making a cut parallel to one of the sides
of the original rectangle. Then Bob tries to form some other rectangle from
the two resulting rectangles, and he can rotate and move these two rectangles
as he wishes.

Note that if two rectangles differ only by a 90^{\circ} rotation, they are
considered the same. For example, the rectangles 6 \times 4 and 4 \times 6 are
considered the same.

Thus, from the 2 \times 6 rectangle, another rectangle can be formed, because
it can be cut into two 2 \times 3 rectangles, and then these two rectangles
can be used to form the 4 \times 3 rectangle, which is different from the 2
\times 6 rectangle.

![](https://espresso.codeforces.com/670958570876245598e151e6877e3b0231a7c60e.png)

However, from the 2 \times 1 rectangle, another rectangle cannot be formed,
because it can only be cut into two rectangles of 1 \times 1 , and from these,
only the 1 \times 2 and 2 \times 1 rectangles can be formed, which are
considered the same.

![](https://espresso.codeforces.com/1463aaa4fa7eb1e7432c1d8b5813e7ae91147066.png)

Help Bob determine if he can obtain some other rectangle, or if he is just
wasting his time.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. This is followed
by the description of the test cases.

The single line of each test case contains two integers a and b (1 \le a, b
\le 10^9 ) — the size of Bob's rectangle.

Output

For each test case, output ""Yes"" if Bob can obtain another rectangle from the
a \times b rectangle. Otherwise, output ""No"".

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive answers.

Example

Input

    7
    
    1 1
    
    2 1
    
    2 6
    
    3 2
    
    2 2
    
    2 4
    
    6 3

Output

    No
    No
    Yes
    Yes
    Yes
    Yes
    No
    
Note

In the first test case, the 1 \times 1 rectangle cannot be cut into two
rectangles, so another rectangle cannot be obtained from it.

In the fourth test case, the 3 \times 2 rectangle can be cut into two 3 \times
1 rectangles, and from these, the 1 \times 6 rectangle can be formed.

In the fifth test case, the 2 \times 2 rectangle can be cut into two 1 \times
2 rectangles, and from these, the 1 \times 4 rectangle can be formed.","t = int(input())  # Número de casos de prueba
 
for _ in range(t):
    a, b = map(int, input().split())  # Leer las dimensiones del rectángulo
    
    # Si cualquiera de las dimensiones es par
    if a % 2 == 0 or b % 2 == 0:
        # Hacer un corte en la dimensión par
        if a % 2 == 0:  # Dividir a en dos partes si es par
            a1, a2 = a // 2, a // 2
            if a1 != b:  # Verificar que no se forme un cuadrado al dividir
                print(""Yes"")
                continue
        
        if b % 2 == 0:  # Dividir b en dos partes si es par
            b1, b2 = b // 2, b // 2
            if b1 != a:  # Verificar que no se forme un cuadrado al dividir
                print(""Yes"")
                continue
 
        # Si no se puede formar un nuevo rectángulo
        print(""No"")
    else:
        # Si ambos lados son impares, no se puede formar otro rectángulo
        print(""No"")",1,True,False,False,True,True,True,True,True,False,False,False,True,True,True
1926_D,1926_D_ayushdreams147_100%,codeforces2024,human,qwen2p5-72b-instruct,"Vladislav has n non-negative integers, and he wants to divide all of them into
several groups so that in any group, any pair of numbers does not have
matching bit values among bits from 1 -st to 31 -st bit (i.e., considering the
31 least significant bits of the binary representation).

For an integer k , let k_2(i) denote the i -th bit in its binary
representation (from right to left, indexing from 1). For example, if k=43 ,
since 43=101011_2 , then 43_2(1)=1 , 43_2(2)=1 , 43_2(3)=0 , 43_2(4)=1 ,
43_2(5)=0 , 43_2(6)=1 , 43_2(7)=0 , 43_2(8)=0, \dots, 43_2(31)=0 .

Formally, for any two numbers x and y in the same group, the condition x_2(i)
\neq y_2(i) must hold for all 1 \leq i < 32 .

What is the minimum number of groups Vlad needs to achieve his goal? Each
number must fall into exactly one group.

Input

The first line contains a single integer t (1 \leq t \leq 10^4 ) — the number
of test cases.

The first line of each test case contains a single integer n (1 \leq n \leq 2
\cdot 10^5 ) — the total number of integers.

The second line of each test case contains n given integers a_1, \ldots, a_n
(0 \leq a_j < 2^{31} ).

The sum of n over all test cases in a test does not exceed 2 \cdot 10^5 .

Output

For each test case, output a single integer — the minimum number of groups
required to satisfy the condition.

Example

Input

    9
    
    4
    
    1 4 3 4
    
    2
    
    0 2147483647
    
    5
    
    476319172 261956880 2136179468 1671164475 1885526767
    
    3
    
    1335890506 811593141 1128223362
    
    4
    
    688873446 627404104 1520079543 1458610201
    
    4
    
    61545621 2085938026 1269342732 1430258575
    
    4
    
    0 0 2147483647 2147483647
    
    3
    
    0 0 2147483647
    
    8
    
    1858058912 289424735 1858058912 2024818580 1858058912 289424735 122665067 289424735

Output

    4
    1
    3
    2
    2
    3
    2
    2
    4
    
Note

In the first test case, any two numbers have the same last 31 bits, so we need
to place each number in its own group.

In the second test case, a_1=0000000000000000000000000000000_2 ,
a_2=1111111111111111111111111111111_2 so they can be placed in the same group
because a_1(i) \ne a_2(i) for each i between 1 and 31 , inclusive.","def solve(n,a):
    res =0
    count={}
    for num in a:
        if num not in count:
            count[((1 << 31) - 1) ^ num] = count.get(((1 << 31) - 1) ^ num, 0) + 1
            res+=1
        else:
            count[num] -= 1
            if count[num] == 0:
                del count[num]
    return res
t = int(input())
for _ in range(t):
    n = int(input())
    a= list(map(int,input().split()))
    print(solve(n,a))",1,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1974_A,1974_A_EA10_50.00%,codeforces2024,human,qwen2p5-72b-instruct,"Little Rosie has a phone with a desktop (or launcher, as it is also called).
The desktop can consist of several screens. Each screen is represented as a
grid of size 5 \times 3 , i.e., five rows and three columns.

There are x applications with an icon size of 1 \times 1 cells; such an icon
occupies only one cell of the screen. There are also y applications with an
icon size of 2 \times 2 cells; such an icon occupies a square of 4 cells on
the screen. Each cell of each screen can be occupied by no more than one icon.

Rosie wants to place the application icons on the minimum number of screens.
Help her find the minimum number of screens needed.

Input

The first line of the input contains t (1 \leq t \leq 10^4 ) — the number of
test cases.

The first and only line of each test case contains two integers x and y (0
\leq x, y \leq 99 ) — the number of applications with a 1 \times 1 icon and
the number of applications with a 2 \times 2 icon, respectively.

Output

For each test case, output the minimal number of required screens on a
separate line.

Example

Input

    11
    
    1 1
    
    7 2
    
    12 4
    
    0 3
    
    1 0
    
    8 1
    
    0 0
    
    2 0
    
    15 0
    
    8 2
    
    0 9

Output

    1
    1
    2
    2
    1
    1
    0
    1
    1
    2
    5
    
Note

The solution for the first test case can look as follows:

![](https://espresso.codeforces.com/f9882979f0d9b5c31c5260fd626217227c2f05de.png)
Blue squares represent empty spaces for icons, green squares represent 1
\times 1 icons, red squares represent 2 \times 2 icons

The solution for the third test case can look as follows:

![](https://espresso.codeforces.com/0e737a290e056a29f38918bf06c13be790307a8d.png)","a=int(input())
for i in range(a):
    x,y=map(int,input().split())
    z=(y+1)//2
    m=15*z-y*4
    if m<a:
        z=z+(x-m+15-1)//15
    print(z)",1,False,False,False,True,False,True,False,False,False,False,False,False,False,True
