Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,vanilla
1922_E,1922_E_Hassn_Hamada_25.00%,codeforces2024,human,qwq-32b-preview,"Let's recall that an increasing subsequence of the array a is a sequence that
can be obtained from it by removing some elements without changing the order
of the remaining elements, and the remaining elements are strictly increasing
(i. e a_{b_1} < a_{b_2} < \dots < a_{b_k} and b_1 < b_2 < \dots < b_k ). Note
that an empty subsequence is also increasing.

You are given a positive integer X . Your task is to find an array of integers
of length at most 200 , such that it has exactly X increasing subsequences, or
report that there is no such array. If there are several answers, you can
print any of them.

If two subsequences consist of the same elements, but correspond to different
positions in the array, they are considered different (for example, the array
[2, 2] has two different subsequences equal to [2] ).

Input

The first line contains a single integer t (1 \le t \le 1000 ) — the number of
test cases.

The only line of each test case contains a single integer X (2 \le X \le
10^{18} ).

Output

For each query, print the answer to it. If it is impossible to find the
required array, print -1 on the first line. Otherwise, print a positive
integer n on the first line — the length of the array. On the second line,
print n integers — the required array itself. If there are several answers,
you can print any of them. All elements of the array should be in the range
[-10^9; 10^9] .

Example

Input

    4
    
    2
    
    5
    
    13
    
    37

Output

    1
    0
    3
    0 1 0
    5
    2 2 3 4 2
    7
    -1 -1 0 0 2 3 -1","import sys
from typing import Any, List
 
# Open input and output files
stdin = sys.stdin
stdout = sys.stdout
 
# sys.stdin = open('_input.txt', 'r')
# sys.stdout = open('_output.txt', 'w')
 
 
def generate_sequence(number: int, sequence: List[int]) -> int:
    """"""
    Generates a sequence of numbers based on the input number.
 
    Args:
        number (int): The input number to generate sequence for
        sequence (List[int]): The output sequence 
 
    Returns: 
        int: The size of generated sequence
    """"""
    assert number >= 0
    if number == 0:
        return 0
 
    size = 1
    while (1 << (size + 1)) - 1 <= number:
        size += 1
 
    for i in range(size):
        sequence.append(i)
 
    result = generate_sequence(number - (1 << size) + 1, sequence)
 
    for i in range(size):
        assert -len(sequence) <= -result - i - 1 <= -1
        sequence[-result - i - 1] += result
 
    return size + result
 
 
# Input processing
test_cases = int(input())
 
for _ in range(test_cases):
    n = int(input())
    result = list()
    size = generate_sequence(n - 1, result)
    print(len(result))
    print("" "".join(map(str, result)))",1,False,True
1929_A,1929_A_cuiwenqian370_100%,codeforces2024,human,qwq-32b-preview,"Sasha decided to give his girlfriend an array a_1, a_2, \ldots, a_n . He found
out that his girlfriend evaluates the beauty of the array as the sum of the
values (a_i - a_{i - 1}) for all integers i from 2 to n .

Help Sasha and tell him the maximum beauty of the array a that he can obtain,
if he can rearrange its elements in any way.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 500 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (2 \leq n \leq
100 ) — the length of the array a .

The second line of each test case contains n integers a_1, a_2, \ldots, a_n (1
\leq a_i \leq 10^9 ) — the elements of the array a .

Output

For each test case, output a single integer — the maximum beauty of the array
a that can be obtained.

Example

Input

    5
    
    3
    
    2 1 3
    
    3
    
    69 69 69
    
    5
    
    100 54 80 43 90
    
    4
    
    3 4 3 3
    
    2
    
    2 1

Output

    2
    0
    57
    1
    1
    
Note

In the first test case, the elements of the array a can be rearranged to make
a = [1, 2, 3] . Then its beauty will be equal to (a_2 - a_1) + (a_3 - a_2) =
(2 - 1) + (3 - 2) = 2 .

In the second test case, there is no need to rearrange the elements of the
array a . Then its beauty will be equal to 0 .","def max_beauty(array):
    # Sort the array to maximize the absolute differences between consecutive elements
    array.sort()
    # Calculate the maximum beauty by summing the differences between consecutive sorted elements
    beauty = 0
    for i in range(1, len(array)):
        beauty += abs(array[i] - array[i-1])
    return beauty
 
def main():
    import sys
    input = sys.stdin.read
    data = input().split()
    
    t = int(data[0])  # Number of test cases
    index = 1
    results = []
    
    for _ in range(t):
        n = int(data[index])  # Length of the array
        index += 1
        array = list(map(int, data[index:index+n]))
        index += n
        
        # Calculate the maximum beauty for this array
        result = max_beauty(array)
        results.append(result)
    
    for result in results:
        print(result)
 
if __name__ == ""__main__"":
    main()",1,True,True
1922_C,1922_C_Talharashid_0.00%,codeforces2024,human,qwq-32b-preview,"There are n cities located on the number line, the i -th city is in the point
a_i . The coordinates of the cities are given in ascending order, so a_1 < a_2
< \dots < a_n .

The distance between two cities x and y is equal to |a_x - a_y| .

For each city i , let's define the closest city j as the city such that the
distance between i and j is not greater than the distance between i and each
other city k . For example, if the cities are located in points [0, 8, 12, 15,
20] , then:

  * the closest city to the city 1 is the city 2 ; 
  * the closest city to the city 2 is the city 3 ; 
  * the closest city to the city 3 is the city 4 ; 
  * the closest city to the city 4 is the city 3 ; 
  * the closest city to the city 5 is the city 4 . 

The cities are located in such a way that for every city, the closest city is
unique. For example, it is impossible for the cities to be situated in points
[1, 2, 3] , since this would mean that the city 2 has two closest cities (1
and 3 , both having distance 1 ).

You can travel between cities. Suppose you are currently in the city x . Then
you can perform one of the following actions:

  * travel to any other city y , paying |a_x - a_y| coins; 
  * travel to the city which is the closest to x , paying 1 coin. 

You are given m queries. In each query, you will be given two cities, and you
have to calculate the minimum number of coins you have to spend to travel from
one city to the other city.

Input

The first line contains one integer t (1 \le t \le 10^4 ) — the number of test
cases.

Each test case is given in the following format:

  * the first line contains one integer n (2 \le n \le 10^5 ); 
  * the second line contains n integers a_1, a_2, \dots, a_n (0 \le a_1 < a_2 < \dots < a_n \le 10^9 ); 
  * the third line contains one integer m (1 \le m \le 10^5 ); 
  * then m lines follow; the i -th of them contains two integers x_i and y_i (1 \le x_i, y_i \le n ; x_i \ne y_i ), denoting that in the i -th query, you have to calculate the minimum number of coins you have to spend to travel from the city x_i to the city y_i . 

Additional constraints on the input:

  * in every test case, for each city, the closest city is determined uniquely; 
  * the sum of n over all test cases does not exceed 10^5 ; 
  * the sum of m over all test cases does not exceed 10^5 . 

Output

For each query, print one integer — the minimum number of coins you have to
spend.

Example

Input

    1
    
    5
    
    0 8 12 15 20
    
    5
    
    1 4
    
    1 5
    
    3 4
    
    3 2
    
    5 1

Output

    3
    8
    1
    4
    14
    
Note

Let's consider the first two queries in the example from the statement:

  * in the first query, you are initially in the city 1 . You can travel to the closest city (which is the city 2 ), paying 1 coin. Then you travel to the closest city (which is the city 3 ) again, paying 1 coin. Then you travel to the closest city (which is the city 4 ) again, paying 1 coin. In total, you spend 3 coins to get from the city 1 to the city 4 ; 
  * in the second query, you can use the same way to get from the city 1 to the city 4 , and then spend 5 coins to travel from the city 4 to the city 5 .","from collections import defaultdict
t=int(input())
for i in range(t):
    d1=defaultdict(int)
    d2=defaultdict(int)
    n=int(input())
    lst=list(map(int,input().split()))
    start=0;end=len(lst)-1;inc=1;s=0
    while start!=end:
        mini=11111111
        if (start+1)<len(lst):
            mini=min(abs(lst[start]-lst[start+1]),mini)
        if (start-1)>-1:
            mini=min(abs(lst[start]-lst[start-1]),mini)
        if mini==abs(lst[start]-lst[start+inc]):
            s+=1
        else:
            s+=abs(lst[start]-lst[start+inc])
        start+=inc
        d1[start]=s
    start=len(lst)-1;end=0;inc=-1;s=0
    while start!=end:
        mini=11111111
        if (start+1)<len(lst):
            mini=min(abs(lst[start]-lst[start+1]),mini)
        if (start-1)>-1:
            mini=min(abs(lst[start]-lst[start-1]),mini)
        if mini==abs(lst[start]-lst[start+inc]):
            s+=1
        else:
            s+=abs(lst[start]-lst[start+inc])
        start+=inc
        d2[start]=s
    m=int(input())
    for i in range(m):
        start,end=map(int,input().split())
        start-=1;
        end-=1
        s=0
        if start<end:
            s1=abs(d1[end]-d1[start])
            s2=abs(d2[start]-d2[end])
        else:
            s1=abs(d2[end]-d2[start])
            s2=abs(d1[start]-d1[end])
        print(min(s1,s2))",1,False,False
1977_A,1977_A_dimkinmile_20.00%,codeforces2024,human,qwq-32b-preview,"The little boy Nikita was given some cubes as a present. He decided to build a
tower out of them.

Initially, the tower doesn't have any cubes. In one move, Nikita either puts
exactly 1 cube on top of the tower or removes exactly 1 cube from the top of
the tower. Is it possible that after n moves, the resulting tower has exactly
m cubes?

Input

Each test contains multiple test cases. The first line of input contains a
single integer t (1 \le t \le 100 ) — the number of test cases. The
description of the test cases follows.

The only line of each test case contains two integers n and m (1 \le n, m \le
100 ).

Output

For each test case, output ""Yes"" (without quotes) if Nikita can obtain a tower
with m cubes, and ""No"" (without quotes) otherwise.

You can output each letter in any case (lowercase or uppercase). For example,
the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be accepted as a positive
answer.

Example

Input

    3
    
    3 3
    
    2 4
    
    5 3

Output

    Yes
    No
    Yes
    
Note

In the first test case, Nikita can put 1 cube on top of the tower 3 times in a
row, so the answer is ""Yes"".

In the second test case, Nikita can only end up with either a tower with no
blocks or a tower with 2 blocks, so the answer is ""No"".","def makaroni():
    n,m=map(int, input().split())
    if n>=m:
        print('Yes')
    else:
        print('No')
kreker=int(input())
for i in range(kreker):
    makaroni()",1,False,True
1927_F,1927_F_tesfaymebre_2.70%,codeforces2024,human,qwq-32b-preview,"Given an undirected weighted graph with n vertices and m edges. There is at
most one edge between each pair of vertices in the graph, and the graph does
not contain loops (edges from a vertex to itself). The graph is not
necessarily connected.

A cycle in the graph is called simple if it doesn't pass through the same
vertex twice and doesn't contain the same edge twice.

Find any simple cycle in this graph in which the weight of the lightest edge
is minimal.

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. Then follow the descriptions of the test cases.

The first line of each test case contains two integers n and m (3 \le n \le m
\le \min(\frac{n\cdot(n - 1)}{2}, 2 \cdot 10^5) ) — the size of the graph and
the number of edges.

The next m lines of the test case contain three integers u , v , and w (1 \le
u, v \le n , u \ne v , 1 \le w \le 10^6 ) — vertices u and v are connected by
an edge of weight w .

It is guaranteed that there is at most one edge between each pair of vertices.
Note that under the given constraints, there is always at least one simple
cycle in the graph.

It is guaranteed that the sum of the values of m for all test cases does not
exceed 2 \cdot 10^5 .

Output

For each test case, output a pair of numbers b and k , where:

  * b — the minimum weight of the edge in the found cycle, 
  * k — the number of vertices in the found cycle. 

On the next line, output k numbers from 1 to n — the vertices of the cycle in
traversal order.

Note that the answer always exists, as under the given constraints, there is
always at least one simple cycle in the graph.

Example

Input

    5
    
    6 6
    
    1 2 1
    
    2 3 1
    
    3 1 1
    
    4 5 1
    
    5 6 1
    
    6 4 1
    
    6 6
    
    1 2 10
    
    2 3 8
    
    3 1 5
    
    4 5 100
    
    5 6 40
    
    6 4 3
    
    6 15
    
    1 2 4
    
    5 2 8
    
    6 1 7
    
    6 3 10
    
    6 5 1
    
    3 2 8
    
    4 3 4
    
    5 3 6
    
    2 6 6
    
    5 4 5
    
    4 1 3
    
    6 4 5
    
    4 2 1
    
    3 1 7
    
    1 5 5
    
    4 6
    
    2 3 2
    
    1 3 10
    
    1 4 1
    
    3 4 7
    
    2 4 5
    
    1 2 2
    
    4 5
    
    2 1 10
    
    3 1 3
    
    4 2 6
    
    1 4 7
    
    2 3 3

Output

    1 3
    1 2 3 
    3 3
    6 4 5 
    1 5
    4 2 1 6 3 
    1 4
    1 4 3 2 
    3 3
    2 3 1","from collections import defaultdict
import sys
import threading
 
class DSU:
    def __init__(self, n):
        self.parent = [i for i in range(n)]
        self.size = [1] * n
        self.min_edge = [float('inf')] * n
 
    def find(self, x):
        while self.parent[x] != x:
            self.parent[x] = self.parent[self.parent[x]]
            x = self.parent[x]
 
        return x
 
    def union(self, a, b, w):
        parent_a = self.find(a)
        parent_b = self.find(b)
 
        self.min_edge[parent_a] = min(self.min_edge[parent_a], w)
        self.min_edge[parent_b] = min(self.min_edge[parent_b], w)
 
        if parent_a != parent_b:
            if self.size[parent_a] < self.size[parent_b]:
                parent_a, parent_b = parent_b, parent_a
 
            self.size[parent_a] += self.size[parent_b]
            self.min_edge[parent_a] = min(self.min_edge[parent_a],self.min_edge[parent_b])
            self.parent[parent_b] = parent_a
 
        return
    
def int_input():
    return int(sys.stdin.readline().strip())
 
def string():
    return sys.stdin.readline().strip()
 
def map_int():
    return map(int, sys.stdin.readline().strip().split())
 
def list_int_input():
    return list(map(int, sys.stdin.readline().strip().split()))
 
def list_string_input():
    return list(sys.stdin.readline().strip().split())
 
def solve():
    n,m = map_int()
    graph = defaultdict(list)
    edges = []
 
    for i in range(m):
        u,v,w = map_int()
        graph[u].append(v)
        graph[v].append(u)
 
        edges.append((w,u,v))
 
 
    edges.sort(reverse=True)
 
    
    dsu = DSU(n+1)
    _min_edge = float('inf')
    node_u = -1
    node_v = -1
 
    for w,u,v in edges:
        parent_u = dsu.find(u)
        parent_v = dsu.find(v)
        if parent_u == parent_v:
            dsu.union(u,v,w)
            if dsu.min_edge[parent_u] < _min_edge:
                _min_edge = dsu.min_edge[parent_u]
                node_u = u
                node_v = v
        else:
            dsu.union(u,v,w)
 
    colors = [0] * (n+1)
    def dfs(curr, parent, path):
        if colors[curr] == 1:
            return path
        
        colors[curr] = 1
        path.append(curr)
 
        for nei in graph[curr]:
            if colors[nei] != 2 and nei != parent:
                res = dfs(nei, curr, path)
                set_res = set(res)
                if res and node_v in set_res:
                    return res
 
        colors[curr] = 2     
        return []
    
    res = dfs(node_u,-1,[])
    print(_min_edge,len(res))
    print(*res)
 
def main():
    test_cases = int_input()
    for _ in range(test_cases):
        solve()
 
if __name__ == '__main__':
    sys.setrecursionlimit(1 << 30)
    threading.stack_size(1 << 27)
 
    main_thread = threading.Thread(target=main)
    main_thread.start()
    main_thread.join()",1,False,True
1945_C,1945_C_sahiltomar100303_8.33%,codeforces2024,human,qwq-32b-preview,"In the village of Letovo, there are n houses. The villagers decided to build a
big road that will divide the village into left and right sides. Each resident
wants to live on either the right or the left side of the street, which is
described as a sequence a_1, a_2, \dots, a_n , where a_j = 0 if the resident
of the j -th house wants to live on the left side of the street; otherwise,
a_j = 1 .

The road will pass between two houses. The houses to the left of it will be
declared the left-side, and the houses to the right will be declared the
right-side. More formally, let the road pass between houses i and i+1 . Then
the houses at positions between 1 and i will be on the left side of the
street, and at positions between i+1 and n will be on the right side. The road
also may pass before the first and after the last house; in this case, the
entire village is declared to be either the right or left side, respectively.

To make the design fair, it was decided to lay the road so that at least half
of the residents on each side of the village are satisfied with the choice.
That is, among x residents on one side, at least \lceil\frac{x}{2}\rceil
should want to live on that side, where \lceil x \rceil denotes rounding up a
real number x .

![](https://espresso.codeforces.com/75baa17903d65a630fb0d3334683e857d5fdc345.png)
To the left of the road, there will be i houses, among the corresponding a_j
there must be at least \lceil\frac{i}{2}\rceil zeros. To the right of the
road, there will be n-i houses, among the corresponding a_j there must be at
least \lceil\frac{n-i}{2}\rceil ones.

Determine after which house i the road should be laid in order to satisfy the
described condition and be as close to the middle of the village as possible.
Formally, among all suitable positions i , minimize \left|\frac{n}{2} -
i\right| .

If there are multiple suitable positions i with the minimum \left|\frac{n}{2}
- i\right| , output the smaller one.

Input

Each test contains multiple test cases. The first line contains the number of
test cases t (1 \le t \le 2\cdot 10^4 ). The description of the test cases
follows.

The first line of each test case contains a single integer n (3 \le n \le
3\cdot 10^5 ). The next line of each test case contains a string a of length n
, consisting only of 0 and 1 .

It is guaranteed that the sum of n over all test cases does not exceed 3\cdot
10^5 .

Output

For each test case, output a single number i — the position of the house after
which the road should be laid (if it should be laid before the first house,
output 0 ). We can show that the answer always exists.

Example

Input

    7
    
    3
    
    101
    
    6
    
    010111
    
    6
    
    011001
    
    3
    
    000
    
    3
    
    110
    
    3
    
    001
    
    4
    
    1100

Output

    2
    3
    2
    3
    0
    1
    0
    
Note

Let's consider the first example of input data.

If we lay the road after the first house, there will be one house a_1 = 1 on
the left side of the street, the resident of which would like to live on the
right side of the street. Then 0 out of 1 residents on the even side will be
satisfied with the choice, which means that the road cannot be laid after
house 1 .

If we lay the road after the second house, 1 out of 2 residents on the left
side (with preferences a_1 = 1 , a_2 = 0 ) and 1 out of 1 resident on the
right side (with preference a_3 = 1 ) will be satisfied with the choice. More
than half of the residents on each side are satisfied with the choice, which
means that the road can be laid after house 2 . We can show that this is the
optimal answer.","t = int(input())
for _ in range(t):
    n = int(input())
    s = input()
 
    mid = n // 2
    leftZero = 0
    rightZero = 0
    leftOne = 0
    rightOne = 0
    tleftZero = 0
    trightZero = 0
    tleftOne = 0
    trightOne = 0
 
    for i in range(mid):
        if s[i] == '0':
            leftZero += 1
            tleftZero += 1
        else:
            leftOne += 1
            tleftOne += 1
 
    for i in range(mid, n):
        if s[i] == '0':
            rightZero += 1
            trightZero += 1
        else:
            rightOne += 1
            trightOne += 1
 
    left = mid
    leftMove = 0
    while left > 0 and (leftZero < (left+1)//2 or rightOne < (n-left+1)//2):
        if s[left-1] == '0':
            leftZero -= 1
            rightZero += 1
        else:
            leftOne -= 1
            rightOne += 1
        left -= 1
 
    right = mid
    while right < n and (tleftZero < (right+1)//2 or trightOne < (n-right+1)//2):
        if s[right] == '0':
            tleftZero += 1
            trightZero -= 1
        else:
            tleftOne += 1
            trightOne -= 1
        right += 1
 
    if left == 0:
        if right != n:
            print(right)
        else:
            if rightOne >= (n+1)//2:
                print(left)
            else:
                print(right)
    elif right == n:
        if tleftZero >= (n+1)//2:
            print(right)
        else:
            print(left)
    else:
        if abs((n+1)//2-left) <= abs((n+1)//2-right):
            print(left)
        else:
            print(right)",1,False,True
1922_B,1922_B_petras741_40.00%,codeforces2024,human,qwq-32b-preview,"You have n sticks, numbered from 1 to n . The length of the i -th stick is
2^{a_i} .

You want to choose exactly 3 sticks out of the given n sticks, and form a non-
degenerate triangle out of them, using the sticks as the sides of the
triangle. A triangle is called non-degenerate if its area is strictly greater
than 0 .

You have to calculate the number of ways to choose exactly 3 sticks so that a
triangle can be formed out of them. Note that the order of choosing sticks
does not matter (for example, choosing the 1 -st, 2 -nd and 4 -th stick is the
same as choosing the 2 -nd, 4 -th and 1 -st stick).

Input

The first line contains one integer t (1 \le t \le 10^4 ) — the number of test
cases.

Each test case consists of two lines:

  * the first line contains one integer n (1 \le n \le 3 \cdot 10^5 ); 
  * the second line contains n integers a_1, a_2, \dots, a_n (0 \le a_i \le n ). 

Additional constraint on the input: the sum of n over all test cases does not
exceed 3 \cdot 10^5 .

Output

For each test case, print one integer — the number of ways to choose exactly 3
sticks so that a triangle can be formed out of them.

Example

Input

    4
    
    7
    
    1 1 1 1 1 1 1
    
    4
    
    3 2 1 3
    
    3
    
    1 2 3
    
    1
    
    1

Output

    35
    2
    0
    0
    
Note

In the first test case of the example, any three sticks out of the given 7 can
be chosen.

In the second test case of the example, you can choose the 1 -st, 2 -nd and 4
-th stick, or the 1 -st, 3 -rd and 4 -th stick.

In the third test case of the example, you cannot form a triangle out of the
given sticks with lengths 2 , 4 and 8 .","t=int(input())
buffer=[]
for i in range(t):
    n=int(input())
    w=[int(k) for k in input().split()]
    if n>=3:
        q={}
        # zeta=[0 for j in range(n+1)]
        # #print(type(q))
        # for j in range(n):
        #     if zeta[w[j]]==1:
        #         q[w[j]]+=1
        #     else:
        #         q[w[j]]=1
        #     zeta[w[j]]=1
        #     if w[0]==262144 and j==150901:
        #         print(len(q.keys()))
        #         break
        # if w[0]==262144:
        #     print(n) #(eta_ln)
        #     break
        q=[0 for j in range(n+1)]
        for j in range(n):
            q[w[j]]+=1
        eta=[]
        for j in range(n+1):
            if q[j]>0:
                eta.append(j)
        # epsilon=set()
        # q=[0 for j in range(300000)]
        # for j in range(n):
        #     q[w[j]]+=1
        #     epsilon.add(w[j])
        eta_ln=len(eta)
        rho=q[eta[0]]
        if eta_ln==1:
            print(n*(n-1)*(n-2)//6)
        else:
            res=q[eta[0]]*(q[eta[0]]-1)*(q[eta[0]]-2)//6
            for j in range(1, eta_ln):
                res+=q[eta[j]]*(q[eta[j]]-1)*(q[eta[j]]-2)//6
                res+=q[eta[j]]*(q[eta[j]]-1)//2*rho
                rho+=q[eta[j]]
                if j>1000:
                    break
            print(res)
    else:
        print(0)",1,False,False
1978_B,1978_B_K-Marjona_0.00%,codeforces2024,human,qwq-32b-preview,"Bob decided to open a bakery. On the opening day, he baked n buns that he can
sell. The usual price of a bun is a coins, but to attract customers, Bob
organized the following promotion:

  * Bob chooses some integer k (0 \le k \le \min(n, b) ).
  * Bob sells the first k buns at a modified price. In this case, the price of the i -th (1 \le i \le k ) sold bun is (b - i + 1) coins.
  * The remaining (n - k) buns are sold at a coins each.

Note that k can be equal to 0 . In this case, Bob will sell all the buns at a
coins each.

Help Bob determine the maximum profit he can obtain by selling all n buns.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 10^4 ) — the number of test cases. The description of
the test cases follows.

The only line of each test case contains three integers n , a , and b (1 \le
n, a, b \le 10^9 ) — the number of buns, the usual price of a bun, and the
price of the first bun to be sold at a modified price.

Output

For each test case, output a single integer — the maximum profit that Bob can
obtain.

Example

Input

    7
    
    4 4 5
    
    5 5 9
    
    10 10 5
    
    5 5 11
    
    1000000000 1000000000 1000000000
    
    1000000000 1000000000 1
    
    1000 1 1000

Output

    17
    35
    100
    45
    1000000000000000000
    1000000000000000000
    500500
    
Note

In the first test case, it is optimal for Bob to choose k = 1 . Then he will
sell one bun for 5 coins, and three buns at the usual price for 4 coins each.
Then the profit will be 5 + 4 + 4 + 4 = 17 coins.

In the second test case, it is optimal for Bob to choose k = 5 . Then he will
sell all the buns at the modified price and obtain a profit of 9 + 8 + 7 + 6 +
5 = 35 coins.

In the third test case, it is optimal for Bob to choose k = 0 . Then he will
sell all the buns at the usual price and obtain a profit of 10 \cdot 10 = 100
coins.","for _ in range(int(input())):
    n,a,b=map(int,input().split())
    k=min(n,b-a)
    if(b<=a):
        print(a*n)
    else:
        print((b+(b-k+1))//2*k+(n-k)*a)",1,False,False
1931_F,1931_F_HClO_3.12%,codeforces2024,human,qwq-32b-preview,"There are n people in the programming contest chat. Chat participants are
ordered by activity, but each person sees himself at the top of the list.

For example, there are 4 participants in the chat, and their order is [2, 3,
1, 4] . Then

  * 1 -st user sees the order [1, 2, 3, 4] . 
  * 2 -nd user sees the order [2, 3, 1, 4] . 
  * 3 -rd user sees the order [3, 2, 1, 4] . 
  * 4 -th user sees the order [4, 2, 3, 1] . 

k people posted screenshots in the chat, which show the order of participants
shown to this user. The screenshots were taken within a short period of time,
and the order of participants has not changed.

Your task is to determine whether there is a certain order that all
screenshots correspond to.

Input

The first line contains a single integer t (1 \le t \le 10^4 ) — the number of
input test cases. The descriptions of test cases follow.

The first line of the description of each test case contains two integers n
and k (1 \le k \le n \le 2 \cdot 10^5, n \cdot k \le 2 \cdot 10^5 ) — the
number of chat participants and the number of participants who posted
screenshots.

The following k lines contain descriptions of screenshots posted by the
participants.

The i -th row contains n integers a_{ij} each (1 \le a_{ij} \le n , all a_{ij}
are different) — the order of participants shown to the participant a_{i0} ,
where a_{i0} — the author of the screenshot. You can show that in the
screenshot description it will always be at the top of the list.

It is guaranteed that the sum of n \cdot k for all test cases does not exceed
2 \cdot 10^5 . It is also guaranteed that all the authors of the screenshots
are different.

Output

Output t lines, each of which is the answer to the corresponding test case. As
an answer, output ""YES"" if there exists at least one order of participants,
under which all k screenshots could have been obtained. Otherwise, output
""NO"".

You can output the answer in any case (upper or lower). For example, the
strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive
responses.

Example

Input

    10
    
    5 1
    
    1 2 3 4 5
    
    4 4
    
    1 2 3 4
    
    2 3 1 4
    
    3 2 1 4
    
    4 2 3 1
    
    6 2
    
    1 3 5 2 4 6
    
    6 3 5 2 1 4
    
    3 3
    
    1 2 3
    
    2 3 1
    
    3 2 1
    
    10 2
    
    1 2 3 4 5 6 7 8 9 10
    
    10 9 8 7 6 5 4 3 2 1
    
    1 1
    
    1
    
    5 2
    
    1 2 3 5 4
    
    2 1 3 5 4
    
    3 3
    
    3 1 2
    
    2 3 1
    
    1 3 2
    
    5 4
    
    3 5 1 4 2
    
    2 5 1 4 3
    
    1 5 4 3 2
    
    5 1 4 3 2
    
    3 3
    
    1 3 2
    
    2 1 3
    
    3 2 1

Output

    YES
    YES
    YES
    YES
    NO
    YES
    YES
    YES
    YES
    NO","from heapq import *
 
t = int(input())
 
 
for _ in range(t):
    n, m = map(int, input().split())
    if m == 1:
        input()
        print(""yes"")
        continue
    a1, *l1 = map(int, input().split())
    a2, *l2 = map(int, input().split())
    l11 = [i for i in l1 if i != a2]
    l22 = [i for i in l2 if i != a1]
    if l11 != l22:
        for _ in range(m - 2):
            input()
        print(""no"")
        continue
    idx1 = idx2 = -1
    p1 = p2 = 0
    for i in range(n - 1):
        if i + max(p1, p2) == n - 1:
            break
        if l1[i + p1] != l2[i + p2]:
            if l1[i + p1] == a2 and l2[i + p2] == a1:
                idx1 = idx2 = i
                break
            else:
                if l1[i + p1] == a2:
                    idx1 = i
                    p1 = 1
                else:
                    idx2 = i
                    p2 = 1
                if idx1 >= 0 and idx2 >= 0:
                    break
    val = []
    if idx1 < idx2:
        l2.insert(idx1, a2)
        l = l2
    elif idx1 > idx2:
        l1.insert(idx2, a1)
        l = l1
    else:
        if m == 2:
            print(""yes"")
            continue
        a3, *l3 = map(int, input().split())
        if l3.index(a1) < l3.index(a2):
            l1.insert(idx2, a1)
            l = l1
        else:
            l2.insert(idx1, a2)
            l = l2
        val.append((a3, l3))
        m -= 1
    for _ in range(m - 2):
        a3, *l3 = map(int, input().split())
        val.append((a3, l3))
    for a3, l3 in val:
        if l3 != [i for i in l if i != a3]:
            print(""no"")
            break
    else:
        print(""yes"")",1,False,False
1965_B,1965_B_just_average_ok_0.00%,codeforces2024,human,qwq-32b-preview,"You are given two integers n and k . Find a sequence a of non-negative
integers of size at most 25 such that the following conditions hold.

  * There is no subsequence of a with a sum of k . 
  * For all 1 \le v \le n where v \ne k , there is a subsequence of a with a sum of v . 

A sequence b is a subsequence of a if b can be obtained from a by the deletion
of several (possibly, zero or all) elements, without changing the order of the
remaining elements. For example, [5, 2, 3] is a subsequence of [1, 5, 7, 8, 2,
4, 3] .

It can be shown that under the given constraints, a solution always exists.

Input

The first line of the input contains a single integer t (1 \le t \le 1000 ) —
the number of test cases. The description of the test cases follows.

Each test case consists of a single line containing two integers n and k (2
\le n \le 10^6 , 1 \le k \le n ) — the parameters described above.

It is guaranteed that the sum of n over all test cases does not exceed 10^7 .

Output

The first line of output for each test case should contain a single integer m
(1 \le m \le 25 ) — the size of your chosen sequence.

The second line of output for each test case should contain m integers a_i (0
\le a_i \le 10^9 ) — the elements of your chosen sequence.

If there are multiple solutions, print any.

Example

Input

    5
    
    2 2
    
    6 1
    
    8 8
    
    9 3
    
    10 7

Output

    1
    1
    5
    2 3 4 5 6
    7
    1 1 1 1 1 1 1
    4
    7 1 4 1
    4
    1 2 8 3
    
Note

In the first example, we just need a subsequence that adds up to 1 , but not
one that adds up to 2 . So the array a=[1] suffices.

In the second example, all elements are greater than k=1 , so no subsequence
adds up to 1 . Every other integer between 1 and n is present in the array, so
there is a subsequence of size 1 adding up to each of those numbers.","for _ in range(int(input())):
    n, k = map(int, input().split())
    
    nums = [(1<<i) for i in range(24)]
    idx = 0
    while k >= (1 << idx): idx+=1
    idx -= 1
    nums.append(k-nums[idx])
    nums.append(k+1)
    nums.append(k+nums[idx]+1)
    nums.remove(1 << idx)
    print(len(nums))
    print(*nums)",1,False,False
