Task ID,unique_id,Dataset,model_created,model_run,description,Code,run_number,original correctness,summary fsl,naive correctness fsl,vanilla,vanilla_no_cot,simple tree,complex tree,summary,simple verify fsl,complex verify fsl,summary verify fsl,simple verify,complex verify,summary verify
1978_A,1978_A_oz935_50.00%,codeforces2024,human,qwen2.5-72b-instruct,"Alice has n books. The 1 -st book contains a_1 pages, the 2 -nd book contains
a_2 pages, \ldots , the n -th book contains a_n pages. Alice does the
following:

  * She divides all the books into two non-empty piles. Thus, each book ends up in exactly one of the two piles.
  * Alice reads one book with the highest number in each pile.

Alice loves reading very much. Help her find the maximum total number of pages
she can read by dividing the books into two piles.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 500 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (2 \le n \le 100
) — the number of books Alice has.

The second line of each test case contains n integers a_1, a_2, \ldots, a_n (1
\le a_i \le 10^9 ) — the number of pages in each book.

Output

For each test case, output a single integer — the maximum number of pages
Alice can read.

Example

Input

    5
    
    2
    
    1 1
    
    4
    
    2 3 3 1
    
    5
    
    2 2 3 2 2
    
    2
    
    10 3
    
    3
    
    1 2 3

Output

    2
    4
    5
    13
    5
    
Note

In the first test case, Alice can put book number 1 in the first pile, and
book number 2 in the second pile. Then she will read a_1 + a_2 = 1 + 1 = 2
pages.

In the second test case, Alice can put books with numbers 2 and 3 in the first
pile, and books with numbers 1 and 4 in the second pile. Then she will read
the book with the highest number 3 from the first pile, and the book with the
highest number 4 from the second pile. Then she will read a_3 + a_4 = 3 + 1 =
4 pages.","t = int(input().strip())
 
for i in range(t):
    # n is no. books
    n = int(input().strip())
    ls = input().split()
    last = int(ls.pop())
    other = int(sorted(ls).pop())
    print(last + other)",3,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1930_B,1930_B_Adith1000_100%,codeforces2024,human,qwen2.5-72b-instruct,"You are given a positive integer n .

Find a permutation^\dagger p of length n such that there do not exist two
distinct indices i and j (1 \leq i, j < n ; i \neq j ) such that p_i divides
p_j and p_{i+1} divides p_{j+1} .

Refer to the Notes section for some examples.

Under the constraints of this problem, it can be proven that at least one p
exists.

^\dagger A permutation of length n is an array consisting of n distinct
integers from 1 to n in arbitrary order. For example, [2,3,1,5,4] is a
permutation, but [1,2,2] is not a permutation (2 appears twice in the array),
and [1,3,4] is also not a permutation (n=3 but there is 4 in the array).

Input

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^3 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (3 \leq n \leq
10^5 ) — the length of the permutation p .

It is guaranteed that the sum of n over all test cases does not exceed 10^5 .

Output

For each test case, output p_1, p_2, \ldots, p_n .

If there are multiple solutions, you may output any one of them.

Example

Input

    2
    
    4
    
    3

Output

    4 1 2 3
    1 2 3
    
Note

In the first test case, p=[4,1,2,3] is a valid permutation. However, the
permutation p=[1,2,3,4] is not a valid permutation as we can choose i=1 and
j=3 . Then p_1=1 divides p_3=3 and p_2=2 divides p_4=4 . Note that the
permutation p=[3, 4, 2, 1] is also not a valid permutation as we can choose
i=3 and j=2 . Then p_3=2 divides p_2=4 and p_4=1 divides p_3=2 .

In the second test case, p=[1,2,3] is a valid permutation. In fact, all 6
permutations of length 3 are valid.","for _ in range(int(input())):
    n = int(input())
    a = list(range(1, n + 1)) 
    for i in range(n//2):
        a[2*i+1]=n-i
        a[2*i]=i+1
    if len(a)%2==1:
        a[n-1]=n//2+1
    print(*a)",3,True,False,False,True,True,True,True,True,True,True,True,True,True,True
1926_E,1926_E_daniilrybakov_11.11%,codeforces2024,human,qwen2.5-72b-instruct,"Vladislav has n cards numbered 1, 2, \dots, n . He wants to lay them down in a
row as follows:

  * First, he lays down all the odd-numbered cards from smallest to largest. 
  * Next, he lays down all cards that are twice an odd number from smallest to largest (i.e. 2 multiplied by an odd number). 
  * Next, he lays down all cards that are 3 times an odd number from smallest to largest (i.e. 3 multiplied by an odd number). 
  * Next, he lays down all cards that are 4 times an odd number from smallest to largest (i.e. 4 multiplied by an odd number). 
  * And so on, until all cards are laid down. 

What is the k -th card he lays down in this process? Once Vladislav puts a
card down, he cannot use that card again.

Input

The first line contains an integer t (1 \leq t \leq 5 \cdot 10^4 ) — the
number of test cases.

The only line of each test case contains two integers n and k (1 \leq k \leq n
\leq 10^9 ) — the number of cards Vlad has, and the position of the card you
need to output.

Output

For each test case, output a single integer — the k -th card Vladislav lays
down.

Example

Input

    11
    
    7 1
    
    7 2
    
    7 3
    
    7 4
    
    7 5
    
    7 6
    
    7 7
    
    1 1
    
    34 14
    
    84 19
    
    1000000000 1000000000

Output

    1
    3
    5
    7
    2
    6
    4
    1
    27
    37
    536870912
    
Note

In the first seven test cases, n=7 . Vladislav lays down the cards as follows:

  * First — all the odd-numbered cards in the order 1 , 3 , 5 , 7 . 
  * Next — all cards that are twice an odd number in the order 2 , 6 . 
  * Next, there are no remaining cards that are 3 times an odd number. (Vladislav has only one of each card.) 
  * Next — all cards that are 4 times an odd number, and there is only one such card: 4 . 
  * There are no more cards left, so Vladislav stops. 

Thus the order of cards is 1 , 3 , 5 , 7 , 2 , 6 , 4 .","t = int(input())
for _ in range(t):
    n, k = map(int, input().split())
    n_back = n
    s = (n + 1) // 2
    n = (n + 1) // 2
    m = 1
    while s < k:
        if n == 0:
            s = n_back
            n = 1
            break
        m *= 2
        n //= 2
        s += n
    # print(n, s, k, m, (k - (s - n)))
    print((2 * (k - (s - n)) - 1) * m)",3,False,False,True,True,True,True,True,True,True,True,True,True,True,True
1946_C,1946_C_arkadius_100%,codeforces2024,human,qwen2.5-72b-instruct,"You are given a tree with n vertices.

Your task is to find the maximum number x such that it is possible to remove
exactly k edges from this tree in such a way that the size of each remaining
connected component^{\dagger} is at least x .

^{\dagger} Two vertices v and u are in the same connected component if there
exists a sequence of numbers t_1, t_2, \ldots, t_k of arbitrary length k ,
such that t_1 = v , t_k = u , and for each i from 1 to k - 1 , vertices t_i
and t_{i+1} are connected by an edge.

Input

Each test consists of several sets of input data. The first line contains a
single integer t (1 \le t \le 10^4 ) — the number of sets of input data. This
is followed by a description of the sets of input data.

The first line of each set of input data contains two integers n and k (1 \le
k < n \le 10^5 ) — the number of vertices in the tree and the number of edges
to be removed.

Each of the next n - 1 lines of each set of input data contains two integers v
and u (1 \le v, u \le n ) — the next edge of the tree.

It is guaranteed that the sum of the values of n for all sets of input data
does not exceed 10^5 .

Output

For each set of input data, output a single line containing the maximum number
x such that it is possible to remove exactly k edges from the tree in such a
way that the size of each remaining connected component is at least x .

Example

Input

    6
    
    5 1
    
    1 2
    
    1 3
    
    3 4
    
    3 5
    
    2 1
    
    1 2
    
    6 1
    
    1 2
    
    2 3
    
    3 4
    
    4 5
    
    5 6
    
    3 1
    
    1 2
    
    1 3
    
    8 2
    
    1 2
    
    1 3
    
    2 4
    
    2 5
    
    3 6
    
    3 7
    
    3 8
    
    6 2
    
    1 2
    
    2 3
    
    1 4
    
    4 5
    
    5 6

Output

    2
    1
    3
    1
    1
    2
    
Note

The tree in the first set of input data:

![](https://espresso.codeforces.com/799bacd3be0dda357800fdfc3eadbf38ab259c51.png)

After removing the edge 1 — 3 , the tree will look as follows:

![](https://espresso.codeforces.com/a59ae10eeac1212e1e56fc7fe5f6a47764269104.png)

The tree has split into two connected components. The first component consists
of two vertices: 1 and 2 . The second connected component consists of three
vertices: 3, 4 and 5 . In both connected components, there are at least two
vertices. It can be shown that the answer 3 is not achievable, so the answer
is 2 .","import sys
 
class TreeNode:
 
    def __init__(self):
        self.edges = []
        self.children = []
        self.subtree_size = 1
        self.parent = None
    
    def __str__(self):
        return f""(edges: {self.edges}, children: {self.children}, subtree_size: {self.subtree_size}, parent: {self.parent})\n""
    
    def __repr__(self):
        return self.__str__()
 
class Tree:
 
    def __init__(self, n):
        self.vertices = [TreeNode() for _ in range(n)]
 
    def add_edge(self, u: int, v: int) -> None:
        self.vertices[u].edges.append(v)
        self.vertices[v].edges.append(u)
 
    def root_tree(self, v: int, root: int) -> None:
        self.vertices[v].parent = root
        for u in self.vertices[v].edges:
            if u != root:
                self.vertices[v].children.append(u)
                self.root_tree(u, v)
                self.vertices[v].subtree_size += self.vertices[u].subtree_size
    
    def root_tree_non_recursive(self, v: int, root: int) -> None:
        stack = [(v, root)]
        while stack:
            (v, root) = stack.pop()
            self.vertices[v].parent = root
            for u in self.vertices[v].edges:
                if u != root:
                    self.vertices[v].children.append(u)
                    stack.append((u, v))
                    self.vertices[v].subtree_size += self.vertices[u].subtree_size
 
    def __str__(self):
        return str(self.vertices)
 
def check_x_dfs(tree: Tree, s: int, x: int) -> (int, int):
    stack = [(s, False)]
    good_components = {}
    remaining_size = {}
    while stack:
        (v, postorder) = stack.pop()
        if not postorder:
            stack.append((v, True))
            good_components[v] = 0
            remaining_size[v] = 1
            for u in tree.vertices[v].children:
                stack.append((u, False))
        elif postorder:         
            for u in tree.vertices[v].children:
                good_components[v] += good_components[u]
                if remaining_size[u] >= x:
                    good_components[v] += 1
                else:
                    remaining_size[v] += remaining_size[u]
            # print(v, tree.vertices[v].good_components, tree.vertices[v].remaining_size)
    return (good_components[s], remaining_size[s])
 
def check_x_dfs_recursive(tree: Tree, v: int, x: int) -> (int, int):
    good_components = 0
    remaining_size = 1
 
    for u in tree.vertices[v].children:
        (good_components_subtree, remaining_size_subtree) = check_x_dfs_recursive(tree, u, x)
        good_components += good_components_subtree
        if remaining_size_subtree >= x:
            good_components += 1
        else:
            remaining_size += remaining_size_subtree
    print(v, good_components, remaining_size)
    return (good_components, remaining_size)
 
 
def check_x(tree: Tree, n: int, k: int, x: int) -> bool:
    # print(""checking "", x)
    (good_components, remaining_size) = check_x_dfs(tree, 0, x)
    if good_components > k:
        return True
    if good_components == k and remaining_size >= x:
        return True
    return False
 
def find_x(tree: Tree, n: int, k: int) -> int:
    beg = 1
    end = n
    while beg < end:
        mid = (beg + end + 1) // 2
        if check_x(tree, n, k, mid):
            beg = mid
        else:
            end = mid - 1
    return beg
 
def solve_case():
    [n, k] = map(int, input().split())
    tree = Tree(n)
    for i in range(1, n):
        [u, v] = map(int, input().split())
        tree.add_edge(u-1, v-1)
    tree.root_tree_non_recursive(0, -1)
    print(find_x(tree, n, k))
 
if __name__ == '__main__':
    sys.setrecursionlimit(int(1e5)*2)
    t = int(input())
    while t > 0:
        t -= 1
        solve_case()",3,True,True,True,True,False,True,True,True,True,True,True,True,True,True
1978_B,1978_B_vented_50.00%,codeforces2024,human,qwen2.5-72b-instruct,"Bob decided to open a bakery. On the opening day, he baked n buns that he can
sell. The usual price of a bun is a coins, but to attract customers, Bob
organized the following promotion:

  * Bob chooses some integer k (0 \le k \le \min(n, b) ).
  * Bob sells the first k buns at a modified price. In this case, the price of the i -th (1 \le i \le k ) sold bun is (b - i + 1) coins.
  * The remaining (n - k) buns are sold at a coins each.

Note that k can be equal to 0 . In this case, Bob will sell all the buns at a
coins each.

Help Bob determine the maximum profit he can obtain by selling all n buns.

Input

Each test consists of multiple test cases. The first line contains a single
integer t (1 \le t \le 10^4 ) — the number of test cases. The description of
the test cases follows.

The only line of each test case contains three integers n , a , and b (1 \le
n, a, b \le 10^9 ) — the number of buns, the usual price of a bun, and the
price of the first bun to be sold at a modified price.

Output

For each test case, output a single integer — the maximum profit that Bob can
obtain.

Example

Input

    7
    
    4 4 5
    
    5 5 9
    
    10 10 5
    
    5 5 11
    
    1000000000 1000000000 1000000000
    
    1000000000 1000000000 1
    
    1000 1 1000

Output

    17
    35
    100
    45
    1000000000000000000
    1000000000000000000
    500500
    
Note

In the first test case, it is optimal for Bob to choose k = 1 . Then he will
sell one bun for 5 coins, and three buns at the usual price for 4 coins each.
Then the profit will be 5 + 4 + 4 + 4 = 17 coins.

In the second test case, it is optimal for Bob to choose k = 5 . Then he will
sell all the buns at the modified price and obtain a profit of 9 + 8 + 7 + 6 +
5 = 35 coins.

In the third test case, it is optimal for Bob to choose k = 0 . Then he will
sell all the buns at the usual price and obtain a profit of 10 \cdot 10 = 100
coins.","t = int(input())
while t:
    x = list(map(int,input().split("" "")))
    n = x[0]
    a = x[1]
    b = x[2]
    profit = n*a
    if a >= b:
        print(profit)
    else:
        k = b-a
        k = min(n-1,k)
        profit = profit + (b-a)*(k+1) - (k*(k+1))/2
        
        print(int(profit))
    
    t-=1",3,False,False,False,True,False,True,True,True,False,False,False,False,True,False
1919_C,1919_C_IamYessir_6.25%,codeforces2024,human,qwen2.5-72b-instruct,"You are given an array a of size n . You will do the following process to
calculate your penalty:

  1. Split array a into two (possibly empty) subsequences^\dagger s and t such that every element of a is either in s or t^\ddagger . 
  2. For an array b of size m , define the penalty p(b) of an array b as the number of indices i between 1 and m - 1 where b_i < b_{i + 1} . 
  3. The total penalty you will receive is p(s) + p(t) . 

If you perform the above process optimally, find the minimum possible penalty
you will receive.

^\dagger A sequence x is a subsequence of a sequence y if x can be obtained
from y by the deletion of several (possibly, zero or all) elements.

^\ddagger Some valid ways to split array a=[3,1,4,1,5] into (s,t) are
([3,4,1,5],[1]) , ([1,1],[3,4,5]) and ([\,],[3,1,4,1,5]) while some invalid
ways to split a are ([3,4,5],[1]) , ([3,1,4,1],[1,5]) and ([1,3,4],[5,1]) .

Input

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 10^4 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (1\le n\le 2\cdot
10^5 ) — the size of the array a .

The second line contains n integers a_1, a_2, \ldots, a_n (1 \le a_i \le n ) —
the elements of the array a .

It is guaranteed that the sum of n over all test cases does not exceed 2\cdot
10^5 .

Output

For each test case, output a single integer representing the minimum possible
penalty you will receive.

Example

Input

    5
    
    5
    
    1 2 3 4 5
    
    8
    
    8 2 3 1 1 7 4 3
    
    5
    
    3 3 3 3 3
    
    1
    
    1
    
    2
    
    2 1

Output

    3
    1
    0
    0
    0
    
Note

In the first test case, a possible way to split a is s=[2,4,5] and t=[1,3] .
The penalty is p(s)+p(t)=2 + 1 =3 .

In the second test case, a possible way to split a is s=[8,3,1] and
t=[2,1,7,4,3] . The penalty is p(s)+p(t)=0 + 1 =1 .

In the third test case, a possible way to split a is s=[\,] and t=[3,3,3,3,3]
. The penalty is p(s)+p(t)=0 + 0 =0 .","for _ in range (int(input())):
    n = int(input());
    lit = list(map(int, input().split()));
    a, b = [lit[0]], [];
    cp = 0;
    for i in range (1, n):
        if a[-1] < lit[i]:
            b.append(lit[i]);
        else:
            a.append(lit[i]);
    s = 0;
    for i in range (1, len(a)):
        if a[i] > a[i-1]: s += 1;
    for i in range (1, len(b)):
        if b[i] > b[i-1]: s += 1;
    print (s);",3,False,False,False,True,False,False,False,False,False,False,False,True,True,True
1930_A,1930_A_ns2020_0.00%,codeforces2024,human,qwen2.5-72b-instruct,"There are 2n positive integers written on a whiteboard. Being bored, you
decided to play a one-player game with the numbers on the whiteboard.

You start with a score of 0 . You will increase your score by performing the
following move exactly n times:

  * Choose two integers x and y that are written on the whiteboard. 
  * Add \min(x,y) to your score. 
  * Erase x and y from the whiteboard. 

Note that after performing the move n times, there will be no more integers
written on the whiteboard.

Find the maximum final score you can achieve if you optimally perform the n
moves.

Input

Each test contains multiple test cases. The first line contains a single
integer t (1 \leq t \leq 5000 ) — the number of test cases. The description of
the test cases follows.

The first line of each test case contains a single integer n (1 \leq n \leq 50
) — the number of integers written on the whiteboard is 2n .

The second line of each test case contains 2n integers a_1,a_2,\ldots,a_{2n}
(1 \leq a_i \leq 10^7 ) — the numbers written on the whiteboard.

Output

For each test case, output the maximum final score that you can achieve.

Example

Input

    3
    
    1
    
    2 3
    
    2
    
    1 1 2 1
    
    3
    
    1 1 1 1 1 1

Output

    2
    2
    3
    
Note

In the first test case, you can only make one move. You select x=2 and y=3 ,
and your score will be \min(x,y)=2 .

In the second test case, the following is a sequence of moves that achieves a
final score of 2 :

  * In the first move, select x=1 and y=1 . Then, add \min(x,y)=1 to the score. After erasing x and y , the integers left on the whiteboard are 1 and 2 . 
  * In the second move, select x=1 and y=2 . Then, add \min(x,y)=1 to the score. After removing x and y , no more integers will be left on the whiteboard. 

It can be proved that it is not possible to get a score greater than 2 .

In the third test case, you will perform the move thrice, adding 1 to the
score each time.","t = int(input())
while(t):
	n = int(input())
	A = list(map(int, input().split()))
	print(sum(A[::2]))
	t = t - 1",3,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1927_A,1927_A_Yash-_-_0.00%,codeforces2024,human,qwen2.5-72b-instruct,"You have a horizontal strip of n cells. Each cell is either white or black.

You can choose a continuous segment of cells once and paint them all white.
After this action, all the black cells in this segment will become white, and
the white ones will remain white.

What is the minimum length of the segment that needs to be painted white in
order for all n cells to become white?

Input

The first line of the input contains a single integer t (1 \le t \le 10^4 ) —
the number of test cases. The descriptions of the test cases follow.

The first line of each test case contains a single integer n (1 \le n \le 10 )
— the length of the strip.

The second line of each test case contains a string s , consisting of n
characters, each of which is either 'W' or 'B'. The symbol 'W' denotes a white
cell, and 'B' — a black one. It is guaranteed that at least one cell of the
given strip is black.

Output

For each test case, output a single number — the minimum length of a
continuous segment of cells that needs to be painted white in order for the
entire strip to become white.

Example

Input

    8
    
    6
    
    WBBWBW
    
    1
    
    B
    
    2
    
    WB
    
    3
    
    BBW
    
    4
    
    BWWB
    
    6
    
    BWBWWB
    
    6
    
    WWBBWB
    
    9
    
    WBWBWWWBW

Output

    4
    1
    1
    2
    4
    6
    4
    7
    
Note

In the first test case of the example for the strip ""WBBWBW"", the minimum
length of the segment to be repainted white is 4 . It is necessary to repaint
to white the segment from the 2 -nd to the 5 -th cell (the cells are numbered
from 1 from left to right).","n=int(input())
for i in range(n):
    t=int(input())
    x=list(input())
    if ""B"" in x:
        start=x.index(""B"")
        end = len(x)-x[::-1].index(""B"")-1
        print(end-start)
    else:
        print(0)",3,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1968_E,1968_E_muzi123456_100%,codeforces2024,human,qwen2.5-72b-instruct,"You are given an integer n . You choose n cells (x_1,y_1),
(x_2,y_2),\dots,(x_n,y_n) in the grid n\times n where 1\le x_i\le n and 1\le
y_i\le n .

Let \mathcal{H} be the set of distinct Manhattan distances between any pair of
cells. Your task is to maximize the size of \mathcal{H} . Examples of sets and
their construction are given in the notes.

If there exists more than one solution, you are allowed to output any.

Manhattan distance between cells (x_1,y_1) and (x_2,y_2) equals
|x_1-x_2|+|y_1-y_2| .

Input

The first line contains a single integer t (1\le t\le 50 ) — the number of
test cases.

Each of the following t lines contains a single integer n (2\le n\le 10^3 ).

Output

For each test case, output n points which maximize the size of \mathcal{H} .
It is not necessary to output an empty line at the end of the answer for each
test case.

Example

Input

    5
    
    2
    
    3
    
    4
    
    5
    
    6

Output

    1 1
    1 2
    
    2 1
    2 3
    3 1
    
    1 1
    1 3
    4 3
    4 4
    
    1 1
    1 3
    1 4
    2 1
    5 5
    
    1 4
    1 5
    1 6
    5 2
    5 5
    6 1
    
Note

In the first testcase we have n=2 . One of the possible arrangements is:

![](https://espresso.codeforces.com/4d7adaa08c9ee5ebf2a0caba13185ac968d6bcd9.png)
The arrangement with cells located in (1,1) and (1,2) . In this case
\mathcal{H}=\\{|1-1|+|1-1|,|1-1|+|2-2|,|1-1|+|1-2|\\}=\\{0,0,1\\}=\\{0,1\\} .
Hence, the size of \mathcal{H} is 2 . It can be shown that it is the greatest
possible answer.

In the second testcase we have n=3 . The optimal arrangement is:

![](https://espresso.codeforces.com/52d127e3dbe0141bb58dbdf4158586772a208758.png)
The arrangement with cells located in (2,1) , (2,3) and (3,1) .

\mathcal{H}
=\\{|2-2|+|1-1|,|2-2|+|3-3|,|3-3|+|1-1|,|2-2|+|1-3|,|2-3|+|1-1|,|2-3|+|3-1|\\}
=\\{0,0,0,2,1,3\\} =\\{0,1,2,3\\} .

For n=4 a possible arrangement is:

![](https://espresso.codeforces.com/575a6758d1f67174ceb877b32a1e89770cd2281a.png)

For n=5 a possible arrangement is:

![](https://espresso.codeforces.com/b790401b426625982c00d04cff13aceec53918b4.png)

For n=6 a possible arrangement is:

![](https://espresso.codeforces.com/d0f498905660a67115d9f58c6cbc1439ba6e509c.png)","t=int(input())
while t:
    t-=1
    n=int(input())
    print(n,end=' ')
    print(n)
    print(n,end=' ')
    print(n-1)
    if n==3:
        print(2,end=' ')
        print(1)
    else:
        for i in range(1,n-1):
            print(i,end=' ')
            print(i)
    print(' ')",3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1971_E,1971_E_M2024_100%,codeforces2024,human,qwen2.5-72b-instruct,"Timur is in a car traveling on the number line from point 0 to point n . The
car starts moving from point 0 at minute 0 .

There are k+1 signs on the line at points 0, a_1, a_2, \dots, a_k , and Timur
knows that the car will arrive there at minutes 0, b_1, b_2, \dots, b_k ,
respectively. The sequences a and b are strictly increasing with a_k = n .

![](https://espresso.codeforces.com/eaf3bfb8e7a8fa4f5e8673f9a02116761cb86c93.png)

Between any two adjacent signs, the car travels with a constant speed. Timur
has q queries: each query will be an integer d , and Timur wants you to output
how many minutes it takes the car to reach point d , rounded down to the
nearest integer.

Input

The first line contains a single integer t (1 \leq t \leq 10^4 ) — the number
of test cases.

The first line of each test case contains three integers n , k , and q , (k
\leq n \leq 10^9 ; 1 \leq k, q \leq 10^5 ) — the final destination, the number
of points Timur knows the time for, and the number of queries respectively.

The second line of each test case contains k integers a_i (1 \leq a_i \leq n ;
a_i < a_{i+1} for every 1 \leq i \leq k-1 ; a_k = n ).

The third line of each test case contains k integers b_i (1 \leq b_i \leq 10^9
; b_i < b_{i+1} for every 1 \leq i \leq k-1 ).

Each of the following q lines contains a single integer d (0 \leq d \leq n ) —
the distance that Timur asks the minutes passed for.

The sum of k over all test cases doesn't exceed 10^5 , and the sum of q over
all test cases doesn't exceed 10^5 .

Output

For each query, output a single integer — the number of minutes passed until
the car reaches the point d , rounded down.

Example

Input

    4
    
    10 1 3
    
    10
    
    10
    
    0
    
    6
    
    7
    
    10 2 4
    
    4 10
    
    4 7
    
    6
    
    4
    
    2
    
    7
    
    1000000000 1 1
    
    1000000000
    
    1000000000
    
    99999999
    
    6 1 3
    
    6
    
    5
    
    2
    
    6
    
    5

Output

    0 6 7 
    5 4 2 5 
    99999999 
    1 5 4 
    
Note

For the first test case, the car goes from point 0 to point 10 in 10 minutes,
so the speed is 1 unit per minute and:

  * At point 0 , the time will be 0 minutes. 
  * At point 6 , the time will be 6 minutes. 
  * At point 7 , the time will be 7 minutes. 

For the second test case, between points 0 and 4 , the car travels at a speed
of 1 unit per minute and between 4 and 10 with a speed of 2 units per minute
and:

  * At point 6 , the time will be 5 minutes. 
  * At point 4 , the time will be 4 minutes. 
  * At point 2 , the time will be 2 minutes. 
  * At point 7 , the time will be 5.5 minutes, so the answer is 5 . 

For the fourth test case, the car travels with 1.2 units per minute, so the
answers to the queries are:

  * At point 2 , the time will be 1.66\dots minutes, so the answer is 1 . 
  * At point 6 , the time will be 5 minutes. 
  * At point 5 , the time will be 4.16\dots minutes, so the answer is 4 .","from bisect import bisect_left
t = int(input())
 
for _ in range(t):
    n, k, q = map(int, input().split())
    a = [0] + list(map(int, input().split()))
    b = [0] + list(map(int, input().split()))
    ad = [0]
    bd = [0]
    for i in range(1, len(a)):
        ad.append(a[i]-a[i-1])
    for i in range(1, len(b)):
        bd.append(b[i]-b[i-1])
    v = [0]
    for i in range(1,len(a)):
        v.append(ad[i]/bd[i])    
    for l in range(q):
        m = 0
        i = 1
        ql = int(input())
        s = bisect_left(a, ql)
        if a[s] == ql:
            print(b[s], end=' ')
            continue
        ql -= a[s-1]
        m += b[s-1]
        m += bd[s] * ql//ad[s]
        print(m, end=' ')
    print()",3,True,False,False,True,True,True,True,True,True,False,True,True,True,True
