Task ID,Dataset,model_created,model_run,description,Code,Test Result,Correctness,Post,original correctness,naive correctness,annotated correctness,annotated correctness simple,naive no fsl correctness,Correctness no fsl,simple verify,complex verify,default verify,simple verify no fsl,complex verify no fsl,default verify no fsl,data file,unique_id,consistency
179,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,True,post,True,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,179_llama3point1-70b,1.0
179,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,False,post,True,True,False,True,True,True,True,False,True,True,True,True,selected_pilot_75_mbpp.json,179_gpt-4o,1.0
68,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)
",,True,post,False,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,68_llama3point1-70b,1.0
68,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    # Create the complex number
    complex_number = complex(real, imag)
    # Return the phase (angle) of the complex number
    return cmath.phase(complex_number)

# Test cases
import math

assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)
",,True,post,False,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,68_gpt-4o,1.0
134,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function that takes in a positive integer n and finds the sum of even index binomial coefficients.,"import math

def even_binomial_Coeff_Sum(n):
    sum = 0
    for i in range(n + 1):
        if i % 2 == 0:
            sum += math.comb(n, i)
    return sum
",,True,post,True,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,134_llama3point1-70b,1.0
134,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function that takes in a positive integer n and finds the sum of even index binomial coefficients.,"import math

def even_binomial_Coeff_Sum(n):
    # Sum of binomial coefficients at even indices is given by 2^(n-1)
    return 2**(n-1)

# Test cases
assert even_binomial_Coeff_Sum(4) == 8
assert even_binomial_Coeff_Sum(6) == 32
assert even_binomial_Coeff_Sum(2) == 2
",,True,post,True,True,True,True,True,False,True,True,True,True,True,False,selected_pilot_75_mbpp.json,134_gpt-4o,1.0
276,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, size):
    merged_list = sorted(list1 + list2)
    middle_index = size - 1
    if size % 2 == 0:
        median = (merged_list[middle_index] + merged_list[middle_index + 1]) / 2
    else:
        median = merged_list[middle_index]
    return median
",,False,post,False,False,False,True,False,False,False,False,False,True,True,False,selected_pilot_75_mbpp.json,276_llama3point1-70b,0.6666666666666666
276,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to find the median of two sorted lists of same size.,"def get_median(list1, list2, n):
    # Merge the two sorted lists
    merged_list = sorted(list1 + list2)
    
    # Calculate the median
    mid = len(merged_list) // 2
    
    if len(merged_list) % 2 == 0:
        # Even number of elements
        median = (merged_list[mid - 1] + merged_list[mid]) / 2
    else:
        # Odd number of elements (although this case won't happen given the problem constraints)
        median = merged_list[mid]
    
    return median

# Test cases
assert get_median([1, 12, 15, 26, 38], [2, 13, 17, 30, 45], 5) == 16.0
assert get_median([2, 4, 8, 9], [7, 13, 19, 28], 4) == 8.5
assert get_median([3, 6, 14, 23, 36, 42], [2, 18, 27, 39, 49, 55], 6) == 25.0
",,True,post,False,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,276_gpt-4o,1.0
85,mbppplus,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the maximum difference between any two elements in a given array.,"def max_Abs_Diff(arr):
    return max(arr) - min(arr)
",,True,post,True,True,True,True,True,True,True,True,True,True,True,True,selected_pilot_75_mbpp.json,85_llama3point1-70b,1.0
85,mbppplus,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the maximum difference between any two elements in a given array.,"def max_Abs_Diff(arr):
    # Find the minimum and maximum values in the array
    min_val = min(arr)
    max_val = max(arr)
    
    # Calculate the maximum absolute difference
    max_diff = max_val - min_val
    
    return max_diff

# Test cases
assert max_Abs_Diff((2, 1, 5, 3)) == 4
assert max_Abs_Diff((9, 3, 2, 5, 1)) == 8
assert max_Abs_Diff((3, 2, 1)) == 2
",,True,post,True,True,True,True,True,False,True,True,True,True,True,True,selected_pilot_75_mbpp.json,85_gpt-4o,1.0
