Task ID,Dataset,unique_id,model_created,model_run,description,Code,Test Result,Post,original correctness,naive correctness,naive no fsl correctness,data file
179,mbppplus,179_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    return sum(i**3 for i in range(2, n*2+1, 2))
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,post,True,True,True,selected_pilot_75_mbpp.json
179,mbppplus,179_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a python function to find the cube sum of first n even natural numbers.,"def cube_Sum(n):
    even_numbers = [2 * i for i in range(1, n + 1)]
    cube_sum = sum(x ** 3 for x in even_numbers)
    return cube_sum

# Tests
assert cube_Sum(2) == 72
assert cube_Sum(3) == 288
assert cube_Sum(4) == 800
",,post,True,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_llama3point1-70b,llama3point1-70b,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    complex_num = complex(real, imag)
    return cmath.phase(complex_num)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    # Create the complex number
    complex_number = complex(real, imag)
    # Return the phase (angle) of the complex number
    return cmath.phase(complex_number)

# Test cases
import math

assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    # Create the complex number
    complex_number = complex(real, imag)
    # Return the phase (angle) of the complex number
    return cmath.phase(complex_number)

# Test cases
import math

assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    # Create the complex number
    complex_number = complex(real, imag)
    # Return the phase (angle) of the complex number
    return cmath.phase(complex_number)

# Test cases
import math

assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    # Create the complex number
    complex_number = complex(real, imag)
    # Return the phase (angle) of the complex number
    return cmath.phase(complex_number)

# Test cases
import math

assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)
",,post,False,True,True,selected_pilot_75_mbpp.json
68,mbppplus,68_gpt-4o,gpt-4o,meta-llama/Llama-3.3-70B-Instruct,Write a function to get the angle of a complex number.,"import cmath

def angle_complex(real, imag):
    # Create the complex number
    complex_number = complex(real, imag)
    # Return the phase (angle) of the complex number
    return cmath.phase(complex_number)

# Test cases
import math

assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)
",,post,False,True,True,selected_pilot_75_mbpp.json
